                 mean         2.5%        97.5%     accept. rate
       mu0     -17.2019     -17.3884     -16.9710       0.3830
     delta      14.9800      14.2957      15.3530       0.2880
    sigma0      11.8226      11.6872      11.9461       0.2710
    sigmav       0.0870       0.0838       0.0905       0.3820
    lambda      50.1051      50.0020      50.3665       0.3780
    gamma1       0.0665       0.0617       0.0727       0.3230
    gamma2       0.4363       0.4328       0.4409       0.4160
      mua1       8.2403       8.2395       8.2411       1.0000
   sigmaa1       0.0012       0.0007       0.0022       1.0000
      mua2       1.0097       1.0027       1.0172       1.0000
   sigmaa2       0.0161       0.0088       0.0286       1.0000
       mut      -2.1979      -2.2129      -2.1819       1.0000
    sigmat       0.0329       0.0182       0.0591       1.0000
       a10       8.3031       8.3016       8.3047       0.2660
       a11       8.3235       8.3218       8.3251       0.3820
       a12       8.2986       8.2960       8.3012       0.3000
       a13       8.2410       8.2385       8.2435       0.2960
       a14       8.2349       8.2321       8.2374       0.3380
       a15       8.2389       8.2367       8.2414       0.3690
       a16       8.2418       8.2398       8.2442       0.3400
       a17       8.2765       8.2735       8.2799       0.3260
       a18       8.2533       8.2503       8.2563       0.2840
       a19       8.2136       8.2104       8.2161       0.3290
      a110       8.2142       8.2108       8.2173       0.3800
      a111       8.2270       8.2238       8.2299       0.3760
      a112       8.2452       8.2421       8.2487       0.3780
      a113       8.2304       8.2270       8.2335       0.2960
      a114       8.2053       8.2028       8.2085       0.4650
      a115       8.1964       8.1930       8.1995       0.4580
      a116       8.2056       8.2034       8.2081       0.1790
      a117       8.2127       8.2103       8.2150       0.4360
      a118       8.2129       8.2099       8.2160       0.3740
      a119       8.2164       8.2133       8.2189       0.3350
       a20       1.4946       1.4775       1.4997       0.2330
       a21       0.8783       0.8608       0.8982       0.3410
       a22       0.7466       0.7385       0.7561       0.3770
       a23       1.0052       1.0012       1.0094       0.3030
       a24       1.0308       1.0275       1.0345       0.2760
       a25       1.0195       1.0168       1.0225       0.2870
       a26       1.0364       1.0334       1.0391       0.3490
       a27       0.9719       0.9674       0.9761       0.3560
       a28       0.9610       0.9568       0.9657       0.2990
       a29       1.0050       1.0018       1.0084       0.3430
      a210       1.0155       1.0122       1.0188       0.3550
      a211       1.0101       1.0066       1.0136       0.3580
      a212       0.9933       0.9894       0.9968       0.3600
      a213       0.9884       0.9847       0.9923       0.2450
      a214       1.0137       1.0099       1.0168       0.2310
      a215       1.0227       1.0192       1.0270       0.3000
      a216       1.0286       1.0257       1.0317       0.3210
      a217       1.0166       1.0138       1.0201       0.3340
      a218       0.9990       0.9953       1.0029       0.4450
      a219       0.9898       0.9869       0.9936       0.3270
      tau0      -2.1410      -2.1498      -2.1311       0.2490
      tau1      -2.0011      -2.0103      -1.9911       0.3710
      tau2      -1.9319      -1.9485      -1.9150       0.4270
      tau3      -2.2023      -2.2154      -2.1871       0.3320
      tau4      -2.3158      -2.3288      -2.3013       0.3000
      tau5      -2.3354      -2.3465      -2.3250       0.3140
      tau6      -2.3066      -2.3174      -2.2962       0.2860
      tau7      -2.0392      -2.0551      -2.0243       0.2890
      tau8      -2.1058      -2.1216      -2.0889       0.3120
      tau9      -2.2461      -2.2587      -2.2325       0.3120
     tau10      -2.2799      -2.2908      -2.2685       0.3170
     tau11      -2.2904      -2.3018      -2.2790       0.3010
     tau12      -2.2433      -2.2555      -2.2310       0.3070
     tau13      -2.2466      -2.2607      -2.2323       0.3730
     tau14      -2.2967      -2.3117      -2.2837       0.3750
     tau15      -2.3194      -2.3321      -2.3069       0.2600
     tau16      -2.3389      -2.3507      -2.3260       0.3000
     tau17      -2.3210      -2.3325      -2.3095       0.3520
     tau18      -2.2995      -2.3119      -2.2861       0.5020
     tau19      -2.2744      -2.2865      -2.2577       0.2880
    halted       0.2702       0.2622       0.2767       0.3860
 posterior-5440709.7945-5440720.8764-5440700.3250
