                 mean         2.5%        97.5%     accept. rate
       mu0     -20.1510     -20.3459     -19.9452       0.3731
     delta      10.8953      10.4373      11.3554       0.3057
    sigma0      10.6310      10.5129      10.7474       0.4319
    sigmav       0.1297       0.1268       0.1326       0.3976
    lambda      60.2093      59.8702      60.5551       0.4522
    gamma1       0.0017       0.0006       0.0034       0.2931
    gamma2       0.2837       0.2816       0.2858       0.4220
      mua1       7.5849       7.5842       7.5856       1.0000
   sigmaa1       0.0011       0.0006       0.0021       1.0000
      mua2       1.0103       1.0022       1.0184       1.0000
   sigmaa2       0.0156       0.0081       0.0300       1.0000
       mut      -2.4831      -2.5215      -2.4446       1.0000
    sigmat       0.0755       0.0388       0.1446       1.0000
       a10       7.6138       7.6126       7.6150       0.2638
       a11       7.6035       7.6020       7.6049       0.3738
       a12       7.6373       7.6357       7.6390       0.4367
       a13       7.6126       7.6109       7.6144       0.3068
       a14       7.5996       7.5978       7.6014       0.2452
       a15       7.6307       7.6289       7.6324       0.2923
       a16       7.6018       7.5999       7.6037       0.3371
       a17       7.5970       7.5947       7.5993       0.2498
       a18       7.5893       7.5869       7.5918       0.3816
       a19       7.5827       7.5804       7.5849       0.2964
      a110       7.5535       7.5514       7.5557       0.3762
      a111       7.5449       7.5428       7.5470       0.2608
      a112       7.5444       7.5422       7.5466       0.2680
      a113       7.5536       7.5511       7.5561       0.2764
      a114       7.5429       7.5404       7.5453       0.2747
      a115       7.5359       7.5338       7.5381       0.2969
       a20       1.4985       1.4946       1.5000       0.2158
       a21       1.0115       0.9957       1.0280       0.3603
       a22       0.8916       0.8853       0.8979       0.4531
       a23       0.9676       0.9650       0.9701       0.3507
       a24       0.9796       0.9775       0.9817       0.2905
       a25       0.9836       0.9816       0.9857       0.2453
       a26       0.9950       0.9929       0.9970       0.3688
       a27       1.0046       1.0021       1.0071       0.2473
       a28       0.9920       0.9891       0.9950       0.3604
       a29       0.9915       0.9886       0.9942       0.2884
      a210       0.9934       0.9909       0.9958       0.3661
      a211       0.9955       0.9931       0.9978       0.3208
      a212       0.9917       0.9892       0.9941       0.3290
      a213       0.9824       0.9796       0.9852       0.4249
      a214       0.9780       0.9753       0.9808       0.3856
      a215       0.9821       0.9796       0.9847       0.2515
      tau0      -2.2561      -2.2645      -2.2477       0.2838
      tau1      -2.1490      -2.1586      -2.1396       0.2825
      tau2      -2.3824      -2.3976      -2.3669       0.3197
      tau3      -2.6305      -2.6441      -2.6168       0.2878
      tau4      -2.7552      -2.7660      -2.7442       0.4109
      tau5      -2.7304      -2.7400      -2.7208       0.3829
      tau6      -2.7479      -2.7567      -2.7391       0.2850
      tau7      -2.5762      -2.5855      -2.5669       0.3035
      tau8      -2.4588      -2.4707      -2.4468       0.3197
      tau9      -2.5386      -2.5510      -2.5260       0.3253
     tau10      -2.6113      -2.6222      -2.6005       0.3690
     tau11      -2.6710      -2.6810      -2.6608       0.3001
     tau12      -2.6535      -2.6632      -2.6438       0.2249
     tau13      -2.5515      -2.5615      -2.5416       0.2970
     tau14      -2.5538      -2.5648      -2.5430       0.5001
     tau15      -2.6092      -2.6206      -2.5977       0.3479
    halted       0.2906       0.2863       0.2948       0.4241
 posterior-4828559.2533-4828569.7931-4828550.3580
