                 mean         2.5%        97.5%     accept. rate
       mu0     -12.9648     -13.1383     -12.7852       0.3300
     delta       6.1091       5.4708       7.0803       0.3000
    sigma0      12.0902      11.9140      12.2940       0.2400
    sigmav       0.1133       0.1111       0.1157       0.4150
    lambda      54.8421      54.5206      55.0945       0.3350
    gamma1       0.1446       0.1364       0.1506       0.3900
    gamma2       0.4833       0.4783       0.4884       0.3300
      mua1       8.2404       8.2396       8.2413       1.0000
   sigmaa1       0.0013       0.0007       0.0021       1.0000
      mua2       1.0086       0.9991       1.0157       1.0000
   sigmaa2       0.0161       0.0091       0.0293       1.0000
       mut      -2.1988      -2.2127      -2.1864       1.0000
    sigmat       0.0322       0.0182       0.0580       1.0000
       a10       8.3029       8.3014       8.3040       0.3150
       a11       8.3234       8.3216       8.3253       0.3350
       a12       8.2990       8.2958       8.3013       0.2950
       a13       8.2404       8.2375       8.2429       0.3450
       a14       8.2330       8.2311       8.2359       0.3400
       a15       8.2398       8.2374       8.2413       0.2950
       a16       8.2446       8.2421       8.2471       0.2650
       a17       8.2785       8.2756       8.2807       0.2550
       a18       8.2489       8.2453       8.2522       0.3700
       a19       8.2100       8.2078       8.2127       0.4200
      a110       8.2145       8.2116       8.2170       0.2950
      a111       8.2310       8.2295       8.2328       0.2850
      a112       8.2468       8.2451       8.2487       0.3550
      a113       8.2305       8.2260       8.2343       0.3300
      a114       8.2034       8.2015       8.2055       0.3100
      a115       8.1967       8.1943       8.1985       0.4000
      a116       8.2065       8.2047       8.2081       0.3650
      a117       8.2143       8.2127       8.2167       0.3500
      a118       8.2129       8.2098       8.2165       0.3950
      a119       8.2164       8.2141       8.2195       0.2300
       a20       1.4955       1.4803       1.4998       0.1600
       a21       0.8710       0.8504       0.8915       0.3150
       a22       0.7406       0.7314       0.7482       0.3850
       a23       1.0049       1.0011       1.0078       0.3250
       a24       1.0330       1.0308       1.0355       0.3250
       a25       1.0192       1.0173       1.0219       0.2650
       a26       1.0339       1.0311       1.0369       0.2650
       a27       0.9679       0.9641       0.9732       0.2600
       a28       0.9656       0.9605       0.9702       0.5150
       a29       1.0091       1.0064       1.0115       0.3450
      a210       1.0151       1.0123       1.0188       0.2350
      a211       1.0057       1.0035       1.0075       0.2600
      a212       0.9915       0.9894       0.9934       0.3450
      a213       0.9880       0.9828       0.9926       0.3750
      a214       1.0154       1.0122       1.0177       0.2550
      a215       1.0220       1.0196       1.0254       0.2900
      a216       1.0281       1.0256       1.0303       0.2600
      a217       1.0153       1.0122       1.0181       0.2500
      a218       0.9997       0.9962       1.0042       0.3250
      a219       0.9896       0.9856       0.9938       0.2600
      tau0      -2.1416      -2.1465      -2.1362       0.2400
      tau1      -2.0012      -2.0107      -1.9915       0.3400
      tau2      -1.9294      -1.9484      -1.9108       0.3100
      tau3      -2.2045      -2.2172      -2.1945       0.4000
      tau4      -2.3223      -2.3332      -2.3103       0.3450
      tau5      -2.3373      -2.3469      -2.3252       0.3150
      tau6      -2.3010      -2.3105      -2.2934       0.3900
      tau7      -2.0273      -2.0424      -2.0180       0.3200
      tau8      -2.1182      -2.1279      -2.0931       0.2300
      tau9      -2.2549      -2.2686      -2.2443       0.3550
     tau10      -2.2792      -2.2902      -2.2650       0.4900
     tau11      -2.2850      -2.2930      -2.2740       0.2500
     tau12      -2.2390      -2.2514      -2.2264       0.5050
     tau13      -2.2454      -2.2567      -2.2314       0.2250
     tau14      -2.3006      -2.3111      -2.2879       0.3000
     tau15      -2.3191      -2.3302      -2.3053       0.5000
     tau16      -2.3378      -2.3497      -2.3227       0.3250
     tau17      -2.3199      -2.3313      -2.3080       0.4150
     tau18      -2.3009      -2.3128      -2.2890       0.3550
     tau19      -2.2750      -2.2881      -2.2614       0.2600
      amix       0.0003       0.0000       0.0006       0.2750
    halted       0.2504       0.2448       0.2593       0.2750
 posterior-5440778.2391-5440791.8723-5440770.2362
