                 mean         2.5%        97.5%     accept. rate
       mu0     -21.0809     -22.8359     -16.6379     -23.0804
     delta       1.1588       0.0856       2.9492       3.3122
    sigma0      15.2752      14.8295      15.9629      14.7869
    sigmav       0.1611       0.1486       0.2168       0.1501
    lambda      79.3787      77.2500      88.7872      76.9177
    gamma1       0.1576       0.1263       0.2127       0.1247
    gamma2       0.4001       0.3890       0.4189       0.3861
      mua1       7.9548       7.9484       7.9753       7.9492
   sigmaa1       0.0011       0.0004       0.0021       0.0008
      mua2       0.9990       0.9307       1.0162       1.0032
   sigmaa2       0.0227       0.0066       0.0428       0.0309
       mut      -2.3834      -2.4457      -2.1072      -2.4103
    sigmat       0.0455       0.0223       0.1053       0.0335
       a10       7.9859       7.9794       7.9881       7.9866
       a11       8.0059       7.9830       8.0101       8.0091
       a12       8.0115       7.9830       8.0155       8.0136
       a13       7.9925       7.9830       8.0010       7.9920
       a14       7.9585       7.9245       7.9760       7.9585
       a15       7.9599       7.9525       7.9830       7.9560
       a16       7.9624       7.9523       7.9852       7.9582
       a17       7.9568       7.9491       7.9830       7.9517
       a18       7.9622       7.9482       7.9977       7.9498
       a19       7.9636       7.9534       7.9874       7.9544
      a110       7.9546       7.9475       7.9830       7.9479
      a111       7.9356       7.9243       7.9830       7.9287
      a112       7.9091       7.9031       7.9830       7.9053
      a113       7.9116       7.8958       7.9830       7.8960
      a114       7.9199       7.9062       7.9830       7.9090
      a115       7.9377       7.9227       7.9830       7.9249
      a116       7.9491       7.9408       7.9635       7.9434
      a117       7.9278       7.9198       7.9830       7.9221
      a118       7.9151       7.8967       7.9812       7.9071
      a119       7.9191       7.8987       7.9866       7.8974
       a20       1.4834       1.3293       1.5000       1.4997
       a21       1.0614       0.9239       1.2916       1.0654
       a22       1.3775       0.8200       1.4966       1.3688
       a23       0.8215       0.7239       0.9239       0.8342
       a24       0.9357       0.9239       0.9433       0.9419
       a25       0.9554       0.9059       0.9660       0.9628
       a26       0.9625       0.9239       0.9772       0.9701
       a27       0.9659       0.9239       0.9755       0.9740
       a28       0.9688       0.9239       0.9866       0.9849
       a29       0.9666       0.9239       0.9806       0.9788
      a210       0.9577       0.9239       0.9690       0.9669
      a211       0.9685       0.9228       0.9828       0.9789
      a212       0.9820       0.9081       0.9941       0.9919
      a213       0.9778       0.8996       0.9962       0.9960
      a214       0.9741       0.9239       0.9892       0.9856
      a215       0.9581       0.9176       0.9735       0.9700
      a216       0.9421       0.9239       0.9524       0.9500
      a217       0.9587       0.9239       0.9653       0.9636
      a218       0.9646       0.8866       0.9814       0.9769
      a219       0.9618       0.8345       0.9894       0.9896
      tau0      -2.3444      -2.4382      -1.9361      -2.4302
      tau1      -2.4743      -2.7452      -2.4203      -2.4348
      tau2      -2.3591      -2.4097      -1.9402      -2.4026
      tau3      -2.2974      -2.3525      -2.0620      -2.3278
      tau4      -2.4553      -2.5115      -1.9100      -2.5003
      tau5      -2.5386      -2.6280      -1.9500      -2.6200
      tau6      -2.5364      -2.6430      -1.9296      -2.6269
      tau7      -2.5345      -2.6360      -1.9100      -2.6273
      tau8      -2.4879      -2.5883      -1.9424      -2.5749
      tau9      -2.3832      -2.4533      -1.9100      -2.4387
     tau10      -2.3012      -2.3500      -2.1216      -2.3379
     tau11      -2.3857      -2.4328      -2.1614      -2.4177
     tau12      -2.4433      -2.5086      -1.9100      -2.4972
     tau13      -2.4697      -2.5078      -2.2784      -2.5096
     tau14      -2.4015      -2.4775      -1.9794      -2.4737
     tau15      -2.4364      -2.6802      -2.1490      -2.4455
     tau16      -2.4028      -2.4311      -2.2514      -2.4234
     tau17      -2.4086      -2.4675      -1.9100      -2.4627
     tau18      -2.4894      -2.5387      -2.2031      -2.5363
     tau19      -2.4896      -2.5631      -2.1546      -2.5501
      amix       0.0003       0.0000       0.0005       0.0000
    halted       0.0710       0.0000       0.1077       0.1073
 posterior-5232447.3913-5291109.6790-5224747.3877
