                 mean         2.5%        97.5%     accept. rate
       mu0     -32.4850     -32.6897     -32.2657       0.3220
     delta      23.3108      22.7510      23.7868       0.3130
    sigma0      14.6584      14.4679      14.8165       0.2000
    sigmav       0.1119       0.1079       0.1152       0.3740
    lambda      66.0676      65.6670      66.4723       0.2930
    gamma1       0.0008       0.0003       0.0015       0.3960
    gamma2       0.3005       0.2986       0.3024       0.4540
      mua1       7.9494       7.9486       7.9501       1.0000
   sigmaa1       0.0013       0.0007       0.0022       1.0000
      mua2       1.0278       1.0144       1.0418       1.0000
   sigmaa2       0.0310       0.0166       0.0525       1.0000
       mut      -2.4283      -2.4461      -2.4103       1.0000
    sigmat       0.0421       0.0243       0.0775       1.0000
       a10       7.9871       7.9861       7.9883       0.3400
       a11       8.0095       8.0084       8.0106       0.2980
       a12       8.0137       8.0126       8.0148       0.2630
       a13       7.9922       7.9901       7.9938       0.2910
       a14       7.9598       7.9576       7.9619       0.4060
       a15       7.9556       7.9533       7.9578       0.3850
       a16       7.9571       7.9540       7.9602       0.2900
       a17       7.9492       7.9456       7.9523       0.2790
       a18       7.9465       7.9437       7.9498       0.4140
       a19       7.9517       7.9493       7.9567       0.2790
      a110       7.9505       7.9478       7.9539       0.3380
      a111       7.9305       7.9281       7.9338       0.3390
      a112       7.9085       7.9056       7.9110       0.3060
      a113       7.8996       7.8971       7.9021       0.3250
      a114       7.9085       7.9043       7.9130       0.3080
      a115       7.9229       7.9194       7.9268       0.3450
      a116       7.9434       7.9401       7.9468       0.2430
      a117       7.9225       7.9203       7.9253       0.4230
      a118       7.9086       7.9063       7.9111       0.3380
      a119       7.9026       7.9005       7.9047       0.3340
       a20       1.4989       1.4956       1.5000       0.2630
       a21       1.4954       1.4816       1.4999       0.2240
       a22       1.3601       1.3267       1.3981       0.3080
       a23       0.8355       0.8293       0.8405       0.3080
       a24       0.9416       0.9385       0.9446       0.3880
       a25       0.9632       0.9606       0.9660       0.3030
       a26       0.9708       0.9678       0.9742       0.3390
       a27       0.9750       0.9714       0.9782       0.3560
       a28       0.9878       0.9842       0.9908       0.3010
       a29       0.9821       0.9772       0.9846       0.2870
      a210       0.9667       0.9629       0.9701       0.2840
      a211       0.9770       0.9733       0.9806       0.3070
      a212       0.9887       0.9856       0.9923       0.3220
      a213       0.9920       0.9893       0.9952       0.2970
      a214       0.9870       0.9821       0.9910       0.3450
      a215       0.9730       0.9692       0.9771       0.2930
      a216       0.9490       0.9452       0.9526       0.3670
      a217       0.9621       0.9587       0.9649       0.2360
      a218       0.9770       0.9741       0.9798       0.3230
      a219       0.9856       0.9833       0.9879       0.3450
      tau0      -2.4282      -2.4367      -2.4197       0.2750
      tau1      -2.4364      -2.4461      -2.4272       0.3860
      tau2      -2.4006      -2.4124      -2.3906       0.3990
      tau3      -2.3294      -2.3445      -2.3141       0.3250
      tau4      -2.5056      -2.5193      -2.4898       0.2830
      tau5      -2.6167      -2.6321      -2.6046       0.2940
      tau6      -2.6269      -2.6377      -2.6170       0.3390
      tau7      -2.6234      -2.6329      -2.6146       0.2790
      tau8      -2.5746      -2.5842      -2.5658       0.2910
      tau9      -2.4515      -2.4631      -2.4416       0.3790
     tau10      -2.3435      -2.3583      -2.3297       0.2580
     tau11      -2.4175      -2.4298      -2.4015       0.3300
     tau12      -2.4924      -2.5047      -2.4799       0.3560
     tau13      -2.4944      -2.5072      -2.4810       0.3960
     tau14      -2.4663      -2.4775      -2.4558       0.2620
     tau15      -2.4450      -2.4557      -2.4341       0.3940
     tau16      -2.4154      -2.4282      -2.4033       0.2910
     tau17      -2.4530      -2.4623      -2.4411       0.3950
     tau18      -2.5261      -2.5387      -2.5153       0.3260
     tau19      -2.5529      -2.5635      -2.5430       0.3110
      amix       0.0001       0.0000       0.0002       0.2500
    halted       0.1211       0.1158       0.1268       0.3220
 posterior-5224038.2874-5224049.5670-5224027.9992
