Gene_ID,Gene_name,Fourier_score,P_value,FDR
YMR199W,CLN1,9.10789480343771,2.00E-05,0.0559
YLR270W,DCS1,8.42952952055031,3.00E-05,0.0559
YIL106W,MOB1,8.71194105672692,5.00E-05,0.0559
YMR201C,RAD14,8.20505021928249,6.00E-05,0.0559
YPL141C,FRK1,8.471881525724,7.00E-05,0.0559
YCR024C-A,PMP1,8.5850452762512,8.00E-05,0.0559
YIL110W,HPM1,8.00964850899728,8.00E-05,0.0559
YLR044C,PDC1,8.98595397077877,8.00E-05,0.0559
YDR159W,SAC3,8.54326773882894,0.00011,0.0559
YJL079C,PRY1,8.54009318603465,0.00011,0.0559
YKR042W,UTH1,8.5424669994972,0.00012,0.0559
YOR002W,ALG6,8.74964256471326,0.00012,0.0559
YPL256C,CLN2,8.35506743842941,0.00014,0.0598928571428571
YLL004W,ORC3,8.69476664376306,0.00015,0.0598928571428571
YMR032W,HOF1,8.28109558772602,0.00019,0.0621111111111111
YKL003C,MRP17,7.98534013889754,2.00E-04,0.0621111111111111
YLR452C,SST2,8.6036861329528,2.00E-04,0.0621111111111111
YNR024W,MPP6,8.34578543509533,2.00E-04,0.0621111111111111
YLR190W,MMR1,8.62588874655166,0.00024,0.0706105263157895
YPL057C,SUR1,8.4720586298247,0.00029,0.0738678571428571
YBR098W,MMS4,8.05112209966904,0.00034,0.0738678571428571
YOL069W,NUF2,8.55389308771304,0.00034,0.0738678571428571
YBR287W,YBR287W,8.39575384529429,0.00035,0.0738678571428571
YGR152C,RSR1,6.94367224978241,0.00035,0.0738678571428571
YHR100C,GEP4,8.62540446280826,0.00035,0.0738678571428571
YAL044C,GCV3,8.23549636961572,0.00036,0.0738678571428571
YOR129C,AFI1,8.37015217830572,0.00036,0.0738678571428571
YBR270C,BIT2,7.99792346189711,0.00037,0.0738678571428571
YOL003C,PFA4,8.28908743427248,0.00042,0.0791916666666667
YLR045C,STU2,8.58720756995547,0.00045,0.0791916666666667
YJR009C,TDH2,8.11060269612113,0.00046,0.0791916666666667
YHR002W,LEU5,7.88686214592502,5.00E-04,0.0791916666666667
YMR293C,HER2,7.98659363053446,5.00E-04,0.0791916666666667
YGL028C,SCW11,8.44910488104576,0.00051,0.0791916666666667
YGR014W,MSB2,8.18271293754254,0.00051,0.0791916666666667
YNL314W,DAL82,8.47880810306908,0.00051,0.0791916666666667
YPR198W,SGE1,8.17389428807275,0.00054,0.0815837837837838
YPR058W,YMC1,8.09828999833662,0.00062,0.0912052631578947
YKL156W,RPS27A,8.29846207098175,0.00069,0.0980164383561644
YAL033W,POP5,7.54485208618024,0.00075,0.0980164383561644
YKL101W,HSL1,8.13708215936382,0.00077,0.0980164383561644
YKR062W,TFA2,8.05069602553244,0.00078,0.0980164383561644
YJR031C,GEA1,8.47321097801352,0.00082,0.0980164383561644
YLR131C,ACE2,7.96397204735336,0.00086,0.0980164383561644
YJL095W,BCK1,8.19432001382249,0.00087,0.0980164383561644
YPR119W,CLB2,7.951621823498,0.00088,0.0980164383561644
YGR070W,ROM1,8.22674244801342,0.00089,0.0980164383561644
YNL260C,YNL260C,8.06713710721156,9.00E-04,0.0980164383561644
YDR198C,RKM2,8.26240256814574,0.00091,0.0980164383561644
YIL161W,YIL161W,7.70203764872663,0.00092,0.0980164383561644
YBR024W,SCO2,7.95218472462965,0.00094,0.0980164383561644
YPL051W,ARL3,8.29690842407685,0.00094,0.0980164383561644
YPR120C,CLB5,7.95258975780784,0.00095,0.0980164383561644
YIR026C,YVH1,8.17816430289755,0.00096,0.0980164383561644
YJR106W,ECM27,7.93787863089074,0.00098,0.0980164383561644
YML057W,CMP2,8.1335158267519,0.00105,0.0980164383561644
YMR059W,SEN15,7.84603391064022,0.00107,0.0980164383561644
YPL152W,RRD2,7.93197125133998,0.00109,0.0980164383561644
YHR086W,NAM8,8.07890212130635,0.0011,0.0980164383561644
YAL001C,TFC3,8.03229784086427,0.00112,0.0980164383561644
YOR005C,DNL4,8.21686639281001,0.00114,0.0980164383561644
YDL033C,SLM3,8.17153529667053,0.00118,0.0980164383561644
YDR342C,HXT7,8.0854209778699,0.00119,0.0980164383561644
YOR003W,YSP3,7.98999318546308,0.00119,0.0980164383561644
YCR097W,HMRA1,6.95832051895078,0.00121,0.0980164383561644
YDR484W,VPS52,8.03357423147431,0.00122,0.0980164383561644
YOR215C,AIM41,8.12563700513906,0.00122,0.0980164383561644
YNL081C,SWS2,8.12180476150955,0.00124,0.0980164383561644
YBR220C,YBR220C,8.20769629206011,0.00125,0.0980164383561644
YDR022C,CIS1,8.18345156394494,0.00128,0.0980164383561644
YER127W,LCP5,7.97982067786733,0.00128,0.0980164383561644
YOL007C,CSI2,8.00633282228276,0.00128,0.0980164383561644
YPR178W,PRP4,7.99400447184686,0.00128,0.0980164383561644
YER007W,PAC2,8.2788193214738,0.00134,0.100031578947368
YIR010W,DSN1,8.28654845218299,0.00136,0.100031578947368
YKL008C,LAC1,7.88911527403207,0.00136,0.100031578947368
YJL158C,CIS3,8.19411004580546,0.00139,0.100067901234568
YGR153W,YGR153W,8.00885971094468,0.00142,0.100067901234568
YMR204C,INP1,8.23136756070405,0.00144,0.100067901234568
YAL011W,SWC3,8.09378695151019,0.00145,0.100067901234568
YFL040W,YFL040W,7.88868183775085,0.00145,0.100067901234568
