Gene_ID,Gene_name,Fourier_score,P_value,FDR
YER125W,RSP5,8.31845464886632,1.00E-05,0.0508181818181818
YBR180W,DTR1,8.15879883272097,3.00E-05,0.0508181818181818
YPL141C,FRK1,8.56650111542287,5.00E-05,0.0508181818181818
YPR119W,CLB2,9.13477608312224,5.00E-05,0.0508181818181818
YDR147W,EKI1,8.74481789391295,7.00E-05,0.0508181818181818
YBL002W,HTB2,8.68886584066466,9.00E-05,0.0508181818181818
YBR038W,CHS2,8.88787363697806,9.00E-05,0.0508181818181818
YGR177C,ATF2,8.53874985086546,9.00E-05,0.0508181818181818
YCR024C-A,PMP1,8.77190907423304,1.00E-04,0.0508181818181818
YDR033W,MRH1,8.78825468256854,1.00E-04,0.0508181818181818
YDR146C,SWI5,8.61312369094749,1.00E-04,0.0508181818181818
YNL058C,YNL058C,8.97583497502414,0.00012,0.0559
YKL096W-A,CWP2,8.36612486634927,0.00017,0.0731
YBR068C,BAP2,8.42863795189207,2.00E-04,0.07826
YJL160C,YJL160C,8.71607271581912,0.00021,0.07826
YJL079C,PRY1,8.26748880694245,0.00026,0.0908375
YMR199W,CLN1,8.60200740969478,3.00E-04,0.0931666666666667
YPR120C,CLB5,8.46246868536118,3.00E-04,0.0931666666666667
YPR156C,TPO3,8.14776034664665,0.00032,0.0941473684210526
YGL008C,PMA1,8.61605066291962,0.00034,0.09503
YOR018W,ROD1,8.28374393061676,0.00037,0.0954958333333333
YGR143W,SKN1,7.43035349569699,0.00038,0.0954958333333333
YDR225W,HTA1,8.27844999746363,4.00E-04,0.0954958333333333
YNL146C-A,YNL146C-A,8.50098360917365,0.00041,0.0954958333333333
YBL003C,HTA2,8.35612209382353,0.00045,0.0968933333333333
YDR451C,YHP1,8.38095139450026,0.00048,0.0968933333333333
YNL031C,HHT2,8.48690380055808,0.00048,0.0968933333333333
YLR131C,ACE2,7.95881683576724,0.00049,0.0968933333333333
YNL178W,RPS3,8.15111714279353,0.00051,0.0968933333333333
YBR009C,HHF1,8.37791755702469,0.00052,0.0968933333333333
YPR157W,YPR157W,8.38138430051921,6.00E-04,0.1075
YHR174W,ENO2,8.1905723609826,0.00063,0.1075
YLR179C,YLR179C,7.99803447951915,0.00065,0.1075
YER070W,RNR1,7.68683087459734,0.00069,0.1075
YOR335C,ALA1,8.22035434278024,0.00071,0.1075
YBR083W,TEC1,8.12270282499434,0.00073,0.1075
YML119W,YML119W,7.93357959391905,0.00074,0.1075
YPL014W,YPL014W,7.68978232537854,0.00074,0.1075
YBR011C,IPP1,8.10145124327721,0.00075,0.1075
YJR025C,BNA1,7.85575978258012,0.00081,0.1118
YDR403W,DIT1,7.89227297413024,0.00082,0.1118
YER001W,MNN1,8.16223328092338,0.00084,0.1118
YNL301C,RPL18B,7.9173388201707,0.00088,0.113042222222222
YGR108W,CLB1,7.81710828104089,0.00089,0.113042222222222
YLR055C,SPT8,8.41037674904095,0.00091,0.113042222222222
YGR056W,RSC1,7.61963926740769,0.00099,0.12030652173913
YOL041C,NOP12,8.15943394434568,0.00104,0.123693617021277
YJR105W,ADO1,8.13985186743535,0.00111,0.127771428571429
YGR152C,RSR1,7.65311702114739,0.00112,0.127771428571429
YKL062W,MSN4,7.81987900592929,0.0012,0.133721568627451
YLR300W,EXG1,7.46989614257162,0.00122,0.133721568627451
YGR109C,CLB6,7.6571466525636,0.00131,0.140277358490566
YPL236C,YPL236C,8.13294522271835,0.00133,0.140277358490566
YHR086W-A,YHR086W-A,7.29248243540905,0.00139,0.143182456140351
YGL162W,SUT1,7.98232734509051,0.00142,0.143182456140351
YLR286C,CTS1,7.84688002499236,0.00144,0.143182456140351
YDL127W,PCL2,7.92991913517227,0.00146,0.143182456140351
YLL005C,SPO75,8.10543309235626,0.0016,0.149667741935484
YPL057C,SUR1,7.68688663394411,0.00163,0.149667741935484
YNL234W,YNL234W,7.88534984694162,0.00164,0.149667741935484
YJL158C,CIS3,8.15669789190468,0.00165,0.149667741935484
YJL184W,GON7,7.95681675803708,0.00166,0.149667741935484
YHL040C,ARN1,7.76544157337892,0.00191,0.169446875
YDL171C,GLT1,7.90144825213982,0.00194,0.169446875
YHR115C,DMA1,8.06325586957389,0.00205,0.175357534246575
YNL283C,WSC2,7.91926967399377,0.00213,0.175357534246575
YOL082W,ATG19,7.74618775124069,0.00219,0.175357534246575
YOL019W,YOL019W,7.6993180961124,0.00219,0.175357534246575
YIL106W,MOB1,7.89436508147752,0.00225,0.175357534246575
YOL060C,MAM3,7.79264579348163,0.00226,0.175357534246575
YPL056C,LCL1,8.00002614530572,0.00226,0.175357534246575
YKL217W,JEN1,7.77113037678471,0.00227,0.175357534246575
YHL025W,SNF6,7.98845558189589,0.00229,0.175357534246575
YKL185W,ASH1,7.65076242283541,0.00236,0.178134666666667
YGL116W,CDC20,7.60903629149185,0.00239,0.178134666666667
YCR086W,CSM1,7.75886217304327,0.00253,0.183974683544304
YDR125C,ECM18,7.57818108461623,0.00259,0.183974683544304
YER158C,YER158C,7.96679534337442,0.00259,0.183974683544304
YCL063W,VAC17,7.59865296219172,0.0026,0.183974683544304
YER159C,BUR6,7.86131287911761,0.00265,0.18516875
YOL142W,RRP40,7.47552452036649,0.00272,0.187713580246914
YPL256C,CLN2,7.56042662631951,0.00281,0.188805102040816
YOL007C,CSI2,7.83647900817068,0.00284,0.188805102040816
YNL053W,MSG5,7.82200583776956,0.0029,0.188805102040816
YGL202W,ARO8,7.97311025291528,0.00297,0.188805102040816
YOR058C,ASE1,7.29188655805348,0.00298,0.188805102040816
YBR291C,CTP1,7.84305813421056,0.00301,0.188805102040816
YAR018C,KIN3,7.6937765186282,0.00305,0.188805102040816
YPL145C,KES1,7.41762332036253,0.00308,0.188805102040816
YCR024C,SLM5,7.57927805350193,0.00308,0.188805102040816
YDR524C-B,YDR524C-B,7.91368008213149,0.00309,0.188805102040816
YDR499W,LCD1,7.41766554865057,0.00311,0.188805102040816
YCR032W,BPH1,7.32662983431476,0.00322,0.188805102040816
YNL300W,TOS6,7.48162367372275,0.00322,0.188805102040816
YPL235W,RVB2,7.67208659486303,0.00326,0.188805102040816
YER011W,TIR1,7.79370069207911,0.00329,0.188805102040816
YBR037C,SCO1,7.80677910935253,0.00331,0.188805102040816
YIL140W,AXL2,7.52877978516623,0.00331,0.188805102040816
YBR118W,TEF2,7.64915796975738,0.00335,0.189156565656566
YLR043C,TRX1,7.76843631215189,0.00363,0.199486274509804
YHR021W-A,ECM12,7.66269642558206,0.00364,0.199486274509804
YPR028W,YOP1,7.7919494257726,0.00364,0.199486274509804
YBR203W,COS111,7.34396519181991,0.00376,0.20406213592233
YLL022C,HIF1,7.33306087833856,0.00387,0.205314953271028
YKL096C-B,YKL096C-B,7.93827474138889,0.00388,0.205314953271028
YOR315W,SFG1,7.78107073295549,0.00391,0.205314953271028
YDL106C,PHO2,7.54370996444494,0.00393,0.205314953271028
YDR222W,YDR222W,7.62026207570326,0.00401,0.207188990825688
YJL077C,ICS3,7.75897951889861,0.00404,0.207188990825688
YDL136W,RPL35B,7.60519582422516,0.00414,0.208626785714286
YLR150W,STM1,7.65673946051531,0.00417,0.208626785714286
YMR230W-A,YMR230W-A,7.34735432137946,0.00418,0.208626785714286
YBL011W,SCT1,7.68948379810319,0.00434,0.212812280701754
YDR055W,PST1,7.43437083423448,0.00434,0.212812280701754
YHR022C-A,YHR022C-A,7.27657828823303,0.00451,0.213898347107438
YNL160W,YGP1,7.84961041918019,0.00452,0.213898347107438
YPL221W,FLC1,7.69941153184822,0.00454,0.213898347107438
YJR113C,RSM7,7.66714372755626,0.00461,0.213898347107438
YNL327W,EGT2,7.6762079564851,0.00461,0.213898347107438
YLR099W-A,YLR099W-A,7.1226656024886,0.00462,0.213898347107438
YBR196C-B,YBR196C-B,7.51641752700899,0.00463,0.213898347107438
YNL128W,TEP1,7.31874101415779,0.00478,0.217691869918699
YMR006C,PLB2,7.67763869597429,0.00479,0.217691869918699
YCR012W,PGK1,7.36524060640007,0.0049,0.220895161290323
YEL056W,HAT2,7.4427893053843,0.00505,0.224026717557252
YKR041W,YKR041W,7.6440401637476,0.00506,0.224026717557252
YLR189C,ATG26,7.77602818864829,0.00514,0.224026717557252
YLR340W,RPP0,7.38882464851564,0.00517,0.224026717557252
YGR240C,PFK1,7.52272589615317,0.00518,0.224026717557252
YJL107C,YJL107C,7.57889989211649,0.00525,0.224026717557252
YLR083C,EMP70,7.73902694210801,0.00525,0.224026717557252
YMR001C,CDC5,7.32764824667987,0.00549,0.232493181818182
YNR018W,AIM38,7.54018674446491,0.00574,0.240863235294118
YDL048C,STP4,7.75293894637116,0.00582,0.240863235294118
YHR116W,COX23,7.60042518948796,0.00584,0.240863235294118
YDR224C,HTB1,7.76944365853381,0.00586,0.240863235294118
YNL289W,PCL1,7.29541762863906,0.00592,0.241553284671533
YKR091W,SRL3,7.38504869545543,0.00602,0.243754421768707
YDR342C,HXT7,7.55926763597838,0.00619,0.243754421768707
YGR229C,SMI1,7.37528867915653,0.00621,0.243754421768707
YOL140W,ARG8,7.66190139413247,0.00625,0.243754421768707
YDL055C,PSA1,7.63613253254335,0.00626,0.243754421768707
YLR406C-A,YLR406C-A,7.27596238641075,0.0063,0.243754421768707
YLR407W,YLR407W,7.30067540389073,0.00634,0.243754421768707
YBR111W-A,SUS1,7.59099019268968,0.00635,0.243754421768707
YIL009W,FAA3,7.43817171997994,0.00639,0.243754421768707
YJL078C,PRY3,7.24010432570322,0.00641,0.243754421768707
YCR065W,HCM1,7.29253436334432,0.00649,0.245129054054054
YOR098C,NUP1,7.33447132131564,0.00657,0.246485234899329
YOR342C,YOR342C,7.3018911743673,0.00677,0.252295333333333
YDR012W,RPL4B,7.53024272351559,0.00684,0.253215894039735
YMR240C,CUS1,7.23816821596482,0.00691,0.253894193548387
YOR247W,SRL1,7.27149110679178,0.00701,0.253894193548387
YIL162W,SUC2,7.70173012648377,0.00702,0.253894193548387
YBL087C,RPL23A,7.39228525378945,0.00704,0.253894193548387
YLR413W,YLR413W,6.50669865128646,0.00716,0.256566666666667
YOL158C,ENB1,7.33095280288712,0.00721,0.256712738853503
YFR015C,GSY1,7.20757821168801,0.00732,0.257416049382716
YAL038W,CDC19,7.24856032283103,0.00744,0.257416049382716
YHR099W,TRA1,7.40227634982209,0.00745,0.257416049382716
YLR205C,HMX1,7.35777745608072,0.00745,0.257416049382716
YMR111C,YMR111C,7.38828338628958,0.00746,0.257416049382716
YKL192C,ACP1,7.17332479130217,0.00755,0.258026219512195
YBR215W,HPC2,7.5406158035939,0.00757,0.258026219512195
YPR065W,ROX1,7.3565737422526,0.00763,0.258495151515151
YGR062C,COX18,7.43854903386721,0.00774,0.260642168674699
YLR347C,KAP95,7.19449003970912,0.0078,0.261089820359281
YGR146C-A,YGR146C-A,7.51132792188128,0.00786,0.261532142857143
YLR058C,SHM2,7.51205224486524,0.00794,0.262630769230769
YFL026W,STE2,7.13647068237701,0.008,0.263058823529412
YJR041C,URB2,7.47302009160162,0.00808,0.26413567251462
YML055W,SPC2,7.29349344428173,0.0083,0.26975
YML100W-A,YML100W-A,6.93141768009624,0.00835,0.269806358381503
YBR115C,LYS2,7.27964786904479,0.00843,0.270825862068965
YKL035W,UGP1,7.53043689569055,0.00855,0.271962921348315
YOL091W,SPO21,7.49058043300518,0.00864,0.271962921348315
YDL227C,HO,7.31167202194159,0.00865,0.271962921348315
YDR050C,TPI1,7.18369285290726,0.00866,0.271962921348315
YNL015W,PBI2,7.56652045851187,0.00871,0.272005027932961
YDR040C,ENA1,7.23471661203627,0.00876,0.272046666666667
YHR071W,PCL5,7.35717487023796,0.00882,0.272396685082873
YOR154W,SLP1,7.30912576492839,0.009,0.276428571428571
YAL063C-A,YAL063C-A,7.22231817316477,0.00912,0.277715957446808
YOR375C,GDH1,7.10702145676831,0.00927,0.277715957446808
YJR111C,YJR111C,7.45542439813222,0.00928,0.277715957446808
YBR070C,ALG14,7.01756457469278,0.00933,0.277715957446808
YCR084C,TUP1,7.22467905429835,0.00933,0.277715957446808
YPL081W,RPS9A,7.19710697851774,0.00934,0.277715957446808
YPL030W,TRM44,6.96397936225371,0.0094,0.278021164021164
YMR049C,ERB1,7.40126600851832,0.00947,0.278617368421053
YLR431C,ATG23,7.26210588367239,0.00962,0.278923711340206
YLR406C,RPL31B,7.35794390561147,0.00963,0.278923711340206
YJR042W,NUP85,7.30040650939937,0.00966,0.278923711340206
YKL103C,LAP4,6.98287014658994,0.00968,0.278923711340206
YPR144C,NOC4,7.26395124475197,0.00974,0.279213333333333
YML131W,YML131W,7.35006931904573,0.00991,0.282637244897959
YMR008C,PLB1,7.03671062172243,0.0101,0.286593908629442
YGL035C,MIG1,7.35206816512718,0.01023,0.288208040201005
YNL056W,OCA2,7.41530575539038,0.01026,0.288208040201005
YNL142W,MEP2,7.24622332281974,0.01032,0.288444
YDR439W,LRS4,7.3693291189042,0.01038,0.288677611940299
YML027W,YOX1,7.28378572621404,0.01061,0.291212380952381
YLR223C,IFH1,7.30421190729655,0.01062,0.291212380952381
YNL078W,NIS1,7.38655531183418,0.01067,0.291212380952381
YLR432W,IMD3,7.05085707872158,0.01068,0.291212380952381
YMR205C,PFK2,7.23381725111171,0.01082,0.291212380952381
YER175C,TMT1,7.22899293124518,0.01086,0.291212380952381
YBL079W,NUP170,7.2215911339318,0.01089,0.291212380952381
YBR094W,PBY1,7.18373167779183,0.01092,0.291212380952381
YBR092C,PHO3,7.04903318460191,0.01094,0.291212380952381
YJL133W,MRS3,6.80632760092897,0.01125,0.292667555555556
YIL030C,SSM4,7.20415622565863,0.01128,0.292667555555556
YDR216W,ADR1,7.15735646647754,0.01131,0.292667555555556
YBR109C,CMD1,7.20143858798375,0.01138,0.292667555555556
YDR276C,PMP3,7.14652434805654,0.01145,0.292667555555556
YFR028C,CDC14,6.91709452062553,0.01155,0.292667555555556
YBR219C,YBR219C,7.22699129179327,0.01155,0.292667555555556
YIL131C,FKH1,7.19704318563764,0.01156,0.292667555555556
YBR202W,MCM7,6.97226423087456,0.01157,0.292667555555556
YJR112W,NNF1,7.18892742433124,0.01158,0.292667555555556
YBL029W,YBL029W,7.30879700151307,0.01164,0.292667555555556
YBR110W,ALG1,7.18799797128674,0.01172,0.292667555555556
YDR123C,INO2,6.52485756566592,0.01174,0.292667555555556
YJL002C,OST1,7.27218803177521,0.01178,0.292667555555556
YLR348C,DIC1,7.25641572311201,0.01178,0.292667555555556
YAL032C,PRP45,7.22253552070207,0.01187,0.293290308370044
YHR023W,MYO1,6.87229835990956,0.01191,0.293290308370044
YOR312C,RPL20B,7.11429573050808,0.01206,0.295681578947368
YNL111C,CYB5,6.9872222850001,0.01233,0.300944396551724
YOR273C,TPO4,6.94716371172481,0.01243,0.300944396551724
YGL232W,TAN1,6.7774995542027,0.01246,0.300944396551724
YDR300C,PRO1,7.01427598268806,0.01249,0.300944396551724
YHR143W,DSE2,7.31065601836191,0.01258,0.301716666666667
YNL097C-B,YNL097C-B,7.26556104614676,0.01263,0.301716666666667
YBR078W,ECM33,7.30401405663097,0.01272,0.302573617021277
YER099C,PRS2,7.10782898248312,0.01299,0.307567932489451
YOL143C,RIB4,6.56359780201035,0.01304,0.307567932489451
YNR049C,MSO1,7.07259805343268,0.0132,0.308957676348548
YKL005C,BYE1,6.85092017280637,0.01324,0.308957676348548
YEL063C,CAN1,7.11384543418955,0.01328,0.308957676348548
YHR087W,RTC3,7.23437736087384,0.01332,0.308957676348548
YFR012W-A,YFR012W-A,7.06831760444108,0.01343,0.310221900826446
YKL004W,AUR1,6.83357520776318,0.01351,0.310785596707819
YPL032C,SVL3,7.06491156435243,0.01361,0.3110276
YJR036C,HUL4,6.88589516981845,0.01367,0.3110276
YDL138W,RGT2,7.10475427806256,0.01372,0.3110276
YBR111C,YSA1,7.06040932797168,0.01384,0.3110276
YBR193C,MED8,7.1315828908023,0.01389,0.3110276
YKL164C,PIR1,7.16744707884166,0.0139,0.3110276
YFL022C,FRS2,7.10008251352239,0.01391,0.3110276
YBR196C,PGI1,7.03544446521782,0.0141,0.314019920318725
YGL031C,RPL24A,7.08459588590368,0.01429,0.31545137254902
YNR026C,SEC12,7.01440302569843,0.01434,0.31545137254902
YNL282W,POP3,7.17317142002483,0.01438,0.31545137254902
YLR002C,NOC3,6.80715962974214,0.01439,0.31545137254902
YPR149W,NCE102,7.06120666240526,0.01459,0.31756420233463
YHR208W,BAT1,7.04795750154678,0.0146,0.31756420233463
YJL190C,RPS22A,6.95588046037819,0.01473,0.318415
YGR044C,RME1,6.91926380564314,0.01478,0.318415
YOR264W,DSE3,6.93212152009379,0.01481,0.318415
YDL082W,RPL13A,6.98376383193895,0.01517,0.324905363984674
YDR126W,SWF1,6.48377110176053,0.0155,0.329448669201521
YMR177W,MMT1,6.97974142457165,0.0155,0.329448669201521
YPL262W,FUM1,6.89071159901816,0.01564,0.331165151515152
YOR153W,PDR5,7.03236965175934,0.01573,0.331813962264151
YPR069C,SPE3,7.08927807175258,0.01584,0.332878195488722
YCL055W,KAR4,6.3957445867326,0.0161,0.336651492537313
YJR123W,RPS5,7.02595033762936,0.01614,0.336651492537313
YML107C,PML39,7.02581112140016,0.01637,0.339954814814815
YGR202C,PCT1,7.03034296471582,0.01642,0.339954814814815
YIL079C,AIR1,7.0174979936077,0.01658,0.34200073800738
YOL020W,TAT2,6.90156858126354,0.01679,0.345059191176471
YNL232W,CSL4,7.04077215952978,0.01696,0.346008759124088
