Gene_ID,Gene_name,Fourier_score,P_value,FDR,Cell_cycle_phase
YAR003W,SWD1,8.932811572,0,0,G1
YAR007C,RFA1,8.823927873,0,0,G1
YBL086C,YBL086C,9.28748329,0,0,G1
YBL010C,YBL010C,8.757540829,0,0,G1
YBR138C,YBR138C,9.057127131,0,0,S/G2
YBR201W,DER1,9.358094703,0,0,G1
YCL061C,MRC1,9.009759234,0,0,G1
YCL024W,KCC4,9.176706616,0,0,G1
YCL014W,BUD3,9.261385529,0,0,S/G2
YDL164C,CDC9,9.045498785,0,0,G1
YDL156W,YDL156W,8.928571776,0,0,G1
YDR146C,SWI5,9.16201604,0,0,S/G2
YDR503C,LPP1,9.242873102,0,0,G1
YDR507C,GIN4,9.11011994,0,0,G1
YER017C,AFG3,9.006651767,0,0,G1
YER093C-A,AIM11,8.918951887,0,0,G1
YER170W,ADK2,9.214938682,0,0,G1
YGL129C,RSM23,9.520589103,0,0,S
YGL038C,OCH1,9.271955025,0,0,G1
YGL027C,CWH41,9.16891635,0,0,S
YGL021W,ALK1,9.058811903,0,0,S/G2
YGR015C,YGR015C,9.275827699,0,0,G1
YGR053C,YGR053C,8.970825362,0,0,G1
YGR238C,KEL2,9.544558485,0,0,G1
YGR279C,SCW4,8.740967943,0,0,G2/M
YHR109W,CTM1,9.058116331,0,0,G1
YHR158C,KEL1,9.289665107,0,0,G1
YHR159W,YHR159W,9.306415167,0,0,G1
YIL158W,AIM20,9.12484535,0,0,S/G2
YIL106W,MOB1,9.036975468,0,0,G2/M
YJL181W,YJL181W,9.383905505,0,0,G1
YJL112W,MDV1,9.290036641,0,0,S
YJL091C,GWT1,9.353526337,0,0,G1
YJL051W,IRC8,8.937824335,0,0,G2/M
YJR092W,BUD4,9.144410259,0,0,S/G2
YKL092C,BUD2,9.270308283,0,0,G1
YKR021W,ALY1,8.635536183,0,0,G2/M
YLR032W,RAD5,8.892285587,0,0,G1
YLR077W,FMP25,9.076588554,0,0,S
