orf_name,replication_time,replication_H_index
YAL067W-A,12.4047,171.0
YAL067C,12.4047,171.0
YAL064C-A,10.8891,168.0
YAL064W,9.8786,166.0
YAL063C-A,9.8786,166.0
YAL063C,6.8474,160.0
YAL062W,5.8369,158.0
YAL061W,5.8369,158.0
YAL060W,6.3421,159.0
YAL059W,6.3421,159.0
YAL058W,6.8474,160.0
YAL056W,7.8578,162.0
YAL055W,7.8578,162.0
YAL054C,9.3734,165.0
YAL053W,9.3734,165.0
YAL051W,9.8786,166.0
YAL049C,9.8786,166.0
YAL048C,9.3734,165.0
YAL047C,9.3734,165.0
YAL046C,8.363,163.0
YAL044W-A,8.363,163.0
YAL044C,8.363,163.0
YAL043C,6.3421,159.0
YAL042W,6.3421,159.0
YAL041W,6.3421,159.0
YAL040C,5.8369,158.0
YAL039C,5.8369,158.0
YAL038W,5.8369,158.0
YAL037C-A,6.3421,159.0
YAL037W,6.3421,159.0
YAL036C,6.3421,159.0
YAL035W,6.3421,159.0
YAL034W-A,7.8578,162.0
YAL034C,8.8682,164.0
YAL033W,8.8682,164.0
YAL032C,9.8786,166.0
YAL031C,10.3838,167.0
YAL030W,10.3838,167.0
YAL029C,10.8891,168.0
YAL028W,10.8891,168.0
YAL027W,10.8891,168.0
YAL026C,10.8891,168.0
YAL025C,10.3838,167.0
YAL024C,9.3734,165.0
YAL023C,8.8682,164.0
YAL022C,8.8682,164.0
YAL021C,7.3526,161.0
YAL020C,7.3526,161.0
YAL019W,7.3526,161.0
YAL018C,6.8474,160.0
YAL017W,6.8474,160.0
YAL016W,5.8369,158.0
YAL015C,4.8265,156.0
YAL014C,4.8265,156.0
YAL013W,4.8265,156.0
YAL012W,4.8265,156.0
YAL011W,4.8265,156.0
YAL010C,4.8265,156.0
YAL009W,4.8265,156.0
YAL008W,4.8265,156.0
YAL007C,4.8265,156.0
YAL005C,3.3109,153.0
YAL003W,3.3109,153.0
YAL002W,2.8056,152.0
YAL001C,2.8056,152.0
YAR002W,2.8056,152.0
YAR002C-A,2.3004,151.0
YAR003W,2.3004,151.0
YAR007C,2.3004,151.0
YAR008W,2.3004,151.0
YAR014C,2.3004,151.0
YAR015W,2.3004,151.0
YAR018C,2.3004,151.0
YAR019C,2.3004,151.0
YAR020C,2.8056,152.0
YAR023C,3.3109,153.0
YAR027W,4.3213,155.0
YAR028W,4.3213,155.0
YAR029W,3.3109,153.0
YAR031W,3.3109,153.0
