orf_name,replication_time,replication_H_index
YAL067W-A,14.8086,123.0
YAL067C,14.8086,123.0
YAL064C-A,13.0652,120.0
YAL064W,11.9028,118.0
YAL063C-A,11.9028,118.0
YAL063C,8.997,113.0
YAL062W,8.4159,112.0
YAL061W,7.8347,111.0
YAL060W,8.4159,112.0
YAL059W,8.4159,112.0
YAL058W,8.997,113.0
YAL056W,9.5782,114.0
YAL055W,9.5782,114.0
YAL054C,11.3217,117.0
YAL053W,11.3217,117.0
YAL051W,11.9028,118.0
YAL049C,11.9028,118.0
YAL048C,11.3217,117.0
YAL047C,11.3217,117.0
YAL046C,10.7405,116.0
YAL044W-A,10.7405,116.0
YAL044C,10.7405,116.0
YAL043C,8.997,113.0
YAL042W,8.997,113.0
YAL041W,8.997,113.0
YAL040C,9.5782,114.0
YAL039C,9.5782,114.0
YAL038W,10.1593,115.0
YAL037C-A,9.5782,114.0
YAL037W,9.5782,114.0
YAL036C,8.997,113.0
YAL035W,8.997,113.0
YAL034W-A,10.1593,115.0
YAL034C,10.7405,116.0
YAL033W,10.7405,116.0
YAL032C,11.3217,117.0
YAL031C,12.484,119.0
YAL030W,12.484,119.0
YAL029C,12.484,119.0
YAL028W,12.484,119.0
YAL027W,12.484,119.0
YAL026C,13.0652,120.0
YAL025C,12.484,119.0
YAL024C,11.3217,117.0
YAL023C,10.7405,116.0
YAL022C,10.7405,116.0
YAL021C,8.997,113.0
YAL020C,8.997,113.0
YAL019W,8.997,113.0
YAL018C,8.997,113.0
YAL017W,8.997,113.0
YAL016W,7.8347,111.0
YAL015C,7.8347,111.0
YAL014C,7.8347,111.0
YAL013W,7.8347,111.0
YAL012W,7.8347,111.0
YAL011W,7.8347,111.0
YAL010C,8.4159,112.0
YAL009W,8.4159,112.0
YAL008W,8.4159,112.0
YAL007C,8.4159,112.0
YAL005C,7.2535,110.0
YAL003W,7.2535,110.0
YAL002W,6.6724,109.0
YAL001C,6.0912,108.0
YAR002W,6.0912,108.0
YAR002C-A,6.0912,108.0
YAR003W,6.0912,108.0
YAR007C,6.0912,108.0
YAR008W,6.0912,108.0
YAR014C,6.6724,109.0
YAR015W,6.6724,109.0
YAR018C,6.0912,108.0
YAR019C,5.51,107.0
YAR020C,6.0912,108.0
YAR023C,6.0912,108.0
YAR027W,6.6724,109.0
YAR028W,6.6724,109.0
YAR029W,6.0912,108.0
YAR031W,6.0912,108.0
YAR033W,6.0912,108.0
YAR035W,7.8347,111.0
YAR035C-A,8.4159,112.0
YAR042W,8.4159,112.0
YAR050W,8.997,113.0
YBL107C,8.4159,112.0
YBL106C,8.997,113.0
YBL105C,9.5782,114.0
YBL104C,9.5782,114.0
YBL103C,9.5782,114.0
YBL102W,9.5782,114.0
YBL101C,8.997,113.0
YBL100W-C,8.997,113.0
YBL099W,8.997,113.0
YBL098W,8.4159,112.0
YBL097W,8.4159,112.0
YBL095W,7.2535,110.0
YBL093C,7.2535,110.0
YBL092W,6.6724,109.0
YBL091C-A,6.6724,109.0
YBL091C,6.6724,109.0
YBL090W,6.6724,109.0
YBL089W,7.2535,110.0
YBL088C,5.51,107.0
YBL087C,5.51,107.0
YBL086C,6.0912,108.0
YBL085W,6.0912,108.0
YBL084C,6.6724,109.0
YBL082C,7.8347,111.0
YBL081W,7.8347,111.0
YBL080C,7.2535,110.0
YBL079W,8.4159,112.0
YBL078C,8.4159,112.0
YBL076C,8.4159,112.0
YBL075C,8.4159,112.0
YBL074C,8.997,113.0
YBL071C-B,8.997,113.0
YBL071W-A,8.997,113.0
YBL069W,8.997,113.0
YBL068W,9.5782,114.0
YBL067C,10.1593,115.0
YBL066C,11.3217,117.0
YBL064C,11.9028,118.0
YBL063W,11.9028,118.0
YBL061C,13.0652,120.0
YBL060W,13.0652,120.0
YBL059C-A,13.0652,120.0
YBL059W,13.0652,120.0
YBL058W,13.6463,121.0
YBL057C,13.6463,121.0
YBL056W,13.6463,121.0
YBL055C,13.0652,120.0
YBL054W,13.0652,120.0
YBL052C,13.6463,121.0
YBL051C,13.6463,121.0
YBL050W,12.484,119.0
YBL049W,12.484,119.0
YBL047C,11.3217,117.0
YBL046W,11.3217,117.0
YBL045C,10.7405,116.0
YBL044W,10.7405,116.0
YBL043W,10.7405,116.0
YBL042C,9.5782,114.0
YBL041W,9.5782,114.0
YBL040C,9.5782,114.0
YBL039W-B,9.5782,114.0
YBL039C,9.5782,114.0
YBL038W,9.5782,114.0
YBL037W,10.1593,115.0
YBL036C,10.7405,116.0
YBL035C,11.3217,117.0
YBL034C,10.1593,115.0
YBL033C,11.3217,117.0
YBL032W,11.3217,117.0
YBL031W,10.7405,116.0
YBL030C,9.5782,114.0
YBL029C-A,9.5782,114.0
YBL029W,9.5782,114.0
YBL028C,9.5782,114.0
YBL027W,9.5782,114.0
YBL026W,8.997,113.0
YBL025W,8.997,113.0
YBL024W,8.997,113.0
YBL023C,8.997,113.0
YBL022C,8.4159,112.0
YBL021C,8.4159,112.0
YBL020W,8.4159,112.0
YBL019W,8.4159,112.0
YBL018C,8.4159,112.0
YBL017C,7.8347,111.0
YBL016W,7.8347,111.0
YBL015W,8.4159,112.0
YBL014C,8.4159,112.0
YBL013W,8.4159,112.0
YBL011W,7.8347,111.0
YBL010C,7.2535,110.0
YBL009W,7.2535,110.0
YBL008W-A,7.8347,111.0
YBL008W,7.8347,111.0
YBL007C,7.8347,111.0
YBL006C,7.8347,111.0
YBL005W,7.8347,111.0
YBL004W,7.2535,110.0
YBL003C,5.51,107.0
YBL002W,5.51,107.0
YBL001C,5.51,107.0
YBR001C,6.0912,108.0
YBR002C,6.0912,108.0
YBR003W,6.0912,108.0
YBR004C,7.2535,110.0
YBR005W,7.2535,110.0
YBR006W,7.2535,110.0
YBR007C,6.6724,109.0
YBR008C,7.2535,110.0
YBR009C,6.6724,109.0
YBR010W,6.6724,109.0
YBR011C,6.6724,109.0
YBR014C,6.6724,109.0
YBR015C,7.2535,110.0
YBR016W,7.2535,110.0
YBR017C,7.8347,111.0
YBR018C,7.8347,111.0
YBR019C,8.4159,112.0
YBR020W,8.4159,112.0
YBR021W,8.4159,112.0
YBR022W,8.997,113.0
YBR023C,10.1593,115.0
YBR024W,10.7405,116.0
YBR025C,11.3217,117.0
YBR026C,11.3217,117.0
YBR028C,11.9028,118.0
YBR029C,11.9028,118.0
YBR030W,11.9028,118.0
YBR033W,11.9028,118.0
YBR034C,10.7405,116.0
YBR035C,10.7405,116.0
YBR036C,9.5782,114.0
YBR037C,10.1593,115.0
YBR038W,10.1593,115.0
YBR039W,9.5782,114.0
YBR040W,9.5782,114.0
YBR041W,8.997,113.0
YBR042C,8.4159,112.0
YBR043C,7.8347,111.0
YBR044C,7.8347,111.0
YBR045C,8.997,113.0
YBR046C,7.8347,111.0
YBR047W,7.8347,111.0
YBR048W,7.8347,111.0
YBR049C,8.4159,112.0
YBR050C,8.997,113.0
YBR052C,10.1593,115.0
YBR053C,10.1593,115.0
YBR054W,11.3217,117.0
YBR055C,13.0652,120.0
YBR056W,13.0652,120.0
YBR057C,13.0652,120.0
YBR058C,12.484,119.0
YBR058C-A,12.484,119.0
YBR059C,13.0652,120.0
YBR060C,13.0652,120.0
YBR061C,13.6463,121.0
YBR062C,13.6463,121.0
YBR063C,13.0652,120.0
YBR065C,11.9028,118.0
YBR066C,11.9028,118.0
YBR067C,11.3217,117.0
YBR068C,8.4159,112.0
YBR069C,8.997,113.0
YBR070C,8.997,113.0
YBR071W,8.997,113.0
YBR072W,8.997,113.0
YBR072C-A,8.997,113.0
YBR073W,8.997,113.0
YBR074W,8.997,113.0
YBR076W,8.997,113.0
YBR077C,8.4159,112.0
YBR078W,8.4159,112.0
YBR079C,7.2535,110.0
YBR080C,7.2535,110.0
YBR081C,6.0912,108.0
YBR082C,6.6724,109.0
YBR083W,7.2535,110.0
YBR084W,7.2535,110.0
YBR084C-A,7.2535,110.0
YBR085W,7.2535,110.0
YBR085C-A,8.997,113.0
YBR086C,8.997,113.0
YBR087W,8.997,113.0
YBR088C,8.997,113.0
YBR089C-A,8.997,113.0
YBR090C,9.5782,114.0
