mu0 delta sigma0 sigmav lambda gamma1 gamma2 mua1 sigmaa1 mua2 sigmaa2 mut sigmat a10 a11 a12 a13 a14 a15 a16 a17 a18 a19 a110 a111 a112 a113 a114 a115 a20 a21 a22 a23 a24 a25 a26 a27 a28 a29 a210 a211 a212 a213 a214 a215 tau0 tau1 tau2 tau3 tau4 tau5 tau6 tau7 tau8 tau9 tau10 tau11 tau12 tau13 tau14 tau15 halted score 
-25.6213 5.4809 11.1187 0.1431 69.4418 0.0208 0.2697 7.7389 0.0021 1.0196 0.0444 -2.4412 0.0480 7.9109 7.7800 7.7740 7.7477 7.7310 7.7332 7.7320 7.7019 7.7213 7.7385 7.6948 7.7217 7.7055 7.6926 7.6990 7.7302 1.4990 1.4995 0.8683 0.8768 0.9629 0.9698 0.9681 0.9772 0.9943 0.9714 0.9476 0.9707 0.9790 0.9774 0.9771 0.9616 -2.4521 -2.4510 -2.4361 -2.3862 -2.6890 -2.7578 -2.7403 -2.7499 -2.5560 -2.3444 -2.3062 -2.5908 -2.6482 -2.6346 -2.5477 -2.5150 0.2233 -3897389.2462 
-25.6213 5.4809 11.1187 0.1434 69.4418 0.0208 0.2697 7.7378 0.0034 1.0290 0.0309 -2.4585 0.0634 7.9109 7.7800 7.7740 7.7477 7.7311 7.7332 7.7320 7.7019 7.7213 7.7400 7.6959 7.7216 7.7055 7.6926 7.6990 7.7302 1.4990 1.4995 0.8683 0.8768 0.9629 0.9698 0.9681 0.9769 0.9943 0.9710 0.9476 0.9707 0.9785 0.9774 0.9771 0.9603 -2.4521 -2.4435 -2.4361 -2.3862 -2.6890 -2.7578 -2.7403 -2.7499 -2.5590 -2.3444 -2.3062 -2.5908 -2.6366 -2.6346 -2.5502 -2.5020 0.2222 -3897388.5112 
-25.6213 5.4809 11.2311 0.1419 69.4418 0.0203 0.2697 7.7371 0.0019 1.0242 0.0240 -2.4661 0.0461 7.9115 7.7800 7.7740 7.7477 7.7311 7.7332 7.7327 7.7019 7.7213 7.7400 7.6959 7.7227 7.7057 7.6926 7.6974 7.7302 1.4990 1.4995 0.8699 0.8768 0.9629 0.9698 0.9686 0.9769 0.9937 0.9710 0.9476 0.9707 0.9781 0.9774 0.9767 0.9603 -2.4521 -2.4435 -2.4365 -2.3862 -2.6890 -2.7578 -2.7389 -2.7495 -2.5590 -2.3444 -2.3062 -2.5883 -2.6366 -2.6346 -2.5502 -2.5020 0.2222 -3897389.2449 
-25.6213 5.4809 11.2311 0.1419 69.4896 0.0203 0.2697 7.7381 0.0021 1.0182 0.0270 -2.4789 0.0632 7.9115 7.7800 7.7740 7.7477 7.7321 7.7332 7.7327 7.7019 7.7213 7.7400 7.6959 7.7227 7.7057 7.6930 7.6976 7.7302 1.4990 1.4995 0.8699 0.8768 0.9629 0.9715 0.9689 0.9769 0.9927 0.9710 0.9476 0.9707 0.9780 0.9774 0.9767 0.9603 -2.4585 -2.4435 -2.4365 -2.3862 -2.6890 -2.7692 -2.7423 -2.7369 -2.5510 -2.3444 -2.3062 -2.5883 -2.6366 -2.6351 -2.5454 -2.5020 0.2222 -3897390.7870 
-25.6166 5.4809 11.2311 0.1419 69.4896 0.0204 0.2697 7.7382 0.0021 1.0108 0.0256 -2.4592 0.0365 7.9117 7.7800 7.7740 7.7477 7.7321 7.7332 7.7316 7.7019 7.7213 7.7400 7.6959 7.7227 7.7061 7.6930 7.6976 7.7302 1.4990 1.4995 0.8729 0.8768 0.9629 0.9715 0.9698 0.9765 0.9927 0.9710 0.9476 0.9707 0.9780 0.9775 0.9776 0.9604 -2.4585 -2.4435 -2.4415 -2.3862 -2.6890 -2.7692 -2.7423 -2.7369 -2.5618 -2.3444 -2.3062 -2.5904 -2.6366 -2.6282 -2.5454 -2.5020 0.2222 -3897395.0615 
-25.6166 5.4809 11.2311 0.1419 69.4451 0.0209 0.2697 7.7385 0.0019 1.0166 0.0259 -2.4752 0.0513 7.9117 7.7806 7.7738 7.7477 7.7321 7.7332 7.7316 7.7019 7.7213 7.7400 7.6961 7.7227 7.7061 7.6930 7.6977 7.7302 1.4990 1.4995 0.8729 0.8747 0.9629 0.9715 0.9699 0.9765 0.9940 0.9709 0.9476 0.9697 0.9780 0.9775 0.9776 0.9604 -2.4585 -2.4435 -2.4459 -2.3862 -2.6856 -2.7692 -2.7289 -2.7424 -2.5693 -2.3444 -2.3062 -2.5904 -2.6366 -2.6282 -2.5454 -2.5020 0.2240 -3897397.1814 
-25.6166 5.5723 11.1968 0.1419 69.4451 0.0208 0.2694 7.7387 0.0046 1.0214 0.0249 -2.4766 0.0689 7.9110 7.7794 7.7744 7.7471 7.7321 7.7332 7.7302 7.7019 7.7207 7.7404 7.6961 7.7227 7.7065 7.6930 7.6977 7.7302 1.4990 1.4995 0.8729 0.8747 0.9629 0.9715 0.9701 0.9765 0.9946 0.9709 0.9476 0.9697 0.9788 0.9775 0.9776 0.9598 -2.4585 -2.4438 -2.4396 -2.3862 -2.6856 -2.7692 -2.7362 -2.7391 -2.5693 -2.3444 -2.3136 -2.5907 -2.6368 -2.6282 -2.5414 -2.5020 0.2250 -3897398.3525 
-25.6166 5.5723 11.1968 0.1444 69.5449 0.0214 0.2694 7.7373 0.0028 1.0242 0.0389 -2.4822 0.1009 7.9110 7.7794 7.7741 7.7471 7.7321 7.7332 7.7308 7.7023 7.7207 7.7404 7.6952 7.7227 7.7065 7.6930 7.6968 7.7302 1.4990 1.4893 0.8695 0.8747 0.9624 0.9715 0.9703 0.9772 0.9946 0.9681 0.9476 0.9697 0.9788 0.9775 0.9776 0.9596 -2.4585 -2.4438 -2.4396 -2.3848 -2.6856 -2.7692 -2.7362 -2.7391 -2.5693 -2.3444 -2.3136 -2.5907 -2.6368 -2.6282 -2.5432 -2.5020 0.2250 -3897398.7389 
-25.6166 5.5723 11.1968 0.1444 69.5856 0.0214 0.2694 7.7375 0.0019 1.0176 0.0246 -2.4613 0.0522 7.9096 7.7798 7.7741 7.7471 7.7321 7.7332 7.7308 7.7022 7.7201 7.7404 7.6952 7.7227 7.7065 7.6930 7.6967 7.7302 1.4990 1.4893 0.8705 0.8747 0.9624 0.9699 0.9703 0.9772 0.9950 0.9681 0.9476 0.9697 0.9788 0.9775 0.9776 0.9594 -2.4433 -2.4438 -2.4386 -2.3848 -2.6962 -2.7692 -2.7362 -2.7391 -2.5693 -2.3377 -2.3136 -2.5948 -2.6386 -2.6286 -2.5432 -2.5020 0.2246 -3897401.0199 
-25.6166 5.5723 11.1972 0.1428 69.5856 0.0214 0.2684 7.7383 0.0024 1.0093 0.0329 -2.4888 0.1004 7.9091 7.7798 7.7742 7.7471 7.7321 7.7341 7.7308 7.7017 7.7201 7.7404 7.6952 7.7227 7.7065 7.6921 7.6970 7.7302 1.4998 1.4893 0.8705 0.8747 0.9624 0.9699 0.9703 0.9767 0.9950 0.9681 0.9476 0.9697 0.9780 0.9775 0.9776 0.9596 -2.4433 -2.4438 -2.4386 -2.3848 -2.6747 -2.7549 -2.7362 -2.7372 -2.5693 -2.3377 -2.3136 -2.5895 -2.6292 -2.6286 -2.5432 -2.5020 0.2217 -3897398.5704 
-25.6166 5.7355 11.1972 0.1428 69.3899 0.0214 0.2684 7.7378 0.0018 1.0106 0.0244 -2.4845 0.0496 7.9091 7.7808 7.7742 7.7471 7.7321 7.7330 7.7308 7.7017 7.7198 7.7404 7.6952 7.7227 7.7065 7.6933 7.6977 7.7302 1.4998 1.4893 0.8705 0.8757 0.9624 0.9701 0.9703 0.9779 0.9950 0.9702 0.9476 0.9697 0.9780 0.9775 0.9776 0.9596 -2.4433 -2.4438 -2.4415 -2.3848 -2.6747 -2.7549 -2.7362 -2.7501 -2.5693 -2.3446 -2.3136 -2.5895 -2.6451 -2.6291 -2.5432 -2.5020 0.2217 -3897395.1993 
-25.6166 5.7355 11.1884 0.1431 69.3899 0.0214 0.2684 7.7376 0.0039 1.0160 0.0379 -2.4751 0.0607 7.9095 7.7801 7.7741 7.7471 7.7322 7.7330 7.7312 7.7017 7.7205 7.7392 7.6952 7.7227 7.7065 7.6934 7.6977 7.7318 1.4982 1.4470 0.8705 0.8757 0.9619 0.9701 0.9694 0.9779 0.9950 0.9702 0.9476 0.9690 0.9780 0.9775 0.9771 0.9596 -2.4433 -2.4502 -2.4535 -2.3848 -2.6747 -2.7549 -2.7362 -2.7501 -2.5693 -2.3393 -2.3136 -2.5895 -2.6451 -2.6291 -2.5432 -2.5020 0.2217 -3897394.4481 
-25.6026 5.7355 11.1884 0.1431 69.3899 0.0214 0.2684 7.7377 0.0023 0.9941 0.0345 -2.4807 0.0549 7.9095 7.7788 7.7739 7.7471 7.7322 7.7330 7.7312 7.7019 7.7205 7.7392 7.6952 7.7239 7.7065 7.6934 7.6969 7.7318 1.4982 1.4470 0.8705 0.8757 0.9619 0.9703 0.9694 0.9779 0.9933 0.9702 0.9476 0.9690 0.9774 0.9775 0.9781 0.9591 -2.4433 -2.4502 -2.4535 -2.3848 -2.6726 -2.7549 -2.7362 -2.7355 -2.5697 -2.3357 -2.3136 -2.5895 -2.6423 -2.6291 -2.5432 -2.5020 0.2217 -3897398.4153 
-25.6026 5.7355 11.1884 0.1430 69.5275 0.0213 0.2684 7.7371 0.0065 1.0073 0.0369 -2.5014 0.0854 7.9095 7.7786 7.7744 7.7471 7.7322 7.7330 7.7312 7.7020 7.7206 7.7392 7.6952 7.7239 7.7065 7.6934 7.6969 7.7318 1.4982 1.4394 0.8705 0.8765 0.9619 0.9705 0.9691 0.9771 0.9934 0.9702 0.9476 0.9690 0.9774 0.9762 0.9781 0.9591 -2.4433 -2.4430 -2.4535 -2.3848 -2.6765 -2.7634 -2.7362 -2.7355 -2.5697 -2.3357 -2.3073 -2.5895 -2.6423 -2.6291 -2.5432 -2.5020 0.2217 -3897400.6626 
