Stage,Iteration,Time,Score
SimAnneal,0,1.16546625,-4032537.9507251144
SimAnneal,10,3.474914875,-4006994.876991614
SimAnneal,20,4.652681875,-4005225.2910748734
SimAnneal,30,5.782287791,-4004002.0797260636
SimAnneal,40,7.080833166,-4003589.702234655
SimAnneal,50,9.001202041,-4003090.573842418
SimAnneal,60,11.139392958,-4002748.1690423074
SimAnneal,70,12.925649375,-4002572.9514194396
SimAnneal,80,14.127978666,-4002486.9358712034
SimAnneal,90,15.877466791,-4002016.36252248
BurnIn,100,17.125334916,-4001818.7080210824
BurnIn,110,18.254887791,-4001814.6810327163
BurnIn,120,19.390900125,-4001674.715360698
BurnIn,130,20.492855625,-4001519.49315301
BurnIn,140,21.6131925,-4001463.217614852
BurnIn,150,22.756428791,-4001454.6182432133
BurnIn,160,24.001082458,-4001222.4010306
BurnIn,170,25.327238291,-4001088.1042697155
BurnIn,180,26.531688875,-4000795.7764602653
BurnIn,190,27.702516,-4000575.346633037
BurnIn,200,28.959008291,-4000460.5277624065
BurnIn,210,30.456830166,-4000351.6439692997
BurnIn,220,32.018208958,-4000333.9095852985
BurnIn,230,34.3413715,-4000268.9116606545
BurnIn,240,36.634872833,-4000259.2030789163
BurnIn,250,38.843303041,-4000249.1596510476
BurnIn,260,41.0786635,-4000231.263001555
BurnIn,270,43.450487791,-4000224.224494285
BurnIn,280,45.934669625,-4000208.9647250744
BurnIn,290,48.275078708,-4000204.9583657216
BurnIn,300,50.672351583,-4000202.478603424
BurnIn,310,53.584155083,-3999741.7540021897
BurnIn,320,55.885179708,-3999363.299774932
BurnIn,330,58.160673125,-3999073.9006652203
BurnIn,340,60.48614275,-3998970.0751838563
BurnIn,350,62.915374375,-3998694.131158615
BurnIn,360,65.388312541,-3998470.444631506
BurnIn,370,67.830080833,-3998435.3341101375
BurnIn,380,70.180879541,-3998278.489969668
BurnIn,390,72.613740333,-3998111.301546341
BurnIn,400,74.985450833,-3998048.4148394065
BurnIn,410,77.338855708,-3997926.08231499
BurnIn,420,79.680543625,-3997784.5051289853
BurnIn,430,82.033183791,-3997707.4788075206
BurnIn,440,84.399527958,-3997611.89474616
BurnIn,450,86.747053416,-3997573.347325937
BurnIn,460,89.129317875,-3997513.9587793164
BurnIn,470,91.5019025,-3997467.9236172084
BurnIn,480,93.881427458,-3997446.0268900315
BurnIn,490,96.293499416,-3997432.616178973
BurnIn,500,98.656650583,-3997433.296967568
BurnIn,510,101.026955583,-3997419.664440518
BurnIn,520,103.403061291,-3997419.260667108
BurnIn,530,105.788665958,-3997409.784906347
BurnIn,540,108.174527041,-3997409.809321176
BurnIn,550,110.556534375,-3997404.3488172125
BurnIn,560,112.92702175,-3997402.808056415
BurnIn,570,115.324430458,-3997402.3936888264
BurnIn,580,117.698445875,-3997400.285165975
BurnIn,590,120.0846105,-3997408.0475634225
BurnIn,600,123.40243275,-3996990.7391384365
BurnIn,610,131.031126458,-3972719.5051614526
BurnIn,620,138.641611916,-3956415.7468351703
BurnIn,630,146.2260405,-3943723.984695208
BurnIn,640,153.762188208,-3932170.587747592
BurnIn,650,161.274473041,-3926715.9687391375
BurnIn,660,168.747037458,-3921009.2611427326
BurnIn,670,176.2772275,-3917724.99690417
BurnIn,680,183.757291208,-3915341.457807231
BurnIn,690,191.230968833,-3914670.7671144004
BurnIn,700,198.743877666,-3914574.6325251996
BurnIn,710,206.321034708,-3913356.0148820723
BurnIn,720,213.998936916,-3909965.6862398777
BurnIn,730,222.022775916,-3908165.0067937407
BurnIn,740,229.898436916,-3906877.6949142735
BurnIn,750,238.51441925,-3904737.799340797
BurnIn,760,247.276767916,-3903712.5886195125
BurnIn,770,255.575041791,-3903533.7795261038
BurnIn,780,263.206482916,-3902828.7243296346
BurnIn,790,270.718614458,-3901259.3898549653
BurnIn,800,278.430638416,-3900412.3522968753
BurnIn,810,286.170973041,-3899692.9902129183
BurnIn,820,293.8043225,-3897672.4069760856
BurnIn,830,301.311072416,-3897406.398193988
BurnIn,840,308.792848291,-3897407.123639678
BurnIn,850,316.296897125,-3897393.1119584218
BurnIn,860,323.842092958,-3897401.684106772
BurnIn,870,331.36616975,-3897402.8991834843
BurnIn,880,339.375605791,-3897391.0867366306
BurnIn,890,347.056397375,-3897390.8888375177
BurnIn,900,354.646542125,-3897390.671837115
BurnIn,910,362.306601208,-3897404.0424016416
BurnIn,920,369.918168208,-3897390.207469063
BurnIn,930,377.74389775,-3897389.2865698296
BurnIn,940,385.553486625,-3897394.4736564443
BurnIn,950,393.285227958,-3897395.722167235
BurnIn,960,401.047512166,-3897391.0162058277
BurnIn,970,408.804936416,-3897381.027486035
BurnIn,980,416.308562625,-3897387.3460243414
BurnIn,990,423.97359725,-3897394.0271188538
BurnIn,1000,431.632210208,-3897390.408093831
BurnIn,1010,439.3373185,-3897389.8601461584
BurnIn,1020,447.446356166,-3897396.4875952248
BurnIn,1030,455.203839458,-3897380.534578309
BurnIn,1040,462.933700125,-3897399.9104414782
BurnIn,1050,470.527850666,-3897389.304648743
BurnIn,1060,478.085504458,-3897398.295322495
BurnIn,1070,485.640584041,-3897392.8107361197
BurnIn,1080,493.32724925,-3897398.669026923
BurnIn,1090,500.936496416,-3897392.3025859366
Sampling,1100,508.604350041,-3897389.2462392594
Sampling,1110,516.464765708,-3897395.1992725763
Sampling,1120,524.269410875,-3897392.6010977235
Sampling,1130,531.977676583,-3897395.297048992
Sampling,1140,539.497205916,-3897386.28112408
Sampling,1150,547.031020916,-3897383.509936783
Sampling,1160,554.69488225,-3897380.97483936
Sampling,1170,562.669318791,-3897385.25855091
Sampling,1180,571.032661541,-3897384.1903065857
Sampling,1190,579.600930833,-3897377.976089396
Sampling,1200,588.024508,-3897381.3491746304
Sampling,1210,596.414152833,-3897378.9765134943
Sampling,1220,604.236371208,-3897391.380017275
Sampling,1230,612.228716875,-3897382.745056439
Sampling,1240,620.18082,-3897386.3310444476
Sampling,1250,628.221388125,-3897379.860051222
Sampling,1260,636.343766708,-3897383.042666378
Sampling,1270,644.396104333,-3897374.5891886046
Sampling,1280,652.290882375,-3897377.004119559
Sampling,1290,659.965275916,-3897381.698028547
