                 mean         2.5%        97.5%     accept. rate
       mu0     -17.2245     -18.0375     -16.7273       0.2400
     delta       4.9314       3.8666       6.5749       0.1250
    sigma0      10.5214      10.3966      10.6060       0.1450
    sigmav       0.1425       0.1395       0.1452       0.2300
    lambda      63.7286      62.8753      64.3103       0.2300
    gamma1       0.0426       0.0314       0.0503       0.2550
    gamma2       0.3131       0.3040       0.3190       0.2750
      mua1       7.6080       7.6048       7.6117       1.0000
   sigmaa1       0.0071       0.0035       0.0151       1.0000
      mua2       1.0059       0.9986       1.0146       1.0000
   sigmaa2       0.0164       0.0089       0.0331       1.0000
       mut      -2.4943      -2.5259      -2.4564       1.0000
    sigmat       0.0647       0.0369       0.1221       1.0000
       a10       7.8002       7.7991       7.8010       0.2600
       a11       7.8491       7.8480       7.8502       0.3450
       a12       7.6360       7.6333       7.6378       0.3300
       a13       7.6119       7.6106       7.6135       0.2400
       a14       7.5989       7.5968       7.6020       0.3000
       a15       7.6299       7.6279       7.6319       0.3850
       a16       7.6018       7.5993       7.6037       0.3600
       a17       7.5964       7.5950       7.5984       0.3300
       a18       7.5879       7.5858       7.5905       0.4100
       a19       7.5814       7.5794       7.5838       0.3550
      a110       7.5509       7.5498       7.5529       0.2700
      a111       7.5435       7.5413       7.5461       0.3650
      a112       7.5420       7.5411       7.5429       0.2700
      a113       7.5528       7.5510       7.5542       0.2950
      a114       7.5408       7.5391       7.5426       0.3900
      a115       7.5346       7.5321       7.5362       0.2500
       a20       1.4984       1.4947       1.5000       0.2600
       a21       0.9100       0.8957       0.9264       0.3750
       a22       0.8922       0.8880       0.9045       0.2700
       a23       0.9681       0.9657       0.9704       0.3150
       a24       0.9802       0.9767       0.9825       0.3200
       a25       0.9843       0.9823       0.9869       0.3500
       a26       0.9948       0.9924       0.9979       0.2950
       a27       1.0049       1.0029       1.0066       0.3400
       a28       0.9928       0.9903       0.9952       0.2650
       a29       0.9923       0.9891       0.9953       0.3000
      a210       0.9961       0.9944       0.9985       0.4100
      a211       0.9969       0.9939       0.9995       0.2400
      a212       0.9943       0.9930       0.9955       0.3100
      a213       0.9832       0.9814       0.9849       0.3150
      a214       0.9801       0.9779       0.9824       0.2900
      a215       0.9832       0.9809       0.9860       0.2800
      tau0      -2.3779      -2.3868      -2.3685       0.3800
      tau1      -2.3114      -2.3200      -2.3007       0.2750
      tau2      -2.3810      -2.3948      -2.3608       0.2850
      tau3      -2.6189      -2.6325      -2.6075       0.2800
      tau4      -2.7454      -2.7546      -2.7326       0.2800
      tau5      -2.7243      -2.7371      -2.7158       0.3600
      tau6      -2.7385      -2.7452      -2.7302       0.3600
      tau7      -2.5688      -2.5787      -2.5592       0.2650
      tau8      -2.4514      -2.4626      -2.4367       0.3050
      tau9      -2.5365      -2.5484      -2.5222       0.3600
     tau10      -2.6085      -2.6212      -2.5960       0.3800
     tau11      -2.6696      -2.6806      -2.6605       0.3700
     tau12      -2.6530      -2.6623      -2.6417       0.1850
     tau13      -2.5485      -2.5584      -2.5376       0.3300
     tau14      -2.5523      -2.5644      -2.5409       0.2850
     tau15      -2.6066      -2.6198      -2.5919       0.4300
    halted       0.2960       0.2908       0.3035       0.4350
 posterior-4164719.9894-4164739.9795-4164689.6093
