orf_name,timing,H_index
YAL067W-A,53.31458474,196
YAL067C,52.30418474,194
YAL064C-A,52.80938474,195
YAL064W,51.79898474,193
YAL063C-A,51.79898474,193
YAL063C,49.77808474,189
YAL062W,45.736384740000005,181
YAL061W,45.736384740000005,181
YAL060W,47.75728474,185
YAL059W,47.75728474,185
YAL058W,47.25208474,184
YAL056W,48.76768474,187
YAL055W,50.28328474,190
YAL054C,50.788584740000005,191
YAL053W,50.788584740000005,191
YAL051W,51.29378474,192
YAL049C,51.29378474,192
YAL048C,51.79898474,193
YAL047C,51.79898474,193
YAL046C,51.79898474,193
YAL044W-A,51.79898474,193
YAL044C,51.79898474,193
YAL043C,50.788584740000005,191
YAL042W,50.788584740000005,191
YAL041W,50.788584740000005,191
YAL037C-A,43.71558474,177
YAL037W,43.71558474,177
YAL036C,47.25208474,184
YAL035W,47.25208474,184
YAL034W-A,49.77808474,189
YAL034C,51.79898474,193
YAL033W,51.79898474,193
YAL032C,52.30418474,194
YAL031C,52.30418474,194
YAL030W,52.30418474,194
YAL029C,52.30418474,194
YAL028W,52.30418474,194
YAL027W,51.79898474,193
YAL026C,51.79898474,193
YAL025C,51.29378474,192
YAL024C,52.30418474,194
YAL023C,51.79898474,193
YAL022C,52.30418474,194
YAL021C,48.76768474,187
YAL020C,48.76768474,187
YAL019W,48.76768474,187
YAL018C,45.736384740000005,181
YAL017W,45.736384740000005,181
YAL016W,46.24158474,182
YAL015C,43.71558474,177
YAL014C,44.72598474,179
YAL013W,44.72598474,179
YAL012W,44.72598474,179
YAL011W,43.71558474,177
YAL010C,39.67388474,169
YAL009W,39.67388474,169
YAL008W,39.67388474,169
YAL007C,38.66338474,167
YAL005C,35.63218474,161
YAL003W,35.63218474,161
YAL002W,35.12698474,160
YAL001C,36.64258474,163
YAR002W,36.64258474,163
YAR002C-A,37.14778474,164
YAR003W,37.14778474,164
YAR014C,38.15818474,166
YAR015W,38.15818474,166
YAR018C,35.63218474,161
YAR019C,36.13738474,162
YAR020C,38.15818474,166
YAR023C,42.19988474,174
YAR027W,41.18948474,172
YAR028W,41.18948474,172
YAR029W,45.23118474,180
YAR031W,45.23118474,180
YAR033W,44.72598474,179
YAR035W,46.74678474,183
YAR035C-A,48.262484740000005,186
YAR042W,48.262484740000005,186
YBL107C,43.71558474,177
YBL106C,44.72598474,179
YBL105C,45.736384740000005,181
YBL104C,47.25208474,184
YBL103C,47.25208474,184
YBL102W,47.25208474,184
YBL098W,39.67388474,169
YBL097W,39.67388474,169
YBL095W,39.67388474,169
YBL093C,39.67388474,169
YBL092W,38.66338474,167
YBL091C-A,39.16868474,168
YBL091C,39.16868474,168
YBL090W,39.16868474,168
YBL089W,39.16868474,168
YBL088C,29.56958474,149
YBL087C,29.56958474,149
YBL086C,30.07478474,150
YBL085W,31.59048474,153
YBL084C,35.63218474,161
YBL082C,34.62168474,159
YBL081W,34.62168474,159
YBL080C,36.64258474,163
YBL079W,38.15818474,166
YBL078C,39.16868474,168
YBL076C,40.68428474,171
YBL075C,40.17908474,170
YBL074C,43.71558474,177
YBL071C-B,43.71558474,177
YBL071W-A,43.71558474,177
YBL069W,43.71558474,177
YBL068W,44.72598474,179
YBL067C,45.23118474,180
YBL066C,48.262484740000005,186
YBL064C,49.77808474,189
YBL063W,49.77808474,189
YBL061C,52.30418474,194
YBL060W,52.30418474,194
YBL059C-A,52.30418474,194
YBL059W,52.30418474,194
YBL058W,52.30418474,194
YBL057C,52.30418474,194
YBL056W,52.30418474,194
YBL055C,52.80938474,195
YBL054W,52.30418474,194
YBL052C,52.30418474,194
YBL051C,52.30418474,194
YBL050W,52.30418474,194
YBL049W,52.30418474,194
YBL047C,50.788584740000005,191
YBL046W,50.788584740000005,191
YBL045C,48.262484740000005,186
YBL044W,48.262484740000005,186
YBL043W,48.262484740000005,186
YBL042C,44.22078474,178
YBL041W,43.21038474,176
YBL040C,43.21038474,176
YBL039W-B,44.22078474,178
YBL039C,44.72598474,179
YBL038W,44.72598474,179
YBL037W,46.24158474,182
YBL036C,48.76768474,187
YBL035C,49.27288474,188
YBL034C,48.76768474,187
YBL026W,38.15818474,166
YBL025W,38.66338474,167
YBL024W,38.66338474,167
YBL023C,41.69468474,173
YBL022C,41.69468474,173
YBL021C,41.69468474,173
YBL020W,41.69468474,173
YBL019W,40.17908474,170
YBL018C,37.14778474,164
YBL017C,34.116484740000004,158
YBL016W,34.116484740000004,158
YBL014C,30.07478474,150
YBL013W,30.07478474,150
YBL011W,34.116484740000004,158
YBL010C,36.64258474,163
YBL009W,39.16868474,168
YBL008W-A,39.67388474,169
YBL008W,39.67388474,169
YBL007C,40.68428474,171
YBL006C,38.66338474,167
YBL005W,38.66338474,167
YBL004W,27.98208474,97
YBL003C,28.55918474,147
YBL002W,28.55918474,147
YBL001C,28.55918474,147
YBR001C,28.55918474,147
YBR002C,28.55918474,147
YBR003W,28.55918474,147
YBR004C,28.55918474,147
YBR005W,28.55918474,147
YBR006W,28.55918474,147
YBR007C,27.40488474,96
YBR008C,27.40488474,96
YBR014C,29.06438474,148
YBR015C,28.55918474,147
YBR016W,28.55918474,147
YBR017C,35.63218474,161
