orf_name,gene,TSS,chr,strand,f_gene_index,replication_timing,replication_H_index,expression_at_replication,replication_direction
YAL067W-A,YAL067W-A,2480,1,+,0,53.31458474,196,4.460239594374131,left
YAL067C,SEO1,9016,1,-,1,52.30418474,194,8.783203177899175,early_peak
YAL064C-A,YAL064C-A,13743,1,-,2,52.80938474,195,5.138788149337618,late_trough
YAL064W,YAL064W,21566,1,+,3,51.79898474,193,5.055692393433197,left
YAL063C-A,YAL063C-A,22685,1,-,4,51.79898474,193,5.948722728286822,left
YAL063C,FLO9,28212,1,-,5,49.77808474,189,6.3509145489257675,left
YAL062W,GDH3,31189,1,+,6,45.736384740000005,181,8.76445762584314,left
YAL061W,BDH2,33360,1,+,7,45.736384740000005,181,8.09638582512468,right
YAL060W,BDH1,35108,1,+,8,47.75728474,185,11.505017017568676,right
YAL059W,ECM1,36560,1,+,9,47.75728474,185,10.12834674532239,left
YAL058W,CNE1,37450,1,+,10,47.25208474,184,10.174057863282714,early_peak
YAL056W,GPB2,39216,1,+,11,48.76768474,187,11.842291352828374,right
YAL055W,PEX22,42192,1,+,12,50.28328474,190,8.485487135219504,right
YAL054C,ACS1,45022,1,-,13,50.788584740000005,191,7.69358631290298,right
YAL053W,FLC2,45745,1,+,14,50.788584740000005,191,12.004340375546159,right
YAL051W,OAF1,48564,1,+,15,51.29378474,192,10.816379642719992,right
YAL049C,AIM2,52662,1,-,16,51.29378474,192,10.653375485875468,right
YAL048C,GEM1,54826,1,-,17,51.79898474,193,9.972809356034142,right
YAL047C,SPC72,56857,1,-,18,51.79898474,193,9.689412630690356,right
YAL046C,AIM1,57384,1,-,19,51.79898474,193,10.512328785952969,right
YAL044W-A,YAL044W-A,57518,1,+,20,51.79898474,193,9.868406843596237,right
YAL044C,GCV3,58477,1,-,21,51.79898474,193,12.451394346821166,left
YAL043C,PTA1,61077,1,-,22,50.788584740000005,191,12.162716690081954,left
YAL042W,ERV46,61275,1,+,23,50.788584740000005,191,14.183178245788861,right
YAL041W,CDC24,62777,1,+,24,50.788584740000005,191,11.852995154588317,left
YAL037C-A,YAL037C-A,73518,1,-,25,43.71558474,177,5.202969263861437,left
YAL037W,YAL037W,74020,1,+,26,43.71558474,177,6.7800864220118555,right
YAL036C,RBG1,76190,1,-,27,47.25208474,184,12.00263092643978,right
YAL035W,FUN12,76402,1,+,28,47.25208474,184,14.603193719114106,right
YAL034W-A,MTW1,79690,1,+,29,49.77808474,189,8.669877263370784,right
YAL034C,FUN19,81951,1,-,30,51.79898474,193,8.821943254388776,right
YAL033W,POP5,82702,1,+,31,51.79898474,193,9.505653040523791,right
YAL032C,PRP45,84495,1,-,32,52.30418474,194,9.822531423446227,right
YAL031C,GIP4,87079,1,-,33,52.30418474,194,10.210780139522477,right
YAL030W,SNC1,87265,1,+,34,52.30418474,194,10.733468268824382,right
YAL029C,MYO4,92523,1,-,35,52.30418474,194,13.025695334164089,right
YAL028W,FRT2,92855,1,+,36,52.30418474,194,7.999501836566374,left
YAL027W,SAW1,94608,1,+,37,51.79898474,193,9.227604377713929,left
YAL026C,DRS2,99784,1,-,38,51.79898474,193,12.85967444840947,left
YAL025C,MAK16,101169,1,-,39,51.29378474,192,11.908556807991788,early_peak
YAL024C,LTE1,105977,1,-,40,52.30418474,194,11.146311083639159,late_trough
YAL023C,PMT2,108640,1,-,41,51.79898474,193,13.973494635421934,early_peak
YAL022C,FUN26,110447,1,-,42,52.30418474,194,12.037064054458588,late_trough
YAL021C,CCR4,113404,1,-,43,48.76768474,187,11.619930392087971,left
YAL020C,ATS1,114631,1,-,44,48.76768474,187,11.25483966003824,right
YAL019W,FUN30,114810,1,+,45,48.76768474,187,12.455096497842066,left
YAL018C,YAL018C,119541,1,-,46,45.736384740000005,181,5.541699776077416,left
YAL017W,PSK1,119859,1,+,47,45.736384740000005,181,11.646530080794832,right
YAL016W,TPD3,124799,1,+,48,46.24158474,182,12.8201111239167,late_trough
YAL015C,NTG1,128102,1,-,49,43.71558474,177,9.910648256125253,early_peak
YAL014C,SYN8,129068,1,-,50,44.72598474,179,10.329775484463203,right
YAL013W,DEP1,129237,1,+,51,44.72598474,179,11.425865001224496,right
YAL012W,CYS3,130745,1,+,52,44.72598474,179,15.864478019681313,left
YAL011W,SWC3,132196,1,+,53,43.71558474,177,10.046595660769016,left
YAL010C,MDM10,135707,1,-,54,39.67388474,169,9.775298583505439,left
YAL009W,SPO7,135814,1,+,55,39.67388474,169,9.521359449854273,right
YAL008W,FUN14,136867,1,+,56,39.67388474,169,8.975847672410408,left
YAL007C,ERP2,138421,1,-,57,38.66338474,167,12.088416782148325,left
YAL005C,SSA1,141494,1,-,58,35.63218474,161,16.20753309460669,left
YAL003W,EFB1,142154,1,+,59,35.63218474,161,16.49079124438402,left
YAL002W,VPS8,143552,1,+,60,35.12698474,160,11.072615418006732,early_peak
YAL001C,TFC3,151205,1,-,61,36.64258474,163,11.602937104101589,right
YAR002W,NUP60,152216,1,+,62,36.64258474,163,11.458785438834479,right
YAR002C-A,ERP1,154741,1,-,63,37.14778474,164,12.64949058969981,right
YAR003W,SWD1,154952,1,+,64,37.14778474,164,11.165831970861069,right
YAR014C,BUD14,169022,1,-,65,38.15818474,166,12.08886915979846,right
YAR015W,ADE1,169273,1,+,66,38.15818474,166,11.162096176544697,left
YAR018C,KIN3,171720,1,-,67,35.63218474,161,6.736728534918869,early_peak
YAR019C,CDC15,175135,1,-,68,36.13738474,162,9.7808507816879,right
YAR020C,PAU7,177023,1,-,69,38.15818474,166,6.103527221263523,right
YAR023C,YAR023C,179820,1,-,70,42.19988474,174,7.508646178323319,late_trough
YAR027W,UIP3,183689,1,+,71,41.18948474,172,10.167832358041831,left
