orf_name,coverage_rep1,depth_rep1,coverage_rep2,depth_rep2
YAL068C,0.94,105.50554345329459,0.94,105.9164464153092
YAL067W-A,0.98,203.78819095566104,0.98,210.35671762268777
YAL067C,0.98,391.03155533192876,0.98,333.8513647420451
YAL065C,0.98,139.3153521689017,0.98,122.47891889586498
YAL064W-B,0.98,21.99827630113571,0.98,21.25047610756475
YAL064C-A,0.98,241.43002381368868,0.98,254.37195803814714
YAL064W,0.98,192.6507140639181,0.98,181.8278923457
YAL063C-A,0.96,297.6727085845469,0.98,218.7489418686655
YAL063C,0.98,335.65549109795137,0.98,295.58152074757857
YAL062W,0.98,357.06180129230466,0.98,302.85565245694653
YAL061W,0.98,333.4730929240288,0.98,342.19442196939985
YAL060W,0.98,304.8939295682787,0.98,307.9222824935871
YAL059W,0.98,240.95467252316092,0.98,226.46446833469545
YAL058W,0.98,388.852593383894,0.98,368.98155506684486
YAL056W,0.98,423.1221785962832,0.98,334.6453525132713
YAL055W,0.98,434.89530802629895,0.98,395.1783995240028
YAL054C,0.98,257.7596172421339,0.98,276.290770188354
YAL053W,0.98,510.0020120150286,0.98,411.51927789532346
YAL051W,0.98,361.10277960588604,0.98,358.94241425460785
YAL049C,0.98,243.91624227103043,0.98,243.82259621380464
YAL048C,0.98,358.78436471132125,0.98,334.3170645987552
YAL047C,0.98,381.80200504313115,0.98,349.2016397147227
YAL046C,0.98,316.87249774691634,0.98,301.14329521828944
YAL044W-A,0.98,403.5561169896298,0.98,397.72291606337575
YAL044C,0.98,390.7008313363289,0.98,368.7485813402413
YAL043C,0.98,250.06566281152323,0.98,258.1440610395963
YAL042W,0.98,301.1234227045394,0.98,309.44272190605574
YAL041W,0.98,328.53476737687214,0.98,307.50565484804474
YAL040C,0.98,304.89976396186086,0.98,274.1751606726146
YAL039C,0.98,227.18287841338804,0.98,209.61504903383045
YAL038W,0.98,336.0815845737597,0.98,250.15895879451662
YAL037C-A,0.98,381.92286961067873,0.98,340.1590604332037
YAL037W,0.98,437.727279352419,0.98,396.05738590293583
YAL036C,0.98,229.37004711495848,0.98,230.83844861871955
YAL035W,0.98,204.45370117876297,0.98,207.62431319115242
YAL034W-A,0.98,425.8327956618045,0.98,395.3185982939896
YAL034C,0.98,301.8557811002102,0.98,306.66165490839137
YAL033W,0.98,326.3586233044927,0.98,324.1129698767024
YAL032C,0.98,295.8598278544915,0.98,296.45605169467774
YAL031C,0.98,514.8627864173674,0.98,424.5898946739789
YAL030W,0.98,577.7658358028449,0.98,513.9128475864064
YAL029C,0.98,383.863288798445,0.98,329.0300417761689
YAL028W,0.98,427.57330618321294,0.98,357.08960246039845
YAL027W,0.98,406.227200524309,0.98,375.6824847865753
YAL026C,0.98,278.44197158319474,0.98,264.90464342686664
YAL025C,0.98,244.17587573275753,0.98,215.40480947459338
YAL024C,0.98,313.1206513201948,0.98,305.1712890608222
YAL023C,0.98,252.40928745715522,0.98,208.32252686920899
YAL022C,0.98,289.04562961639454,0.98,269.2239643512869
YAL021C,0.98,257.814079537249,0.98,267.4223186144577
YAL020C,0.98,220.4518704114363,0.98,246.24734535823828
YAL019W,0.98,238.14011605717434,0.98,260.3375055310136
YAL018C,0.98,482.76818380505085,0.98,352.8313135888137
YAL017W,0.98,493.6298254130805,0.98,364.8800356154942
YAL016W,0.98,370.67516807564937,0.98,355.03700444325
YAL015C,0.98,319.9297995597749,0.98,302.7522979283698
YAL014C,0.98,269.3258182295506,0.98,281.15409112112417
YAL013W,0.98,334.35054363049704,0.98,357.90505907869897
YAL012W,0.98,275.89440728139937,0.98,254.1904491221585
YAL011W,0.98,312.2853057169986,0.98,287.1027442505333
YAL010C,0.98,470.1440361513032,0.98,422.7583537513749
YAL009W,0.98,433.97963312793104,0.98,402.9571892557864
YAL008W,0.98,369.9798435235471,0.98,358.891999516782
YAL007C,0.98,315.59801807147466,0.98,297.27412930564014
YAL005C,0.94,332.80113247153304,0.94,326.7080551901513
YAL003W,0.98,378.65263523935465,0.98,337.7541333813118
YAL002W,0.98,514.8476507983288,0.98,402.44116596564584
YAL001C,0.98,485.76959319057124,0.98,458.65744101900646
YAR002W,0.98,377.6487070479211,0.98,352.8048086009696
YAR002C-A,0.98,438.3534307833847,0.98,390.69396224435906
YAR003W,0.98,459.6611984817979,0.98,409.059790935328
YAR007C,0.98,385.66588307277647,0.98,385.35999714330114
YAR008W,0.98,418.86510403269517,0.98,409.0155373156662
YAR014C,0.98,421.57553314917925,0.98,396.96174513228164
YAR015W,0.98,471.95963924889116,0.98,423.86303243025367
YAR018C,0.98,463.9045740168025,0.98,402.4741695074037
YAR019C,0.98,365.1924237920213,0.98,372.5134037273414
YAR020C,0.98,300.4201050429155,0.98,267.7083868869083
YAR023C,0.98,380.2522592355832,0.98,365.2730090009408
YAR027W,0.98,327.4583970287939,0.98,272.91653936193995
YAR028W,0.98,430.68448105823745,0.98,401.928094138586
YAR029W,0.98,335.88264721299856,0.98,324.3600457379904
YAR031W,0.98,381.8026144914467,0.98,360.2333030893587
YAR033W,0.96,193.73102331317688,0.94,184.2599635174941
YAR035W,0.98,340.9398295349279,0.98,357.0593317939638
YAR035C-A,0.98,222.14737063633817,0.98,230.55122983782945
YAR042W,0.98,202.91032640021822,0.98,207.7633493513826
YAR050W,0.8,177.5036819176626,0.78,172.20098253942234
YAR064W,0.58,6.667045438991953,0.54,7.40124180789343
YAR066W,0.1,0.4832567784724677,0.08,0.3559318332973287
YAR068W,0.44,18.984712223859425,0.44,18.608792116716877
YAR071W,0.36,1.1455003610306398,0.22,0.750244944639751
YBL113C,0.0,0.0,0.0,0.0
YBL112C,0.0,0.0,0.0,0.0
YBL111C,0.02,0.009381111238927872,0.04,0.021472038352355626
YBL108C-A,0.58,10.954415735455086,0.56,4.615613846620038
YBL107C,0.98,431.2915119814232,0.98,397.57166637466014
YBL106C,0.98,419.4586544371053,0.98,376.97172157733553
YBL105C,0.98,356.57331856977993,0.98,319.9587127984209
YBL104C,0.98,525.3284022366363,0.98,421.3322322053734
YBL103C,0.98,402.5482147232117,0.98,342.49063999734113
YBL102W,0.98,331.52793102101634,0.98,290.7794855660655
YBL101C,0.98,418.37258354309864,0.98,395.6932703190045
YBL100W-C,0.98,408.7217371470371,0.98,418.0761931326961
YBL099W,0.98,435.12933121426613,0.98,357.59495818641545
YBL098W,0.98,339.6559863677765,0.98,312.6644908766641
YBL097W,0.98,492.876910731393,0.98,361.23409605884945
YBL095W,0.98,347.19751219263037,0.98,329.2619487259574
YBL093C,0.98,425.36817225117693,0.98,395.06042842139345
YBL092W,0.98,331.2005941765001,0.98,320.45977275962576
YBL091C-A,0.98,558.2712724577044,0.98,488.44156925248063
YBL091C,0.98,287.34079317053676,0.98,316.2825099304415
YBL090W,0.98,282.92115228906664,0.98,306.00577330368935
YBL089W,0.98,487.4144861810112,0.98,477.0284438100187
YBL088C,0.98,358.353900450136,0.98,338.64642468846137
YBL087C,0.98,403.5917851109826,0.98,365.5564832359577
YBL086C,0.98,302.8842371631861,0.98,283.72574889590584
YBL085W,0.98,352.9046751091024,0.98,344.5355516853382
YBL084C,0.98,381.5667142315592,0.98,336.49984846802704
YBL082C,0.98,233.726075929367,0.98,270.3338650885602
YBL081W,0.98,323.936646201424,0.98,316.10801351865075
YBL080C,0.98,500.21675674231454,0.98,442.59177458886893
YBL079W,0.98,414.2900360219466,0.98,406.36469427625343
YBL078C,0.98,437.90377814698104,0.98,340.6892777597852
YBL076C,0.98,323.6789119542638,0.98,297.92608184445953
YBL075C,0.98,306.92262327057847,0.98,303.89880557764786
YBL074C,0.98,311.25565513829855,0.98,294.0697076745006
YBL072C,0.72,85.03984445354983,0.68,87.1344150867349
YBL071C-B,0.98,460.28293760670874,0.98,414.5668490991011
YBL071W-A,0.98,379.1055719439815,0.98,345.05492397723253
YBL069W,0.98,321.01227393415616,0.98,298.7152526886759
YBL068W,0.98,317.14362140570694,0.98,313.4592073952183
YBL067C,0.98,437.6140037585902,0.98,369.7081420354755
