name,total_reads,coverage,small_reads,nucleosomal_reads,small_proportion,peak_position,peak_height,small_fragment_peak_position,small_fragment_peak_height,small_fragment_std
oridb_1,4108,2.054,533.9345622204162,3574.0654377795836,0.12997433354927365,827,128.0,-13,6.574378520690535,0.8279803912967265
oridb_2,7869,3.9345,1093.3043217950726,6775.695678204927,0.1389381524710983,-461,36.0,-318,8.148089301173188,1.3189886363869316
oridb_3,7024,3.512,571.9721409308952,6452.027859069105,0.08143111345827096,243,56.0,972,2.0869136945625946,0.5339833516320237
oridb_4,9689,4.8445,989.5088857370112,8699.491114262988,0.10212703950222016,-750,32.0,61,3.0349859597210442,0.8137704581586719
oridb_5,5984,2.992,648.5814745601813,5335.418525439819,0.10838594160430837,475,50.0,396,4.2336553585628565,0.7492341518428439
oridb_6,10053,5.0265,1278.1545299707739,8774.845470029226,0.1271416025038072,377,75.0,13,9.90139428458698,1.2128811106758244
oridb_7,8500,4.25,1025.1808699985997,7474.8191300014005,0.12060951411748232,143,51.0,56,5.465013165597643,1.090061898760164
oridb_8,13964,6.982,3034.7899506657604,10929.21004933424,0.21732955819720426,-268,51.0,832,9.07672314853664,2.218138985389333
oridb_9,5282,2.641,743.4616069391734,4538.538393060827,0.14075380669049098,-122,53.0,-132,8.904958945484644,1.201669552900625
oridb_10,10702,5.351,1084.2036192416613,9617.796380758338,0.10130850488148582,50,83.0,190,8.013516089691395,1.140519438133031
oridb_11,9525,4.7625,1150.3105716519601,8374.68942834804,0.12076751408419528,-671,33.0,944,7.386516144004805,1.1188454357136253
oridb_12,10471,5.2355,1085.409301984214,9385.590698015785,0.10365860968238123,260,43.0,-277,3.7118236655159,0.8795114376758005
oridb_13,10926,5.463,1052.9722217130484,9873.027778286953,0.09637307539017466,123,78.0,44,9.019814090504216,1.3639426895347428
oridb_14,9159,4.5795,662.0934346579285,8496.906565342071,0.07228883444239857,-789,47.0,-662,2.1080148343549343,0.6199993517163217
oridb_15,13982,6.991,1054.4369488932555,12927.563051106745,0.07541388563104387,173,81.0,-985,9.63752098086951,1.1934275229023006
oridb_16,5056,2.528,563.5631298705966,4492.436870129403,0.11146422663579839,498,37.0,1000,2.6760024645057356,0.5673888730774118
oridb_17,518,0.259,34.94015248209884,483.0598475179012,0.06745203181872363,-923,17.0,-974,0.4454617724883776,0.1112126688571521
oridb_18,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
oridb_19,727,0.3635,37.96531729470553,689.0346827052945,0.0522218944906541,-157,24.0,-138,0.8223425946888526,0.1621378994497567
oridb_20,64,0.032,5.248030536346621,58.75196946365338,0.08200047713041596,968,5.0,687,0.2155366622003558,0.05087585739279217
oridb_21,79,0.0395,1.7382193255881275,77.26178067441187,0.022002776273267438,-746,5.0,-695,0.1321477395426571,0.02472695909031686
oridb_22,937,0.4685,284.1103678173756,652.8896321826244,0.3032127724838587,128,67.0,62,12.170195566992412,1.1174895055849376
oridb_23,4450,2.225,917.4779203810467,3532.5220796189533,0.20617481356877454,-672,68.0,-683,14.599023918994163,1.9107078347243878
oridb_24,10837,5.4185,1513.0218467236364,9323.978153276363,0.13961630033437633,-417,70.0,-12,8.756402657801258,1.5168223521603814
oridb_25,6484,3.242,871.0976561804209,5612.902343819579,0.13434572118760346,329,33.0,202,10.405787679222346,1.2162304519135743
oridb_26,10523,5.2615,1221.7425271605039,9301.257472839496,0.11610211224560524,-434,62.0,-599,7.047657088317379,1.2292365554781137
oridb_27,8075,4.0375,715.8040106973563,7359.195989302643,0.08864445952908437,182,76.0,-284,4.434136801844087,0.7598785624217155
oridb_28,10587,5.2935,1430.844531014654,9156.155468985346,0.1351510844445692,747,63.0,598,9.78592586893016,1.6150481743810738
oridb_29,6441,3.2205,783.8949934603379,5657.105006539662,0.12170392694617883,96,38.0,-41,10.913801549070348,1.056006522733922
oridb_30,5906,2.953,535.553566770528,5370.446433229472,0.09067957446165392,743,32.0,-494,2.068622858471759,0.5309614573874116
oridb_31,5477,2.7385,890.9131738947746,4586.086826105226,0.16266444657563894,-58,56.0,-58,19.39616470197736,1.8615371815251414
oridb_32,9696,4.848,1694.9356122744005,8001.0643877256,0.17480771578737628,859,60.0,726,6.909262933513463,1.5536058688010597
oridb_33,6508,3.254,1115.7742572640914,5392.225742735909,0.17144656688139082,-10,42.0,7,8.805732490630376,1.2420210109464564
oridb_34,11694,5.847,1522.2899255249322,10171.710074475068,0.1301770074846017,97,94.0,222,19.487624943561094,2.150121662817842
oridb_35,8100,4.05,1005.3781025570007,7094.621897442999,0.12412075340209885,-595,43.0,-140,14.3646740822421,1.447088302609181
oridb_37,14109,7.0545,1856.7552180637279,12252.244781936271,0.13160076674914792,112,47.0,-942,8.262482741753667,1.5451156261320091
oridb_38,8934,4.467,806.4080574830642,8127.591942516936,0.0902628226419369,166,57.0,-95,4.452508050022005,0.737056100150529
oridb_39,10194,5.097,1609.34751761009,8584.652482389909,0.15787203429567295,-799,66.0,-451,20.500142772126885,2.2563406289324974
oridb_40,14870,7.435,2070.5503214194596,12799.44967858054,0.13924346478947275,645,121.0,-881,16.236164292527363,2.2095275606461477
oridb_41,11199,5.5995,1529.3525035613352,9669.647496438665,0.13656152366830387,304,48.0,176,12.056681500250257,1.5864180694468206
oridb_42,17172,8.586,3430.686657245627,13741.313342754373,0.19978375595420608,-230,125.0,929,25.662201627431322,3.2902692213556115
