timepoint,chrom,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,1,14,11,4,10,8,12,18,26,25,37,37,62,52,67,90,99,109,132,137,144,201,211,204,246,253,286,312,311,360,393,384,397,439,451,468,431,470,465,518,566,580,589,653,651,628,612,638,661,610,637,663,611,687,658,679,689,708,724,736,789,727,757,813,848,796,815,870,777,817,903,873,929,892,917,933,925,955,932,933,917,900,967,972,983,1025,954,1023,1011,1000,1018,1124,1113,1069,1185,1160,1283,1358,1296,1302,1342,1384,1473,1401,1476,1645,1667,1634,1706,1783,1741,1897,1851,1839,1990,2123,2129,2149,2323,2402,2575,2672,2876,2942,3178,3408,3578,3773,4015,4185,4320,4390,4699,4861,4999,5099,5026,4894,4686,4866,4678,4513,4383,4018,3936,4042,3768,3673,3764,3664,3509,3409,3305,3166,3037,2965,2819,2629,2668,2549,2484,2377,2374,2143,2125,2118,2069,1973,1990,1879,1835,1785,1733,1606,1573,1509,1501,1498,1461,1416,1417,1319,1282,1274,1229,1247,1247,1081,1242,1152,1127,1147,1081,1114,1082,1071,1006,972,1063,987,1009,987,966,918,962,932,847,874,884,814,845,864,871,837,830,840,794,830,849,842,852
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,7,9,17,12,31,32,47,57,87,124,155,196,250,304,406,395,482,540,653,770,889,911,1020,1101,1234,1333,1405,1521,1612,1761,1858,1949,2083,2210,2150,2204,2361,2455,2615,2584,2659,2811,2839,2837,3066,3030,3091,3162,3058,3110,3243,3355,3361,3317,3315,3405,3489,3505,3591,3693,3730,3889,3823,3968,4089,4229,4183,4142,4286,4122,4203,4269,4423,4374,4427,4551,4469,4452,4488,4275,4467,4609,4858,4744,4823,5034,4812,4932,4925,4818,4916,4983,5150,5335,5347,5556,5792,5875,6091,6425,6369,6451,6893,6626,7067,7325,7622,7627,7830,7781,8091,8230,8193,8461,8678,8786,9249,9610,10095,10512,10871,11497,11988,12682,13652,14678,15391,16362,17208,17849,18437,18809,19198,20087,20114,21171,21600,21393,21112,20789,20028,19788,18961,17993,17644,17153,17080,17008,16581,15976,15636,15537,14644,14495,13914,13078,12592,12059,11725,11502,11448,10956,10722,10129,9887,9799,9442,8985,8869,8655,8263,7979,7793,7604,7323,7292,7035,7012,6661,6486,6584,6325,6042,5973,5924,5780,5762,5636,5571,5529,5187,5106,5156,5045,5061,4905,4825,4860,4810,4684,4642,4592,4518,4319,4360,4233,4390,4106,4150,4092,3857,4072,3900,3930,3999,3845,3915,3803,3779,3785,3795
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,2,2,7,11,11,13,32,30,32,52,69,70,114,120,151,176,181,254,305,326,373,408,435,485,507,590,599,655,684,725,774,806,876,943,998,969,1066,1043,1132,1085,1173,1242,1245,1172,1300,1312,1292,1311,1391,1349,1440,1468,1438,1471,1372,1393,1496,1503,1515,1500,1571,1695,1729,1705,1728,1774,1690,1689,1751,1829,1753,1874,1791,1757,1846,1867,1969,1895,1912,1858,1831,1888,1835,1980,2008,2040,2030,2114,2023,2124,2080,2152,2161,2233,2315,2433,2450,2469,2487,2671,2712,2639,2760,2797,2809,2831,3009,3058,3178,3075,3097,3188,3284,3401,3429,3543,3544,3865,3823,4144,4218,4564,4674,5109,5422,5545,6065,6174,6605,6964,7323,7713,7625,7640,7747,7871,8386,8149,8041,7792,7714,7393,7036,7118,6957,6638,6483,6460,6334,6291,6042,5869,5527,5320,5265,5217,4897,4788,4525,4316,4416,4141,4008,4033,3818,3693,3720,3512,3526,3250,3230,3218,3008,2841,2911,2880,2684,2709,2587,2715,2567,2494,2523,2443,2549,2405,2417,2341,2326,2337,2143,2157,2053,2115,2099,2115,2065,1996,1995,1993,1844,1987,1890,1851,1869,1794,1821,1781,1740,1697,1712,1594,1513,1539,1684,1570,1623,1670,1709,1591,1644
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,7,9,17,24,34,58,63,85,97,175,227,250,349,461,582,624,706,896,1102,1162,1378,1592,1817,1841,2236,2257,2613,2847,3068,3071,3366,3607,3621,3927,4098,4240,4471,4626,4732,4897,5050,5445,5356,5596,5628,5633,5655,5748,5775,5863,5823,5925,6101,6129,6299,6295,6316,6578,6640,6756,7046,7162,7408,7509,7629,7724,7786,7850,7993,7908,8122,8210,8332,8561,8463,8529,8403,8484,8581,8563,8742,8610,8692,8850,9303,9093,9549,9700,9711,9549,9383,9510,9804,9961,10310,10436,10741,10823,11118,11423,11706,11998,12196,12608,13080,13746,14389,14455,14524,15025,15295,15383,15358,15557,15552,16299,16582,17533,18368,19351,20071,21033,22242,23030,24262,25642,27736,29278,30964,32777,33836,35698,36415,37125,37986,38600,39811,40127,39594,40023,39224,38634,37203,35428,33612,33097,32259,31471,31305,30779,30031,28551,27559,26558,25518,24735,24105,23525,22369,21700,21383,20358,19685,19287,18536,18189,17433,17142,16524,16511,16079,15327,14838,14685,13992,13889,13295,13207,12838,12537,12131,11825,11350,11189,11035,10893,10853,10582,10457,10472,10269,10117,9691,9507,9477,9277,9182,8869,8984,8862,8732,8678,8618,8597,8513,8267,8299,8005,7853,7801,7664,7673,7688,7496,7418,7399,7383,7324,7060,7226,7076,6856
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,3,15,7,24,30,45,72,102,129,146,177,233,270,296,346,423,475,595,619,729,786,923,913,978,1069,1095,1186,1254,1392,1443,1510,1597,1678,1631,1780,1919,1826,1974,1998,2111,2180,2154,2236,2230,2324,2194,2233,2317,2346,2394,2465,2302,2496,2587,2691,2605,2662,2768,2814,3003,2955,3071,3109,3060,3006,3111,3064,3135,3292,3242,3314,3283,3233,3346,3442,3454,3499,3442,3563,3532,3528,3658,3577,3535,3575,3673,3746,3678,3720,3638,3916,3892,4061,4226,4203,4431,4465,4776,4821,4842,5011,5249,5284,5498,5424,5835,5641,5772,5768,6059,6023,6191,6298,6481,6701,7060,7310,7534,8167,8701,9071,9478,9950,10489,11210,11904,12656,13237,14016,14064,14384,14686,14997,15198,15750,15902,15677,15494,14916,14403,13997,13685,13189,12873,12213,12280,11878,11438,11453,10987,10914,10526,9853,9610,9534,9193,8756,8658,8223,7914,7737,7692,7492,7029,6876,6674,6445,6305,6039,6032,5866,5775,5435,5402,5262,5085,5008,5005,4818,4879,4801,4579,4584,4385,4443,4297,4126,4113,4075,3849,3899,3891,3791,3763,3790,3620,3562,3519,3382,3444,3200,3258,3182,3219,3282,3291,3213,3242,3063,3068,2959,2933,2917,2898,3011,2884,2925,2743,2932
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,5,12,5,5,6,13,20,31,30,39,41,61,66,93,115,118,164,175,217,211,267,253,344,380,375,356,414,470,519,508,549,602,661,691,698,723,780,773,822,816,871,895,977,902,940,935,1020,1018,1002,962,1017,1042,1104,1016,1025,1079,1171,1134,1152,1135,1141,1178,1250,1357,1331,1389,1321,1373,1336,1309,1292,1258,1323,1362,1352,1447,1352,1408,1345,1350,1510,1530,1557,1550,1570,1567,1625,1592,1557,1513,1583,1554,1591,1673,1773,1757,1783,1905,1831,2021,2053,2163,2212,2236,2367,2358,2480,2437,2569,2516,2573,2507,2613,2690,2886,2945,3007,3149,3252,3488,3700,3865,3994,4375,4433,4875,5270,5372,5951,5935,6121,6335,6682,6651,6843,6967,7169,7139,7249,7036,7142,6834,6403,6080,5887,5972,5962,5724,5705,5626,5289,5254,5076,4972,4638,4458,4179,4083,4080,3868,3731,3704,3582,3488,3295,3154,2945,2991,3067,2831,2678,2694,2501,2475,2432,2377,2231,2225,2205,2156,2112,2102,2022,1889,2054,1920,1839,1818,1747,1793,1650,1665,1686,1605,1576,1511,1578,1502,1512,1424,1442,1453,1432,1462,1421,1437,1266,1241,1350,1345,1337,1287,1234,1176,1237,1296,1311,1250,1277,1245,1225
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,11,19,8,26,29,54,59,76,137,166,227,297,358,435,508,584,737,825,964,1069,1172,1302,1421,1613,1761,1790,2014,2146,2268,2449,2619,2702,2783,3042,3193,3246,3378,3407,3554,3744,3885,3926,4078,4144,4133,4295,4211,4309,4301,4436,4626,4682,4683,4857,4793,4676,4729,4917,5133,5130,5409,5363,5661,5646,5654,5583,5908,5756,5663,5816,6118,6058,6096,6044,6214,6268,6347,6231,6499,6410,6611,6631,6704,6894,6841,7123,7040,6968,7055,6876,6993,7248,7488,7517,7955,7860,8163,8352,8466,8579,8709,9147,9254,9538,10117,10456,10623,10653,10756,10904,11260,10965,11301,11208,11636,12257,12443,13153,13818,14575,15077,16102,16908,17527,19231,19694,20663,22517,23761,24857,25511,25853,26204,26899,28040,27926,28680,28907,28842,28161,27174,26006,25439,24164,23638,23343,22957,22251,22185,21576,20797,19831,19369,18592,17744,17417,17215,16476,15937,15437,14955,14317,13962,13731,13071,12835,12585,12223,11933,11807,11520,10892,10627,10213,10189,9862,9548,9414,9309,9101,8833,8740,8525,8424,8268,8230,7936,7740,7482,7401,7482,7276,7274,6817,7034,6842,6714,6647,6530,6436,6465,6259,6217,6157,5991,6149,6023,5886,5844,5631,5636,5506,5531,5413,5445,5306,5166,5257,5286,5166,5152
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,4,5,16,11,18,25,30,45,54,89,101,150,161,213,260,292,318,405,466,515,583,648,734,779,878,901,932,1022,1082,1156,1258,1246,1396,1501,1538,1605,1619,1601,1709,1804,1878,1858,1984,1954,1979,1988,1940,1980,1896,2119,2126,2161,2214,2236,2258,2315,2240,2277,2365,2361,2388,2513,2600,2626,2639,2759,2743,2786,2677,2690,2789,3002,2873,2959,2797,2955,2898,3001,3087,3020,3063,3034,3087,3088,3310,3298,3106,3312,3253,3211,3269,3408,3595,3656,3682,3827,4001,3925,4027,4124,4096,4371,4500,4559,4828,4930,5137,5277,5152,5369,5395,5351,5555,5652,5567,5860,6225,6546,6899,7126,7612,7935,8409,8664,9339,10005,10595,11167,11606,12415,12492,12906,13576,13687,14283,14215,14236,14478,14753,14320,14085,13650,12958,12612,11867,11571,11277,11417,10998,10669,10402,10246,10035,9410,9210,8687,8432,8277,8044,7980,7539,7295,7012,6921,6592,6484,6527,6136,6059,5733,5508,5497,5311,5157,5102,4985,4856,4688,4679,4529,4528,4290,4101,4156,4040,4032,3925,3872,3769,3762,3685,3625,3479,3398,3522,3468,3404,3238,3093,3060,3101,3102,2827,2966,2838,2950,2866,2856,2779,2772,2751,2700,2643,2729,2584,2503,2533,2572,2611,2567,2692
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,6,12,8,9,11,25,30,42,70,91,105,134,162,177,235,278,287,365,357,472,473,478,560,546,634,715,758,797,878,932,1000,993,1092,1095,1260,1178,1264,1299,1319,1375,1400,1352,1447,1411,1487,1527,1548,1564,1583,1617,1619,1546,1547,1632,1711,1668,1832,1743,1741,1833,1916,1922,2011,1943,1945,2061,2070,2031,2112,2178,2195,2186,2151,2156,2270,2266,2166,2160,2339,2285,2309,2316,2408,2349,2378,2361,2401,2385,2466,2517,2495,2501,2583,2733,2905,2770,2945,2900,2979,3204,3356,3428,3601,3532,3673,3836,3745,3764,4027,3921,4098,4045,4139,4351,4535,4785,4962,5173,5409,5535,5977,6290,6481,6936,7421,8069,8671,9147,9667,9943,10266,10261,10434,10510,10907,10894,11028,10959,10695,10372,10124,9800,9486,9343,8976,8478,8459,8515,8298,7945,7663,7500,7091,6938,6787,6639,6467,6178,6152,5940,5528,5423,5152,5019,4727,4830,4622,4560,4411,4285,4145,4111,4112,4000,3873,3781,3536,3519,3347,3515,3261,3009,3150,3068,3122,3046,2985,3008,2892,2820,2896,2710,2606,2572,2512,2551,2520,2472,2508,2219,2333,2316,2323,2368,2216,2277,2254,2215,2168,2096,2078,2099,2131,2145,2101,2070,1991,1964,1986,2000
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,7,11,17,15,22,27,34,50,71,89,123,146,205,250,310,402,406,517,570,673,701,887,912,980,1082,1121,1253,1313,1450,1579,1676,1787,1836,1987,1989,2106,2020,2268,2221,2373,2418,2396,2506,2589,2649,2621,2588,2708,2734,2774,2798,2857,2669,2762,2840,2879,2898,3033,2987,3096,3143,3359,3459,3575,3571,3459,3592,3519,3604,3872,3852,3735,3741,3738,3587,3789,3724,3778,3749,3940,3887,4053,4091,4205,4316,4161,4252,4149,4139,4268,4189,4311,4378,4451,4604,4787,4875,5288,5299,5443,5649,5637,5916,6032,6411,6582,6674,6967,6902,6945,6995,7235,7247,7321,7534,7833,8366,8736,8987,9573,10058,10284,11178,11651,12362,12982,13938,14558,15612,16134,16851,16970,17663,18079,18393,18990,19618,19664,19523,19053,18197,18131,17221,16542,16106,15327,15518,15022,14657,14268,14099,13328,12802,12598,12131,11649,11235,10917,10229,10337,9960,9826,9386,9232,8657,8411,8303,8205,7841,7512,7475,7153,6962,6840,6688,6433,6262,6189,6052,5967,5725,5561,5684,5395,5345,5405,5199,5113,5076,4956,4864,4735,4663,4579,4528,4377,4358,4420,4189,4189,3998,3908,4064,4058,4033,3888,3760,3812,3742,3668,3701,3765,3769,3567,3519,3616,3367,3442,3378,3543,3387
