,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,64,94,57,104,272,73,343,194,502,310,243,189,176,488,325
28,62,90,57,111,344,112,402,254,599,342,317,245,169,637,388
29,76,104,72,135,475,129,539,346,821,465,364,296,226,783,510
30,92,166,84,233,579,141,695,450,1089,556,500,392,304,966,733
31,108,236,141,290,858,214,1004,631,1361,863,753,534,400,1221,1043
32,144,392,165,358,1195,299,1287,929,1820,1130,970,757,573,1596,1530
33,178,499,248,506,1594,392,1636,1066,2228,1474,1368,1000,815,1825,1973
34,194,762,387,739,2275,614,2159,1484,2802,1921,1883,1288,1070,2343,2647
35,291,1024,559,944,2853,847,2745,1944,3549,2440,2428,1642,1378,2812,3694
36,331,1434,786,1319,3814,1173,3393,2547,4466,3211,3232,2251,1890,3502,4936
37,465,1928,1129,1748,5006,1586,4501,3289,5553,4121,4260,2913,2491,4345,6619
38,637,2533,1549,2209,6310,2148,5618,4194,6781,5194,5527,3691,3059,5201,8033
39,864,3348,2082,2849,7779,2745,6852,5298,8357,6283,6966,4621,3948,6337,9956
40,1063,4346,2906,3790,9534,3673,8534,6742,10297,7839,8492,5715,4961,7721,12361
41,1430,5362,3808,4794,11411,4418,10288,8437,12403,9333,10523,6908,6136,9260,14950
42,1940,6954,5354,6105,14407,5930,13001,10890,15613,11795,13252,8883,7761,11256,18313
43,2500,8353,6479,7244,16709,7081,14874,12719,17755,13871,15135,10301,9133,12838,20833
44,3200,9776,7881,8845,19598,8310,17665,14967,20809,15762,17604,11875,10700,14645,23796
45,3849,11565,9714,10392,21854,10170,20055,16715,23052,17646,19934,13536,11902,16422,26675
46,4766,13465,11024,12046,24469,11457,22913,19218,26336,19791,22215,15118,13596,18360,29656
