,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,59,81,46,83,214,62,271,152,380,240,192,157,153,363,238
28,48,74,44,92,273,94,331,207,483,290,263,200,141,517,316
29,68,87,60,112,380,103,403,270,625,379,288,237,187,613,408
30,81,142,71,195,483,126,561,357,841,460,417,335,242,770,630
31,91,208,127,245,701,181,801,520,1079,728,634,456,329,957,912
32,121,346,135,287,980,246,1022,727,1374,901,813,616,476,1196,1303
33,157,449,214,434,1384,351,1355,886,1800,1262,1171,849,701,1461,1768
34,165,704,340,653,1994,550,1841,1253,2257,1642,1669,1131,921,1914,2402
35,258,939,517,837,2541,767,2382,1674,3066,2195,2193,1492,1219,2398,3370
36,311,1301,705,1208,3460,1042,2984,2240,3836,2879,2923,2044,1705,3024,4527
37,422,1778,1047,1590,4535,1452,3981,2884,4796,3705,3929,2633,2245,3760,6092
38,574,2351,1434,2019,5791,1975,5034,3709,5991,4678,5068,3349,2778,4601,7485
39,809,3208,1978,2657,7295,2579,6288,4792,7531,5822,6572,4324,3677,5751,9437
40,1008,4164,2777,3574,9014,3483,7849,6194,9367,7338,8038,5382,4636,7052,11816
41,1348,5134,3628,4481,10759,4185,9481,7638,11218,8675,9903,6518,5718,8430,14199
42,1787,6426,4870,5500,13091,5494,11538,9431,13505,10575,12101,8108,6957,9780,16875
43,2323,7819,5997,6698,15445,6558,13502,11383,15708,12633,13963,9446,8328,11409,19384
44,3006,9140,7313,8106,18149,7699,16000,13383,18394,14200,16180,10841,9726,12943,22169
45,3596,10982,9112,9731,20470,9517,18414,15282,20949,16339,18643,12540,11043,14874,24959
46,4554,12878,10430,11343,23129,10853,21200,17755,24096,18461,20909,14201,12713,16855,28073
