fragment_length,combined,rep1,rep2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0013793650763414599,0.0012154370251705948,0.001543293127512325
28,0.0017433964004545147,0.001552371500612087,0.0019344213002969424
29,0.002141140591739956,0.0018621039266601379,0.0024201772568197737
30,0.0028475071300035713,0.0024197459392256908,0.003275268320781452
31,0.003954643383370437,0.0033390515630449553,0.004570235203695918
32,0.005172176217087914,0.0042979238041637715,0.006046428630012056
33,0.006920955851510358,0.005674100212113793,0.008167811490906923
34,0.009381267512205155,0.00761595560176834,0.011146579422641972
35,0.012510156686327193,0.010196440923773458,0.014823872448880927
36,0.016563743534606663,0.013520036776935775,0.019607450292277548
37,0.021726502728818937,0.017732026834152086,0.02572097862348579
38,0.0279207524509216,0.02324538766348645,0.032596117238356745
39,0.03600931897909165,0.030313592907014124,0.04170504505116918
40,0.04559601413877344,0.03860650860164198,0.052585519675904906
41,0.05613227794800031,0.04842521197588378,0.06383934392011685
42,0.06904471271053383,0.060071398486648615,0.07801802693441905
43,0.0822529503405928,0.07240381851620255,0.09210208216498303
44,0.09655434993882031,0.08572107637947812,0.10738762349816251
45,0.11214648329065972,0.10015794586665194,0.1241350207146675
46,0.12904153091320186,0.11617006130506415,0.1419130005213396
47,0.14788989951470952,0.1335132224785691,0.16226657655084994
48,0.16808727526909453,0.15232653077611047,0.1838480197620786
49,0.18773065292064361,0.17092593204887616,0.20453537379241105
50,0.20765604570601234,0.18980662724150585,0.22550546417051884
51,0.2291398907327235,0.20972470968145812,0.2485550717839889
52,0.2507307173650631,0.2291995223619764,0.2722619123681498
53,0.26964397994265943,0.2469890444368919,0.2922989154484269
54,0.29094796699038294,0.265882722425823,0.3160132115549429
55,0.31195224304560454,0.2852425446248144,0.3386619414663946
56,0.33272662096039796,0.30332819810108125,0.36212504381971466
57,0.3554941070331259,0.32429665058465756,0.3866915634815943
58,0.3779138927482667,0.3447216803087604,0.4111061051877731
59,0.3973697803644483,0.3638138096125845,0.4309257511163121
60,0.41920798633640666,0.38373807433648993,0.45467789833632344
61,0.4377299300596772,0.4011418218927348,0.4743180382266196
62,0.4543332399408262,0.4166593546149026,0.4920071252667498
63,0.47040210504920044,0.43046624936726013,0.5103379607311408
64,0.486722573839643,0.44693214444782653,0.5265130032314596
65,0.500136775236738,0.4589733789031916,0.5413001715702844
66,0.5150443873443671,0.4727351429826918,0.5573536317060425
67,0.5313248356052689,0.4870879334081041,0.5755617378024337
68,0.5438338039629816,0.498718045980591,0.5889495619453723
69,0.5573943663029639,0.5114442774979545,0.6033444551079734
70,0.570798910439887,0.5251448369663195,0.6164529839134544
71,0.5799328398244077,0.5336442409449794,0.6262214387038361
72,0.5882267666392836,0.5433059143068136,0.6331476189717536
73,0.5911948604016616,0.5477274837900384,0.6346622370132847
74,0.589834025130229,0.54816580772231,0.631502242538148
75,0.5913234888765302,0.5512278929642581,0.6314190847888023
76,0.5942149081851325,0.5547981619471474,0.6336316544231176
77,0.5901550788938867,0.5527685181253594,0.6275416396624142
78,0.5901613074058875,0.5552395770213955,0.6250830377903794
79,0.589326790041707,0.5572352182814416,0.6214183618019722
80,0.5876162375969916,0.5574231597136144,0.6178093154803687
81,0.5893649138175799,0.5601520198504929,0.618577807784667
82,0.5930088102088781,0.564746075056008,0.6212715453617481
83,0.5941985519016284,0.5661098868960519,0.6222872169072049
84,0.5996931005317241,0.5708059497867924,0.6285802512766558
85,0.6088990455792339,0.5794333270432805,0.6383647641151873
86,0.61349001708577,0.5836768467486574,0.6433031874228827
87,0.6241414674729346,0.5917570918753002,0.6565258430705692
88,0.639299301407249,0.6051590470287326,0.6734395557857655
89,0.6563526007509243,0.6186018052562552,0.6941033962455934
90,0.6798341525230678,0.6398175490979537,0.7198507559481819
91,0.700872343286534,0.6577288621667444,0.7440158244063236
92,0.7121325824120334,0.6688773748192883,0.7553877900047784
93,0.7197283157231816,0.675773712568921,0.7636829188774422
94,0.7190853539487745,0.6763981232481796,0.7617725846493695
95,0.7237123490907962,0.6797112092186217,0.7677134889629705
96,0.7310877032411298,0.6852239518195608,0.7769514546626988
97,0.7358543178158816,0.6895509323583039,0.7821577032734593
98,0.7388230065424939,0.6924986453471205,0.7851473677378672
99,0.7495843440265941,0.7020867495299133,0.7970819385232748
100,0.7627363649559207,0.7147041728497031,0.8107685570621382
101,0.7720363442505134,0.7212382287596869,0.8228344597413398
102,0.7792544777364154,0.7284609911020409,0.83004796437079
103,0.7829611275390624,0.7325623182764975,0.8333599368016275
104,0.7838029837798294,0.7326958556098835,0.8349101119497753
105,0.7907696030665317,0.7396719448225106,0.8418672613105527
106,0.7976528802232814,0.7441775933674971,0.8511281670790658
107,0.799291805313849,0.747146326121754,0.851437284505944
108,0.8093481546840511,0.7553508351558532,0.8633454742122488
109,0.8208846209541595,0.7662718397589248,0.8754974021493942
110,0.8312652693711655,0.7751576364846505,0.8873729022576804
111,0.8464583994113166,0.788790190829532,0.9041266079931012
112,0.8681289492558935,0.8082334738618896,0.9280244246498973
113,0.8864770335335885,0.8255475783008152,0.947406488766362
