length,value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0013937879492392088
28,0.0017331132876665554
29,0.0021508848064830197
30,0.0027371027746621633
31,0.0037848761762935583
32,0.004918393077420035
33,0.006304275597627782
34,0.008351173606850809
35,0.011033546488218238
36,0.014512543371986788
37,0.018946880948711182
38,0.024681965656073737
39,0.03158340520053961
40,0.03992606526843346
41,0.05007298748527702
42,0.06402971838535951
43,0.07612441669357008
44,0.09078229833775066
45,0.10444713647359458
46,0.11988339882241136
47,0.1353883775928093
48,0.1544793805938633
49,0.173217679838129
50,0.19192922224567283
51,0.21099529273978143
52,0.231506232416871
53,0.25055345150328917
54,0.2691810747411144
55,0.2912420866182959
56,0.3068607819447618
57,0.33195261369062057
58,0.3505923991269557
59,0.36929117122606414
60,0.3902940718328808
61,0.41011054997505275
62,0.42248011396958796
63,0.4362842092783707
64,0.45146324112870223
65,0.4664707859800436
66,0.48497921967247143
67,0.5000019672719502
68,0.5086596282812516
69,0.5166301250747412
70,0.5337995007112245
71,0.5439616256762055
72,0.5523979346726259
73,0.5626743843036004
74,0.5656717581263753
75,0.5690157546066834
76,0.5701292038802686
77,0.5720429258158077
78,0.5740654994280109
79,0.5745793523150559
80,0.5710462336479181
81,0.5682708199479496
82,0.6130094671667666
83,0.6243689605750512
84,0.6084638454736763
85,0.606546474878584
86,0.6066012047718788
87,0.6203207728010175
88,0.623497539051814
89,0.6483899107421097
90,0.6783022298673834
91,0.6968635691233295
92,0.6967127578618062
93,0.6888711803725219
94,0.6906006450006356
95,0.707852115477061
96,0.7219487116600077
97,0.7136443625174202
98,0.706304475716671
99,0.7310521172446984
100,0.732568743398888
101,0.7294114366657074
102,0.7665049259011757
103,0.7766846860539961
104,0.770865682176915
105,0.7624172109819846
106,0.7563549631347046
107,0.7600115281167183
108,0.7706887221885953
109,0.7771790794234251
110,0.7886547218274798
111,0.8013636111604423
112,0.8154133828791259
113,0.8336378292363466
114,0.8449121872550617
115,0.8581179023971552
116,0.8631895391758005
117,0.8707228049328579
118,0.886821298990541
119,0.8900570519041107
120,0.9032025641635801
121,0.9201870743827124
122,0.9463467471577439
123,0.9812692839591878
124,1.0158549278619062
125,1.0558557906511759
126,1.099965652207029
127,1.145002881399265
128,1.1793422407821572
129,1.214796873768411
130,1.2539913827964715
131,1.286463236598162
132,1.3298457986831207
133,1.3801595976988947
134,1.4233481727176196
135,1.4752302872312504
136,1.515239663559477
137,1.5492196299764003
138,1.5836307463305013
139,1.6104733265518658
140,1.6246641797732648
141,1.6507600010061192
142,1.6697299901319993
143,1.6944776316600265
144,1.7569432913170078
145,1.8246508585317733
146,1.8984516872000192
147,1.9759242835984163
148,2.0679331396558944
149,2.1452269517361953
150,2.221181705760552
151,2.317384695974183
152,2.3998948749953977
153,2.4948767804786307
154,2.612232266340751
155,2.729034372170669
156,2.8683541804318162
157,3.0086828430593635
158,3.1221731822350245
159,3.2280876879588436
160,3.3352652379979197
161,3.364481879368425
162,3.4143329067308956
163,3.4716144292730147
164,3.4940457800948237
165,3.5310535258307967
166,3.54758012927603
167,3.51940396398805
168,3.483184328715521
169,3.403922064806386
170,3.2858477930123287
171,3.169732243288297
172,3.05857765433647
173,2.939422771204804
174,2.867016338595723
175,2.824547157618861
176,2.7242965877411214
177,2.6780230710703496
178,2.620211884783123
179,2.521509562775699
180,2.441304120372118
181,2.3702221511807697
182,2.2712115174411185
183,2.190037355926221
184,2.1125355702514
185,2.0256737566033287
186,1.9616683626149891
187,1.9042512315594844
188,1.83218959727816
189,1.7955011092530728
190,1.7429999388352861
191,1.6717908746695087
192,1.6116165732118004
193,1.5528093028666095
194,1.5016721230117125
195,1.463708428472858
196,1.4220376958281735
197,1.3723490338158106
198,1.333609391012022
199,1.2893213532479983
200,1.2418158058681696
201,1.199157502704478
202,1.1657631461458082
203,1.1300628367496537
204,1.1007446410215906
205,1.0754606465392749
206,1.042283993333933
207,1.01589627933684
208,0.9905490414222725
209,0.9709332395555146
210,0.9426907902856557
211,0.9197790326227039
212,0.8946677413592292
213,0.8725526076986785
214,0.8589643914134472
215,0.8496718636419269
216,0.8304118060815848
217,0.8151464226218327
218,0.801229826976833
219,0.7823309867122361
220,0.7592963908443338
221,0.746238446414136
222,0.7309469142275874
223,0.7164836277595659
224,0.6998165509215432
225,0.6877461770103525
226,0.6761215476745511
227,0.6648307706878476
228,0.6555291212674449
229,0.648346126827474
230,0.6395267085779904
231,0.6278467412389688
232,0.6186393488570182
233,0.6029902480342774
234,0.5958194157928164
235,0.5937719096736678
236,0.5820615368383714
237,0.5768646294150737
238,0.5727653604072982
239,0.5678670349574195
240,0.5539145608268156
241,0.5491050194260595
242,0.5546613198153258
243,0.5463551463429619
244,0.5458771719415212
245,0.53748282252996
246,0.5290386081045082
247,0.5269558316096808
248,0.5239675794357884
249,0.5207062859053478
250,0.5191008757020357
