minutes	percent of budded cells
30	0
38	0
46	0
54	0
62	0
70	0
78	0.0143540669856459
86	0.0655021834061135
94	0.0934579439252336
102	0.248780487804878
110	0.383495145631068
118	0.587155963302752
126	0.692682926829268
134	0.788018433179724
142	0.84549356223176
150	0.902040816326531
158	0.856540084388186
166	0.716738197424893
174	0.585365853658537
182	0.511520737327189
190	0.425438596491228
198	0.492610837438424
206	0.525114155251142
214	0.553191489361702
222	0.601895734597156
230	0.642241379310345
238	0.658878504672897
246	0.705357142857143
254	0.690821256038647
262	0.655172413793103
270	0.633333333333333
278	0.603603603603604
