Rank	Systematic Name	Standard Name	Aliases	Original PTR (80pt/20pt)	Deconvolved PTR (80pt/20pt)	Ratio	Spellman1998	Pramila2006(rank)	Orlando2008(rank)	Intersection	Stress response gene	Daughter-specific gene	Ribosomal protein gene
1	YKR013W	PRY2	YFW12	2.084	14716.721	7060.921	1	209	84	1	-	-	-
2	YIL140W	AXL2	SRO4|BUD10	2.526	7425.072	2939.762	1	421	74	1	-	-	-
3	YMR076C	PDS5	-	2.626	4929.320	1877.425	1	575	86	1	-	-	-
4	YLR286C	CTS1	-	11.914	4814.042	404.057	1	-	1	-	-	1	-
5	YPL256C	CLN2	-	2.294	4808.477	2096.504	1	931	83	1	-	-	-
6	YDL003W	MCD1	SCC1|RHC21|PDS3	2.358	4622.465	1960.608	1	168	50	1	-	-	-
7	YBL035C	POL12	-	2.102	4422.682	2103.931	1	853	92	1	-	-	-
8	YDR528W	HLR1	-	1.823	3822.436	2096.727	1	469	23	1	-	-	-
9	YNL289W	PCL1	HCS26	2.633	2954.784	1122.328	1	476	56	1	-	-	-
10	YOL007C	CSI2	-	2.149	2847.574	1324.813	1	281	58	1	-	-	-
11	YNL300W	TOS6	-	2.025	2717.845	1342.306	1	712	118	1	-	-	-
12	YHR143W	DSE2	-	8.078	2445.479	302.717	1	359	9	1	-	1	-
13	YOL017W	ESC8	-	2.294	2339.595	1019.691	1	511	107	1	-	-	-
14	YML027W	YOX1	-	2.279	2118.707	929.692	1	749	153	1	-	-	-
15	YNR067C	DSE4	ENG1	12.875	1740.576	135.195	1	2	2	1	-	1	-
16	YBR038W	CHS2	-	2.665	1613.093	605.371	1	161	54	1	-	-	-
17	YDL227C	HO	-	10.347	1520.034	146.907	1	280	6	1	-	2	-
18	YEL076C-A	-	-	2.210	1311.756	593.529	1	546	110	1	-	-	-
19	YDR146C	SWI5	-	3.046	1266.589	415.760	1	331	47	1	-	-	-
20	YGR108W	CLB1	SCB1	3.289	1138.108	346.060	1	818	24	1	-	-	-
21	YNL327W	EGT2	-	7.712	1083.662	140.525	1	950	5	1	-	1	-
22	YNL058C	-	-	2.960	1026.079	346.611	1	58	121	1	-	-	-
23	YKL185W	ASH1	-	5.172	979.903	189.453	1	670	21	1	-	1	-
24	YER124C	DSE1	-	12.744	941.165	73.853	1	871	4	1	-	1	-
25	YMR032W	HOF1	CYK2	3.285	898.118	273.390	1	798	60	1	-	-	-
26	YMR030W-A	-	-	3.123	803.894	257.443	-	-	67	-	-	-	-
27	YKL163W	PIR3	CCW8	3.396	759.428	223.598	1	335	17	1	-	1	-
28	YNL160W	YGP1	-	2.317	737.711	318.352	1	806	88	1	-	-	-
