SystematicName	StandardName	Aliases	Timepoint1	Timepoint2	Timepoint3	Timepoint4	Timepoint5	Timepoint6	Timepoint7	Timepoint8	Timepoint9	Timepoint10	Timepoint11	Timepoint12	Timepoint13	Timepoint14	Timepoint15
byClock	-	-	30	46	62	78	94	110	126	142	158	174	190	206	222	238	254
YPR161C	SGV1	BUR1	1266.35838	1596.847822	1669.59023	1696.313693	1419.810981	1317.304425	1464.391844	1549.965086	1651.531492	1599.348617	1569.71978	1573.952657	1626.774013	1594.728439	1688.830307
YOL138C	RTC1	-	1959.322821	1854.448142	2109.386934	1889.994262	1505.487747	1661.63094	1731.818287	1745.685249	1759.184562	1611.096514	1622.085601	1570.828077	1654.717982	1482.185106	1531.649238
YDR395W	SXM1	KAP108	2847.504303	5147.046182	5775.048784	5805.680206	5452.146408	5006.636608	4821.06083	4828.040069	4855.202549	4842.23066	5123.085848	4876.688441	4747.292602	4676.405825	4727.074378
YGR129W	SYF2	NTC31	1809.829771	1240.234978	1808.691708	969.9821812	805.3186594	783.6631773	894.0599246	962.7669717	1055.531703	815.4449606	779.586398	859.0192997	829.2896711	843.8197262	799.8067796
YPR165W	RHO1	-	11045.72193	11542.96729	9472.8541	9729.683474	10350.81673	10515.65808	10731.39418	9968.7292	8646.970435	8732.595883	9091.276317	9551.412203	9884.74109	9400.052116	9527.73485
YPR098C	-	-	8571.133361	7569.316416	5861.546704	3578.319447	2973.798545	2978.326831	3338.915748	3621.521911	4002.152064	4052.117981	4115.419534	4077.173012	4261.790099	4141.89756	4480.365265
YPL015C	HST2	-	2428.64067	2874.111453	1941.652563	2956.373989	3252.581445	2662.947628	2192.582163	2235.081339	2593.364551	3047.348153	2720.390997	2666.20058	2550.836327	2584.851179	2720.604861
YCL050C	APA1	DTP1	5810.908243	6105.629923	4481.637866	5326.269303	5423.559204	5978.501709	6210.166306	6326.19824	6211.100085	6540.036048	7121.290601	7025.044222	6935.215777	6709.622408	6874.235738
YLR031W	-	-	462.7239422	370.6552253	188.6030369	177.8283291	187.9228599	162.0242606	171.7448243	192.7115598	191.1627936	152.5957778	164.8035789	181.1720018	189.3557848	169.2200381	178.7701998
YIL014C-A	-	YIL015C-A	209.6641891	213.5245746	294.6889856	232.8544598	229.93684	283.3191407	245.9222207	210.994014	222.407405	197.8414763	239.270847	217.5634316	226.5906956	207.2393098	206.4144442
YMR193W	MRPL24	MRPL14	1701.468431	1310.070993	1426.806124	1236.785596	1331.86776	1282.842876	1333.822467	1474.830808	1559.828255	1296.389257	1193.251246	1188.494091	1285.835763	1239.810339	1223.756196
YGR053C	-	-	468.4645148	258.9666252	226.5909624	218.6880363	234.3939216	214.3061154	213.8452822	248.7306021	274.0158301	249.3914427	277.2436883	214.336897	257.6550356	236.1012202	259.3993473
YCR101C	-	-	234.0271539	262.3580046	252.625762	286.9855306	263.4106353	283.1048671	258.5631524	269.6880692	248.584487	283.6850802	254.00248	253.4693759	277.8309963	292.1377546	289.262104
