,alpha,prop_dg1,gene,replicate
0,0,0.24938047129994248,DSE1,1
1,1,0.24783340870067133,DSE1,1
2,2,0.24792469475496734,DSE1,1
3,3,0.24869120488504473,DSE1,1
4,4,0.24668539078963245,DSE1,1
5,5,0.2466286826753178,DSE1,1
6,6,0.24466822144279557,DSE1,1
7,7,0.2451484362647172,DSE1,1
8,8,0.24911193357959519,DSE1,1
9,9,0.24993502377929308,DSE1,1
10,10,0.25101560321573707,DSE1,1
11,11,0.25361036228572276,DSE1,1
12,12,0.2541982322816771,DSE1,1
13,13,0.25637997842774896,DSE1,1
14,14,0.2611352531998822,DSE1,1
15,15,0.2638433927101268,DSE1,1
16,16,0.2698590477417375,DSE1,1
17,17,0.2770391219843527,DSE1,1
18,18,0.27743714507202644,DSE1,1
19,19,0.287046282075032,DSE1,1
20,20,0.28356834907876044,DSE1,1
21,21,0.2801214786900711,DSE1,1
22,22,0.2924160114437697,DSE1,1
23,23,0.2941512949234059,DSE1,1
24,24,0.2985675457709584,DSE1,1
25,25,0.28846431719524,DSE1,1
26,26,0.2883680140755023,DSE1,1
27,27,0.2934202679381781,DSE1,1
28,28,0.2821525297964346,DSE1,1
29,29,0.2904233683914221,DSE1,1
30,30,0.2881877526517446,DSE1,1
31,31,0.2865525348882099,DSE1,1
32,32,0.27611564542050515,DSE1,1
33,33,0.2729587136986424,DSE1,1
34,34,0.271409403490296,DSE1,1
35,35,0.2738440022883541,DSE1,1
36,36,0.2728151715183787,DSE1,1
37,37,0.2706248006415901,DSE1,1
38,38,0.2670575564721666,DSE1,1
39,39,0.26344181010669726,DSE1,1
0,0,0.25622642312038924,DSE2,1
1,1,0.2578682268529657,DSE2,1
2,2,0.2584220212952789,DSE2,1
3,3,0.26138445647410974,DSE2,1
4,4,0.26113606475836454,DSE2,1
5,5,0.26019690118429134,DSE2,1
6,6,0.2597905542289839,DSE2,1
7,7,0.25668516207402425,DSE2,1
8,8,0.2671392359122395,DSE2,1
9,9,0.2738137147996178,DSE2,1
10,10,0.2805027786465116,DSE2,1
11,11,0.28240757788654186,DSE2,1
12,12,0.2881647581952609,DSE2,1
13,13,0.29372720262842666,DSE2,1
14,14,0.3004968874435351,DSE2,1
15,15,0.305628516660177,DSE2,1
16,16,0.3114105356519709,DSE2,1
17,17,0.30534186674367536,DSE2,1
18,18,0.30930442425278554,DSE2,1
19,19,0.317144785497301,DSE2,1
20,20,0.29921071962499257,DSE2,1
21,21,0.3185799234774415,DSE2,1
22,22,0.31966539927661575,DSE2,1
23,23,0.3074898089791901,DSE2,1
24,24,0.30301085733174377,DSE2,1
25,25,0.29432505989196023,DSE2,1
26,26,0.29006490963512427,DSE2,1
27,27,0.29250057205958196,DSE2,1
28,28,0.2840488384765381,DSE2,1
29,29,0.2877676567908988,DSE2,1
30,30,0.281298485958531,DSE2,1
31,31,0.27617201058076446,DSE2,1
32,32,0.2918090922377975,DSE2,1
33,33,0.28729207716004085,DSE2,1
34,34,0.28480976012395537,DSE2,1
35,35,0.2790111607544457,DSE2,1
36,36,0.27420347773776516,DSE2,1
37,37,0.2712650624829172,DSE2,1
38,38,0.26670422815168837,DSE2,1
39,39,0.26282024131170323,DSE2,1
0,0,0.24238062171286942,DSE3,1
1,1,0.2445475800187749,DSE3,1
2,2,0.24623352820950234,DSE3,1
3,3,0.2479937733106252,DSE3,1
4,4,0.24831942721431244,DSE3,1
5,5,0.2492727080345031,DSE3,1
6,6,0.25034063384574756,DSE3,1
7,7,0.2507505988659259,DSE3,1
8,8,0.25197237986243065,DSE3,1
9,9,0.24799675535140406,DSE3,1
10,10,0.254869333117412,DSE3,1
11,11,0.25689770425401615,DSE3,1
12,12,0.25528957144202913,DSE3,1
13,13,0.25496566292875134,DSE3,1
14,14,0.25576825650615825,DSE3,1
15,15,0.25649257380719953,DSE3,1
16,16,0.25668791738985514,DSE3,1
17,17,0.25732793341597404,DSE3,1
18,18,0.25717953568936364,DSE3,1
19,19,0.2577124047848166,DSE3,1
20,20,0.25955260866253554,DSE3,1
21,21,0.2593215214903652,DSE3,1
22,22,0.26086973241503086,DSE3,1
23,23,0.26776158172186304,DSE3,1
24,24,0.2728616142201528,DSE3,1
25,25,0.27415790823953756,DSE3,1
26,26,0.2778679287520786,DSE3,1
27,27,0.2848331976906512,DSE3,1
28,28,0.29509893285018757,DSE3,1
29,29,0.3006667656636731,DSE3,1
30,30,0.3227478233356325,DSE3,1
31,31,0.33125148984835573,DSE3,1
32,32,0.339924480233264,DSE3,1
33,33,0.341528619929161,DSE3,1
34,34,0.33825511434430716,DSE3,1
35,35,0.34023345900615787,DSE3,1
36,36,0.34324353443068073,DSE3,1
37,37,0.33900543658516247,DSE3,1
38,38,0.32275887671508774,DSE3,1
39,39,0.3366701729529894,DSE3,1
0,0,0.25637605381711465,DSE4,1
1,1,0.2550929847457175,DSE4,1
2,2,0.25936230083019124,DSE4,1
3,3,0.25914058595205197,DSE4,1
4,4,0.26012472779943835,DSE4,1
5,5,0.26009963201434494,DSE4,1
6,6,0.26217020945998737,DSE4,1
7,7,0.26018784664703876,DSE4,1
8,8,0.2642926938632228,DSE4,1
9,9,0.263604489817919,DSE4,1
10,10,0.263829641109933,DSE4,1
11,11,0.2614675627355807,DSE4,1
12,12,0.2615436871696064,DSE4,1
13,13,0.2641175226827231,DSE4,1
14,14,0.2648378740006644,DSE4,1
15,15,0.26397264358159755,DSE4,1
16,16,0.2649152350399975,DSE4,1
17,17,0.26704634296654667,DSE4,1
18,18,0.2687775782675069,DSE4,1
19,19,0.2695459798294248,DSE4,1
20,20,0.26874563201445945,DSE4,1
21,21,0.2750790241526974,DSE4,1
22,22,0.28319209479513174,DSE4,1
23,23,0.28258907648275455,DSE4,1
24,24,0.28521108452627014,DSE4,1
25,25,0.2984635559600901,DSE4,1
26,26,0.3073944419507189,DSE4,1
27,27,0.3200891466710476,DSE4,1
28,28,0.3278851415842524,DSE4,1
29,29,0.34527336978205303,DSE4,1
30,30,0.35213772016455336,DSE4,1
31,31,0.3506236025030819,DSE4,1
32,32,0.36502463363657056,DSE4,1
33,33,0.36782510161096127,DSE4,1
34,34,0.3665951645672708,DSE4,1
35,35,0.3709613350824476,DSE4,1
36,36,0.3681186595817503,DSE4,1
37,37,0.37105763328508345,DSE4,1
38,38,0.36387991433885175,DSE4,1
39,39,0.364912565797498,DSE4,1
0,0,0.2392479830586927,DSE1,2
1,1,0.2390067124220959,DSE1,2
2,2,0.24027022821039307,DSE1,2
3,3,0.23902391789057642,DSE1,2
4,4,0.23809840791000977,DSE1,2
5,5,0.24715024857787085,DSE1,2
6,6,0.24348777073460606,DSE1,2
7,7,0.2430060550940265,DSE1,2
8,8,0.24155206268164545,DSE1,2
9,9,0.24449384644685065,DSE1,2
10,10,0.26036358312609265,DSE1,2
11,11,0.2560763443648431,DSE1,2
12,12,0.24836638984390322,DSE1,2
13,13,0.23904333119078017,DSE1,2
14,14,0.24450017762823664,DSE1,2
15,15,0.26948811383611404,DSE1,2
16,16,0.2634824947773156,DSE1,2
17,17,0.2584834216442645,DSE1,2
18,18,0.2553715336949691,DSE1,2
19,19,0.25024831385089874,DSE1,2
20,20,0.2476381446887324,DSE1,2
21,21,0.2456136181320945,DSE1,2
22,22,0.24109257636806714,DSE1,2
23,23,0.23706462797762082,DSE1,2
24,24,0.23765611725790983,DSE1,2
25,25,0.23571124872678764,DSE1,2
26,26,0.2304666346040154,DSE1,2
27,27,0.22857500895796248,DSE1,2
28,28,0.22815934726917106,DSE1,2
29,29,0.22745780469798543,DSE1,2
30,30,0.23099336872807189,DSE1,2
31,31,0.22603788223795535,DSE1,2
32,32,0.2254004060017944,DSE1,2
33,33,0.22418415035729342,DSE1,2
34,34,0.2223436792731379,DSE1,2
35,35,0.22045020725561515,DSE1,2
36,36,0.21878672836884663,DSE1,2
37,37,0.21688426709644537,DSE1,2
38,38,0.214964001197051,DSE1,2
39,39,0.21406263562706576,DSE1,2
0,0,0.2554346217022421,DSE2,2
1,1,0.2852712727630829,DSE2,2
2,2,0.27344423409470936,DSE2,2
3,3,0.26814972233213047,DSE2,2
4,4,0.2900684974004537,DSE2,2
5,5,0.34865041167404365,DSE2,2
6,6,0.2987238889421556,DSE2,2
7,7,0.30252497289266067,DSE2,2
8,8,0.29223963054233154,DSE2,2
9,9,0.3551484839610332,DSE2,2
10,10,0.3432011330969216,DSE2,2
11,11,0.33708001718770414,DSE2,2
12,12,0.3263000252734716,DSE2,2
13,13,0.3115021972804479,DSE2,2
14,14,0.30011450745375834,DSE2,2
15,15,0.30752036594560417,DSE2,2
16,16,0.29751932353954136,DSE2,2
17,17,0.29310482838444235,DSE2,2
18,18,0.27209437969608874,DSE2,2
19,19,0.26871188283733444,DSE2,2
20,20,0.26289993411305296,DSE2,2
21,21,0.26408190428228223,DSE2,2
22,22,0.28005249261266363,DSE2,2
23,23,0.27287063722498844,DSE2,2
24,24,0.2694864744807271,DSE2,2
25,25,0.2626468458472426,DSE2,2
26,26,0.25883820673114044,DSE2,2
27,27,0.2545960617986365,DSE2,2
28,28,0.25093280060217277,DSE2,2
29,29,0.247063676950004,DSE2,2
30,30,0.23815783486370304,DSE2,2
31,31,0.2351985980260798,DSE2,2
32,32,0.2349933829523508,DSE2,2
33,33,0.234501196493671,DSE2,2
34,34,0.23052996593706207,DSE2,2
35,35,0.22392284858135253,DSE2,2
36,36,0.2252465008606984,DSE2,2
37,37,0.22159984442765707,DSE2,2
38,38,0.2172065467358674,DSE2,2
39,39,0.2138232491926737,DSE2,2
0,0,0.27844108456517297,DSE3,2
1,1,0.27045072093341216,DSE3,2
2,2,0.27449516840160665,DSE3,2
3,3,0.27322931636496295,DSE3,2
4,4,0.2720897134276301,DSE3,2
5,5,0.27083868443384346,DSE3,2
6,6,0.2692929669432981,DSE3,2
7,7,0.27337630232653315,DSE3,2
8,8,0.2773639006149909,DSE3,2
9,9,0.2814797254752226,DSE3,2
10,10,0.2896235034201756,DSE3,2
11,11,0.28993558314683143,DSE3,2
12,12,0.28864543013552246,DSE3,2
13,13,0.29289488150887527,DSE3,2
14,14,0.3030647266061507,DSE3,2
15,15,0.30819537489950766,DSE3,2
16,16,0.3137149294876521,DSE3,2
17,17,0.32352793289301457,DSE3,2
18,18,0.3343786926364441,DSE3,2
19,19,0.33913358821767914,DSE3,2
20,20,0.3377936417153002,DSE3,2
21,21,0.3436151892285808,DSE3,2
22,22,0.3583318208453052,DSE3,2
23,23,0.340652925994875,DSE3,2
24,24,0.3438706279140457,DSE3,2
25,25,0.34625949997405026,DSE3,2
26,26,0.3545602554585578,DSE3,2
27,27,0.34498564944631627,DSE3,2
28,28,0.33887616881714444,DSE3,2
29,29,0.3400292382986954,DSE3,2
30,30,0.3268968891021296,DSE3,2
31,31,0.3270363525450475,DSE3,2
32,32,0.32888650928388874,DSE3,2
33,33,0.3244841936518667,DSE3,2
34,34,0.32471103606844764,DSE3,2
35,35,0.32112155944698184,DSE3,2
36,36,0.32238505042742777,DSE3,2
37,37,0.3171218047162838,DSE3,2
38,38,0.3115839548184775,DSE3,2
39,39,0.30500436412193893,DSE3,2
0,0,0.285505399352606,DSE4,2
1,1,0.27635674394652515,DSE4,2
2,2,0.27454226084572136,DSE4,2
3,3,0.27575704903506276,DSE4,2
4,4,0.2752771863153975,DSE4,2
5,5,0.27504565040705214,DSE4,2
6,6,0.27445349432152194,DSE4,2
7,7,0.2791078883329859,DSE4,2
8,8,0.2847852947897941,DSE4,2
9,9,0.2900054729221246,DSE4,2
10,10,0.291563686260307,DSE4,2
11,11,0.2934640499627118,DSE4,2
12,12,0.29682446047104866,DSE4,2
13,13,0.3050980881770872,DSE4,2
14,14,0.30951917845842647,DSE4,2
15,15,0.3116866373944496,DSE4,2
16,16,0.31862062619286347,DSE4,2
17,17,0.3339426084513595,DSE4,2
18,18,0.3416202807248776,DSE4,2
19,19,0.351477631129014,DSE4,2
20,20,0.3543201907561353,DSE4,2
21,21,0.35499485165248695,DSE4,2
22,22,0.3470372664381157,DSE4,2
23,23,0.3677992414813782,DSE4,2
24,24,0.36056674861962984,DSE4,2
25,25,0.35169732148386657,DSE4,2
26,26,0.3495411224771901,DSE4,2
27,27,0.3451766267205432,DSE4,2
28,28,0.34322881279641254,DSE4,2
29,29,0.3408816544993894,DSE4,2
30,30,0.33645914788200165,DSE4,2
31,31,0.33709847930892595,DSE4,2
32,32,0.332427599110307,DSE4,2
33,33,0.3291927328779466,DSE4,2
34,34,0.3288174616328282,DSE4,2
35,35,0.32509243027865964,DSE4,2
36,36,0.3208480616448085,DSE4,2
37,37,0.3158301907352599,DSE4,2
38,38,0.31019666152423,DSE4,2
39,39,0.30380049421598787,DSE4,2
