PAU8	YAL068C
YAL067W-A	YAL067W-A
SEO1	YAL067C
YAL065C	YAL065C
YAL064W-B	YAL064W-B
YAL064C-A	YAL064C-A
YAL064W	YAL064W
YAL063C-A	YAL063C-A
FLO9	YAL063C
GDH3	YAL062W
BDH2	YAL061W
BDH1	YAL060W
ECM1	YAL059W
CNE1	YAL058W
GPB2	YAL056W
PEX22	YAL055W
ACS1	YAL054C
FLC2	YAL053W
OAF1	YAL051W
AIM2	YAL049C
GEM1	YAL048C
SPC72	YAL047C
AIM1	YAL046C
YAL044W-A	YAL044W-A
GCV3	YAL044C
PTA1	YAL043C
ERV46	YAL042W
CDC24	YAL041W
CLN3	YAL040C
CYC3	YAL039C
CDC19	YAL038W
YAL037C-A	YAL037C-A
YAL037W	YAL037W
RBG1	YAL036C
FUN12	YAL035W
MTW1	YAL034W-A
FUN19	YAL034C
POP5	YAL033W
PRP45	YAL032C
GIP4	YAL031C
SNC1	YAL030W
MYO4	YAL029C
FRT2	YAL028W
SAW1	YAL027W
DRS2	YAL026C
MAK16	YAL025C
LTE1	YAL024C
PMT2	YAL023C
FUN26	YAL022C
CCR4	YAL021C
ATS1	YAL020C
FUN30	YAL019W
YAL018C	YAL018C
PSK1	YAL017W
TPD3	YAL016W
NTG1	YAL015C
SYN8	YAL014C
DEP1	YAL013W
CYS3	YAL012W
SWC3	YAL011W
MDM10	YAL010C
SPO7	YAL009W
FUN14	YAL008W
ERP2	YAL007C
SSA1	YAL005C
EFB1	YAL003W
VPS8	YAL002W
TFC3	YAL001C
NUP60	YAR002W
ERP1	YAR002C-A
SWD1	YAR003W
RFA1	YAR007C
SEN34	YAR008W
BUD14	YAR014C
ADE1	YAR015W
KIN3	YAR018C
CDC15	YAR019C
PAU7	YAR020C
YAR023C	YAR023C
UIP3	YAR027W
YAR028W	YAR028W
YAR029W	YAR029W
PRM9	YAR031W
MST28	YAR033W
YAT1	YAR035W
YAR035C-A	YAR035C-A
SWH1	YAR042W
FLO1	YAR050W
YAR064W	YAR064W
YAR066W	YAR066W
YAR068W	YAR068W
PHO11	YAR071W
YBL113C	YBL113C
YBL112C	YBL112C
YBL111C	YBL111C
PAU9	YBL108C-A
YBL107C	YBL107C
SRO77	YBL106C
PKC1	YBL105C
YBL104C	YBL104C
