"","X0","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YAL068C",4.79270086924136,4.45783027132443,4.74558063248514,4.45783027132443,4.77744333884602,4.76958736030736,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.72408483337083,4.45783027132443,4.45783027132443,4.75437933290187,4.7442112693625
"YAL067W-A",4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443
"YAL067C",8.47322059797375,7.54345606136164,7.44714230345434,8.8124625747181,9.61287295752381,8.52019774226969,7.61426906336773,7.36484293764495,7.07317645483584,7.29582860395614,7.4227801540369,7.38513606346087,7.82873275737466,7.94043802004999,7.76088142372577,7.54261290002375
"YAL065C",5.20009191174997,5.03489027733623,4.95459728498159,5.00599010885242,4.77744333884602,4.89787195310651,5.00846426539373,4.45783027132443,4.45783027132443,4.45783027132443,5.12581523340994,4.72408483337083,4.93802750096941,4.74631895167244,4.87648221572359,4.45783027132443
"YAL064W-B",6.02399440365733,5.85488710250239,6.09750939785285,5.79704521608538,5.73610035987985,5.83623207889903,5.95643832244612,6.02258577129315,5.81590578015438,5.91409635338813,5.48039683475149,5.96567710285651,5.98545385537141,5.94698428685994,5.77315186564145,5.86414741818361
"YAL064C-A",5.12316425803682,5.21750110454419,5.47580012523941,5.28867488722848,5.23296417072046,5.27336587656061,5.16589045280423,5.17087323289564,5.33523448568925,5.46149819322378,5.4384965809392,5.36638418511523,4.93802750096941,5.09870351606932,5.23439818049887,5.25884034917341
"YAL064W",5.26919973945697,5.03489027733623,5.0970843484531,5.16273336278069,4.90891659595068,5.37918490665436,5.40049670849396,4.91153041319446,5.22053612490744,5.01524140296126,5.05634408324043,5.24782121468524,5.04461499138124,5.31219947677778,5.04785255943661,4.95224846247566
"YAL063C-A",6.16402912992963,6.04510392426638,6.09750939785285,6.10994487858836,5.95826887442585,6.08163847418232,6.14145632425832,6.04971494238713,5.81590578015438,6.18471646872971,6.07658735866718,6.04213386755255,6.077089249464,5.87377357423652,6.12158800829603,5.98293906565261
"YAL063C",6.72787156210552,6.33494054415037,6.37253742311963,6.5447893105522,6.30360304969595,6.34477628720431,6.46201253342341,6.26929618779119,6.16591226403274,6.3216817694879,6.00565041273548,6.00454639490382,5.91998105397367,6.18113761234463,6.47298834396673,5.96017330389043
"YAL062W",8.18416295116184,8.42466777455605,8.26337221607412,8.22500404675436,8.05697600178881,8.17755238548137,7.93686315580483,7.88163541131612,7.82828315944144,8.00485895438386,8.05323004056851,8.42750682812195,8.21257501147999,8.32664557120922,8.61177118889821,8.61778613070842
