,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0,64,62,76,92,108,144,178,194,291,331,465,637,864,1063,1430,1940,2500,3200,3849,4766,5984,7079,8474,9990,11835,13406,15242,17182,19459,21412,23953,26387,28193,30348,32556,34633,36298,38475,40636,41985,44168,44957,46729,48790,50227,51128,52769,52972,53492,54107,54243,54672,54024,54289,54379,57672,59525,57940,59229,59366,60931,61753,65315,67769,70661,71413,71573,71656,73077,74723,74447,74305,76701,77896,78635,81019,80656,80867,80181,81329,81475,82637,83704,84436,85621,87596,89236,90056,90207,90023,91212,90485,91631,92499,93916,97502,100236,103834,107065,110762,115658,118638,121796,125324,128810,132215,137134,139579,144037,146806,149144,151082,152217,152296,154535,156513,159011,165173,172415,179096,187010,198799,207076,216937,226386,237781,249337,260670,273147,287199,300881,311568,322207,330799,333474,336980,342364,342094,342953,341574,336220,331545,323959,312094,300406,291605,280233,273798,269643,261876,253724,248316,239239,231095,224457,216256,208261,201467,193396,187773,181766,175555,172667,168333,162281,156939,151065,146838,142883,139371,135774,134107,128511,124904,120544,117576,114388,112295,110862,106949,104765,103155,101886,99145,96974,95337,93357,92821,91308,89346,88139,88057,86266,83679,83189,80979,80011,78464,76551,75730,73923,73784,72720,72073,70492,69217,68135,67032,67454,65888,65338,65556,64828,63000,63169,62783,62547,62262,61388,60988,60530,60083,60320,59457
10,94,90,104,166,236,392,499,762,1024,1434,1928,2533,3348,4346,5362,6954,8353,9776,11565,13465,15381,17558,19762,22015,24544,27078,29543,32329,34801,36625,39951,42660,44809,47547,49670,51536,54055,55581,57623,59456,61319,62482,63897,65948,67311,68604,69897,69832,70020,69643,69335,69476,69114,68916,68235,72781,73520,72432,72747,72984,74277,74860,79126,82053,84143,85024,85270,85149,85844,87969,87733,87777,89833,90673,91126,93068,93757,94132,93983,94285,94991,95824,96394,97266,98964,100009,102187,103398,103709,103447,103428,104827,105032,105763,107341,110781,113675,117442,121791,125786,131682,134650,137904,141852,144146,148906,153327,157243,161343,164777,166468,168141,170693,170176,172175,174252,176325,182669,189667,196789,207516,217108,226923,235044,245979,257525,268379,280617,293127,307171,320297,331065,339528,348308,351107,354657,357959,358354,357323,353926,349959,344371,335410,323242,312349,301863,290563,282720,277951,267766,262148,255398,245376,238429,231337,222092,215066,206578,198479,192249,187015,179705,176846,171821,165051,160319,154856,150827,146735,142252,138207,135977,131134,127167,123106,120250,117525,114702,112514,109571,107408,104903,103512,100380,98239,96790,94056,93146,92403,90491,89002,87957,86329,83963,82304,81210,79657,77960,76514,75652,74246,73046,72909,71415,70405,68916,67887,67219,67066,65574,65754,64910,64005,63008,61740,62728,62108,61784,60710,60081,59373,59728,59976,58938
20,57,57,72,84,141,165,248,387,559,786,1129,1549,2082,2906,3808,5354,6479,7881,9714,11024,13016,15213,17237,19438,21727,24109,26329,28962,31431,33541,36278,38482,40140,42831,45584,46540,48167,50058,52142,54305,55713,57164,58049,60013,61419,62738,63498,63970,63864,63814,64493,64111,64574,63954,63174,67694,68990,67947,67337,68383,69346,70138,73840,77201,79108,78734,78834,78547,80286,82529,82121,81617,84514,84268,84854,87365,87600,87619,87070,87310,88268,89090,90281,91083,92505,94291,95523,97145,97781,98579,99031,99203,100145,101247,103554,105396,109136,112639,116011,121091,125309,128792,131757,135959,139347,144585,148571,153028,157435,160671,163113,166111,168784,168347,172133,174630,176916,183359,189627,196398,205377,214666,222539,230961,242555,251861,261719,273772,286627,301117,312232,323635,334540,344664,345272,350448,354467,356401,358687,356113,351891,345700,340183,326993,317042,307393,295742,288457,284965,274946,268375,263031,253273,245554,238707,229778,222541,215664,205603,200342,194409,188251,183742,179483,172671,166471,160841,155465,151785,147034,143147,140204,135783,130868,126633,123928,120453,117337,115204,112582,109649,107582,105056,102575,100034,97475,94941,94396,92371,90617,88870,87862,85987,83021,81865,80503,78647,77420,75770,75099,73379,72304,71479,70346,68913,67338,65933,65628,65335,63854,63348,62733,62178,60446,59674,59971,58950,58919,58034,57315,56570,56080,56627,55953
30,104,111,135,233,290,358,506,739,944,1319,1748,2209,2849,3790,4794,6105,7244,8845,10392,12046,13763,16267,18148,20432,22482,25501,28042,30413,33417,35265,38755,41492,43349,46119,49269,50828,53114,55054,57049,59701,61278,63210,64145,65940,68141,68794,70104,70158,70175,69964,69678,69574,69828,68799,68782,72424,74015,73324,73573,74028,75122,76734,81502,83827,86671,87063,86803,87169,88700,90454,90772,90813,93033,94358,95190,97728,98843,98585,98364,100521,101795,103554,104801,106725,108618,110744,113074,115351,117297,117968,118932,121135,121710,124584,126337,130411,136745,142195,148654,155290,161594,166973,171167,178785,183603,190195,197421,204170,209999,216281,220166,224517,228589,229531,233350,236931,241030,250147,260176,270079,281843,294525,304546,315345,328741,338625,351722,367639,380337,395375,412113,421671,432792,442280,441162,445037,445807,444453,445097,439907,431840,424614,413887,398669,383149,370412,355253,346072,337957,325088,316471,307431,294110,284342,274940,263317,251979,242963,231741,223126,216022,206509,201123,193184,185363,178793,171368,165042,159855,154203,148158,143335,137513,133276,128124,122877,119158,116015,112749,108214,105476,101881,99685,96280,93562,90851,88059,85632,84243,82142,79908,78031,76096,73640,72234,69813,68064,66905,65448,63850,62342,60530,60155,58877,57574,56301,54850,54320,53656,52509,52289,51197,50597,49308,48498,48573,47450,47894,46610,45793,45032,45184,45033,44822
40,272,344,475,579,858,1195,1594,2275,2853,3814,5006,6310,7779,9534,11411,14407,16709,19598,21854,24469,26811,30254,33922,37116,39888,43946,46444,49747,52476,55144,59544,62051,64198,68030,70205,72733,74749,76296,79304,81010,83559,84992,85938,88120,89510,90690,90601,90894,90457,89806,89027,89194,88465,87319,86190,91046,92465,90305,90132,90300,91545,92528,97122,101353,103293,103610,102782,102758,104173,106872,106119,105521,107948,109128,110150,113111,113677,112841,113726,114444,114841,117479,119013,120048,122431,125051,128097,130435,132339,132058,134274,135884,136589,138266,142589,147630,153491,159776,166543,173317,181331,186645,193422,199060,205139,213320,220507,228670,236424,242871,247811,252811,257302,257428,262164,266706,270238,279776,290148,299480,311490,323872,334303,345925,358577,370667,383561,398452,412537,429396,445822,456974,468330,477708,476870,480654,483805,482129,482842,480365,470048,461202,448404,431809,415303,402414,385848,374813,367622,351403,342180,332785,318857,308044,296690,283755,272746,261469,248577,240059,232528,220656,214109,206454,197108,190049,182128,174890,168572,162778,156981,151194,145504,138408,133576,129007,123885,120170,116744,112168,108933,105136,101890,98198,95555,93087,89485,87117,86417,83568,81707,79458,77169,74751,72959,70808,69195,67618,66360,64487,63282,61644,60811,59644,57992,56351,55334,54845,54514,52632,52390,51551,50739,49165,48757,48891,47624,47097,46852,46191,45624,45302,45010,44929
50,73,112,129,141,214,299,392,614,847,1173,1586,2148,2745,3673,4418,5930,7081,8310,10170,11457,13321,15226,17001,19250,21280,23603,25818,28345,30369,32789,35813,37472,40163,42235,44550,46270,47557,50101,52177,54664,56386,58097,58259,60085,61448,62643,63465,65030,64680,65038,64724,64969,65784,65133,64640,68809,70415,68610,69268,69575,71010,71738,75717,78630,80537,81485,80755,81469,83121,84506,84935,85366,87282,88478,88835,92232,92355,92370,93079,93293,94188,96784,97532,99201,100610,102861,105117,107857,109344,110664,110859,113637,114294,116804,120029,124086,128357,133013,140032,146088,152506,157156,162718,169990,174657,180289,189276,196221,202603,209795,213475,219610,224651,226380,231826,236354,238357,247838,256418,265845,275881,288472,297085,308841,323918,334666,347553,361806,377569,393004,411067,426778,438795,452737,456227,461332,469974,472306,477668,474678,470596,464827,454429,440721,426454,413963,399008,388735,381816,366538,361258,352622,337190,327666,318428,304010,292832,282009,270029,260297,253048,241177,235181,227052,218075,209602,201720,194207,188075,180678,174654,170346,163527,156632,150963,145637,139877,137182,132329,128266,123849,120416,117269,113626,110069,106404,103480,101438,99025,97265,94672,93691,90892,86965,84939,83369,81468,79481,77729,76122,73857,72781,71829,70106,68402,67554,64826,64960,64284,62496,61883,61413,60049,58841,57351,57939,57067,56905,55318,54418,54030,53355,53351,53033
60,343,402,539,695,1004,1287,1636,2159,2745,3393,4501,5618,6852,8534,10288,13001,14874,17665,20055,22913,25207,28965,32628,35548,39028,43243,46734,50714,54749,58265,63137,66778,69701,74223,77692,80146,82922,85607,88557,92606,95876,97564,99207,101204,103670,104257,106128,104791,104715,104342,103049,102804,102275,100787,100070,105914,106857,105180,105264,105011,108013,109320,115440,120963,124256,124288,124174,123305,125079,128337,127576,126824,129838,130883,132793,136844,137618,136549,137022,139123,139048,142241,142534,144907,146890,149315,154177,156124,158503,159483,160031,162340,162903,164305,169182,174054,182660,190698,198965,207328,215555,222049,229644,236184,242103,251941,261113,267747,276590,282934,285443,291766,294969,295128,299829,302664,306286,317360,328789,340345,353701,368436,380222,392441,407285,419592,433424,448811,465268,482263,497832,510121,518393,527733,524605,524900,526461,519580,517357,510726,496830,484218,466823,445356,426416,409089,388966,375678,366499,349138,337523,325492,309323,297352,285233,269638,257634,245870,233975,224582,214928,204377,197707,189966,181025,172851,166321,158623,152832,146966,140987,136079,130359,124171,119219,115612,110364,107484,103824,100219,96991,93703,91488,87925,85241,82325,80843,79318,77715,75658,73625,72093,70469,67874,66426,64578,63080,61809,60528,59204,57941,57301,56280,54355,53625,52315,50930,50301,50145,49038,48565,47841,47009,45767,45344,45521,45352,44626,44331,43430,43420,42981,43012,42797
70,194,254,346,450,631,929,1066,1484,1944,2547,3289,4194,5298,6742,8437,10890,12719,14967,16715,19218,21604,24952,27663,30516,33767,37699,40718,44292,48233,50613,55416,58736,61007,65320,69036,71212,73590,75440,79135,82162,85307,87141,88912,91568,93347,94483,96006,95095,95266,95113,93275,93874,92992,91664,90641,96698,98630,96115,96787,96465,100348,102482,107412,113347,115873,116241,115947,115782,117546,120245,120274,119419,122225,123658,125403,129321,129960,129566,129682,130806,132917,136081,137190,137871,139735,143513,148520,150536,151897,152405,152706,154351,155787,157482,162680,168192,176236,183052,191389,200168,207160,213820,220628,226964,232943,241122,250202,256225,263372,270505,273741,278707,282361,280669,286122,288752,292492,302235,314474,325891,337752,352457,364101,375989,389625,401538,415383,431208,445511,463413,478017,487595,496843,504163,501367,500804,501843,495848,492868,485736,471589,458769,444004,423925,404676,390283,369806,359337,348784,332725,322134,310685,295230,283107,272604,257950,246706,235980,223714,214576,206577,196722,189791,182452,173535,166598,159541,153557,148015,143469,136613,131917,126351,121143,115631,112579,107958,104883,101690,97564,94647,91729,89948,87081,84330,81372,79052,77905,75934,74263,73274,71055,68735,66813,65085,63613,62156,60800,59795,58426,57401,56319,55249,53795,52672,51607,50269,49768,49209,48636,47943,47565,46478,45541,44443,44900,44382,43991,43158,43023,43133,43000,41917,42028
80,502,599,821,1089,1361,1820,2228,2802,3549,4466,5553,6781,8357,10297,12403,15613,17755,20809,23052,26336,29319,32792,36845,40138,44122,48319,52154,56289,60660,63800,67944,72163,74984,78725,83129,85221,87639,89563,92717,95902,99205,99237,100668,103806,104499,105983,106161,104852,103648,103251,101918,101089,100341,98359,96055,102169,102976,100449,99616,99155,100911,101277,106006,109491,111636,111574,110342,109494,110927,112228,110586,109610,111278,111629,111786,115897,115834,114443,113776,114253,114610,116876,115999,117190,118334,120276,123262,124980,126637,125456,126100,127187,128087,128740,131309,134840,140122,144912,150614,156648,162412,166913,171102,176185,180062,185053,190862,196104,201034,205466,208300,211285,214261,213450,215501,217661,219978,226685,234670,241653,250755,260941,268250,275734,285549,293577,301403,312807,323413,335623,346932,354226,360437,367730,364794,363954,366314,363351,360467,356271,348596,338652,328192,312796,299751,288970,274994,267723,259866,248538,241919,234146,222572,214652,205958,195161,186946,179717,170361,164025,157944,149662,145829,140517,133736,127937,122508,118007,114057,110454,104887,101325,97473,93075,89125,86528,84214,80676,78513,75730,73457,71088,69154,67209,64588,62721,61081,59796,58608,56778,55953,54171,52779,51162,49654,48439,47253,46148,45033,44454,42904,42610,41617,40723,39817,38897,38106,37552,37392,36481,36007,35826,34883,34363,34003,34005,33449,33685,32552,31920,32215,31866,31902,31495
