chromosome,start,end,length,coverage,mid,name
1,3207,6735,3528,0.9994329458463284,4971,1_4971
1,9516,12863,3347,0.893305439330544,11189,1_11189
1,14243,21066,6823,0.9654060392846673,17654,1_17654
1,28712,30689,1977,0.9994939271255061,29700,1_29700
1,70082,71260,1178,0.9991503823279524,70671,1_70671
1,160361,166058,5697,0.03546348314606742,163209,1_163209
1,175635,176356,721,0.9986111111111111,175995,1_175995
1,177523,178781,1258,0.9992044550517104,178152,1_178152
1,180320,183189,2869,0.9550209205020921,181754,1_181754
1,196919,202903,5984,0.333444760153769,199911,1_199911
1,208516,220218,11702,0.07042133151012733,214367,1_214367
2,29046,36267,7221,0.2979224376731302,32656,2_32656
2,88304,88958,654,0.6079632465543645,88631,2_88631
2,196237,198448,2211,0.9457013574660633,197342,2_197342
2,221186,227030,5844,0.10405613554680815,224108,2_224108
2,258515,266030,7515,0.04059089699228108,262272,2_262272
2,300620,301444,824,0.45443499392466585,301032,2_301032
2,307483,308388,905,0.9988938053097345,307935,2_307935
2,326643,327673,1030,0.9970845481049563,327158,2_327158
2,341264,342288,1024,0.9990224828934506,341776,2_341776
2,349929,351590,1661,0.9993975903614458,350759,2_350759
2,363133,364135,1002,0.993006993006993,363634,2_363634
2,407735,408623,888,0.9988726042841037,408179,2_408179
2,532722,533222,500,0.9939879759519038,532972,2_532972
2,554883,555787,904,0.9988925802879292,555335,2_555335
2,642710,645013,2303,0.7858384013900955,643861,2_643861
2,785109,786607,1498,0.9993319973279893,785858,2_785858
2,799089,799623,534,0.99812382739212,799356,2_799356
3,29520,30933,1413,0.9992917847025495,30226,3_30226
3,84497,90824,6327,0.1125513752766361,87660,3_87660
3,114524,116822,2298,0.9991292990857641,115673,3_115673
3,122889,125511,2622,0.9660434948492942,124200,3_124200
3,149102,152212,3110,0.18559022193631391,150657,3_150657
3,168675,170132,1457,0.8489010989010989,169403,3_169403
3,197717,200556,2839,0.39252995066948554,199136,3_199136
3,273392,273904,512,0.9980430528375733,273648,3_273648
3,290297,292596,2299,0.9899912967798086,291446,3_291446
3,294839,296296,1457,0.9732142857142857,295567,3_295567
3,299080,300332,1252,0.9992006394884093,299706,3_299706
3,303535,308570,5035,0.8083035359555025,306052,3_306052
3,10000,15213,5213,0.409823484267076,12606,3_12606
4,48571,50386,1815,0.9994487320837927,49478,4_49478
4,80946,83770,2824,0.9968119022316685,82358,4_82358
4,132408,132912,504,0.9980119284294234,132660,4_132660
4,357409,359243,1834,0.9994544462629569,358326,4_358326
4,381966,384101,2135,0.8116213683223993,383033,4_383033
4,386266,386877,611,0.9967213114754099,386571,4_386571
4,410357,411261,904,0.9988925802879292,410809,4_410809
4,434594,436067,1473,0.9952445652173914,435330,4_435330
4,471105,472642,1537,0.626953125,471873,4_471873
4,505265,507402,2137,0.9985955056179775,506333,4_506333
4,512749,520016,7267,0.26396917148362237,516382,4_516382
4,527782,534567,6785,0.020636792452830188,531174,4_531174
4,544072,545993,1921,0.9963541666666667,545032,4_545032
4,620325,621492,1167,0.9982847341337907,620908,4_620908
4,645469,652219,6750,0.1406134242109942,648844,4_648844
4,720925,722415,1490,0.9993284083277367,721670,4_721670
4,802910,806036,3126,0.5328,804473,4_804473
4,871980,884173,12193,0.11089238845144357,878076,4_878076
4,945673,946212,539,0.775092936802974,945942,4_945942
4,979763,992624,12861,0.2207620528771384,986193,4_986193
4,1016202,1018802,2600,0.9996152366294728,1017502,4_1017502
4,1095758,1101662,5904,0.03337286125698797,1098710,4_1098710
4,1154163,1162314,8151,0.6120245398773007,1158238,4_1158238
4,1165193,1166439,1246,0.9991967871485944,1165816,4_1165816
4,1174759,1175533,774,0.96248382923674,1175146,4_1175146
4,1206954,1212269,5315,0.002258185923974407,1209611,4_1209611
4,1406426,1406964,538,0.9981378026070763,1406695,4_1406695
4,1492992,1493780,788,0.9987293519695044,1493386,4_1493386
4,1505423,1507505,2082,0.9951946179721288,1506464,4_1506464
4,1514166,1516328,2162,0.999537251272559,1515247,4_1515247
4,1518259,1518962,703,0.9985754985754985,1518610,4_1518610
4,10000,20054,10054,0.3124440465532677,15027,4_15027
4,1521370,1521933,563,0.998220640569395,1521651,4_1521651
5,8053,13101,5048,0.9998018624925699,10577,5_10577
5,15246,15843,597,0.9983221476510067,15544,5_15544
5,18468,25689,7221,0.7984764542936288,22078,5_22078
5,61403,62929,1526,0.9160655737704918,62166,5_62166
5,98362,100200,1838,0.9989112683723462,99281,5_99281
5,135734,138324,2590,0.9582850521436849,137029,5_137029
5,151506,152972,1466,0.9959044368600682,152239,5_152239
5,173868,174695,827,0.9987893462469734,174281,5_174281
5,176667,177274,607,0.9966996699669967,176970,5_176970
5,242153,242667,514,0.9980506822612085,242410,5_242410
5,248725,250138,1413,0.9390934844192634,249431,5_249431
5,287683,288816,1133,0.9991166077738516,288249,5_288249
5,353736,354785,1049,0.892175572519084,354260,5_354260
5,362329,364036,1707,0.8446658851113716,363182,5_363182
5,431392,431927,535,0.7808988764044944,431659,5_431659
5,434686,436517,1831,0.9060109289617486,435601,5_435601
5,438350,439022,672,0.9955290611028316,438686,5_438686
5,442340,448974,6634,0.17729534147444595,445657,5_445657
5,492622,498577,5955,0.09304669129996641,495599,5_495599
5,554471,555452,981,0.9989795918367347,554961,5_554961
5,563305,565029,1724,0.9970980847359258,564167,5_564167
5,567360,569108,1748,0.9994275901545506,568234,5_568234
6,19180,20286,1106,0.9981900452488688,19733,6_19733
6,25698,27732,2034,0.999508116084604,26715,6_26715
6,31040,32488,1448,0.9986178299930891,31764,6_31764
6,98006,98731,725,0.988950276243094,98368,6_98368
6,100099,101072,973,0.9989711934156379,100585,6_100585
6,136392,144484,8092,0.2901989865282413,140438,6_140438
6,158327,159013,686,0.9985401459854014,158670,6_158670
6,191889,194219,2330,0.9995706311721769,193054,6_193054
6,255646,263658,8012,0.9998751716389964,259652,6_259652
6,265726,268561,2835,0.9996471418489767,267143,6_267143
6,10000,14293,4293,0.25209692451071763,12146,6_12146
7,16985,20434,3449,0.9997099767981439,18709,7_18709
7,30688,31370,682,0.9941262848751835,31029,7_31029
7,74272,76354,2082,0.9995194617972128,75313,7_75313
7,110904,111907,1003,0.906187624750499,111405,7_111405
7,121460,122088,628,0.9984051036682615,121774,7_121774
7,165671,167299,1628,0.9993853718500307,166485,7_166485
7,188296,190609,2313,0.9991349480968859,189452,7_189452
7,204487,206533,2046,0.9995110024449878,205510,7_205510
7,286516,287927,1411,0.999290780141844,287221,7_287221
7,318846,321217,2371,0.9835443037974684,320031,7_320031
7,323847,324831,984,0.9979654120040692,324339,7_324339
7,326661,328341,1680,0.9994044073853484,327501,7_327501
7,412692,413514,822,0.9987819732034104,413103,7_413103
7,421132,423350,2218,0.9986468200270636,422241,7_422241
7,433668,435125,1457,0.9993131868131868,434396,7_434396
7,483683,484923,1240,0.9991928974979822,484303,7_484303
7,535339,541679,6340,0.08439817005836883,538509,7_538509
7,562012,574646,12634,0.14010923771075753,568329,7_568329
7,660397,661582,1185,0.9974662162162162,660989,7_660989
7,700344,702919,2575,0.9976689976689976,701631,7_701631
7,707081,713209,6128,0.39758446221641913,710145,7_710145
7,738770,739416,646,0.9984496124031008,739093,7_739093
7,766387,766985,598,0.998324958123953,766686,7_766686
7,778382,779643,1261,0.9976190476190476,779012,7_779012
7,787484,788128,644,0.9891135303265941,787806,7_787806
7,793595,794121,526,0.9961904761904762,793858,7_793858
7,811254,823524,12270,0.04857771619528894,817389,7_817389
7,857011,857713,702,0.9971469329529244,857362,7_857362
7,878771,879720,949,0.9989451476793249,879245,7_879245
7,989919,990566,647,0.9984520123839009,990242,7_990242
7,994273,995112,839,0.9952267303102625,994692,7_994692
7,999688,1000391,703,0.9985754985754985,1000039,7_1000039
7,1011295,1011992,697,0.9885057471264368,1011643,7_1011643
7,1050554,1052144,1590,0.9943360604153556,1051349,7_1051349
7,1065551,1066614,1063,0.9990583804143126,1066082,7_1066082
7,1072214,1073463,1249,0.9983974358974359,1072838,7_1072838
7,1076313,1080940,4627,0.5462602680501513,1078626,7_1078626
8,10738,13039,2301,0.9117391304347826,11888,8_11888
