orf_name,gene,chr,cat,start,stop,strand,classification,length,manually_curated,promoter_start,promoter_end,gene_body_start,gene_body_end,left_end,right_end,park_TSS,park_PAS,TSS,PAS
YAL068C,PAU8,1,gene,1807,2169,-,Verified,362,,2169.0,2469.0,1669.0,2169.0,1807,2169.0,,,2169.0,1807.0
YAL067W-A,YAL067W-A,1,gene,2480,2707,+,Uncharacterized,227,,2180.0,2480.0,2480.0,2980.0,2480,2707.0,,,2480.0,2707.0
YAL067C,SEO1,1,gene,7235,9016,-,Verified,1781,,9016.0,9316.0,8516.0,9016.0,7235,9016.0,,,9016.0,7235.0
YAL065C,YAL065C,1,gene,11565,11951,-,Uncharacterized,386,,11951.0,12251.0,11451.0,11951.0,11565,11951.0,,,11951.0,11565.0
YAL064W-B,YAL064W-B,1,gene,12046,12426,+,Uncharacterized,380,,11746.0,12046.0,12046.0,12546.0,12046,12426.0,,,12046.0,12426.0
YAL064C-A,YAL064C-A,1,gene,13363,13743,-,Uncharacterized,380,,13743.0,14043.0,13243.0,13743.0,13363,13743.0,,,13743.0,13363.0
YAL064W,YAL064W,1,gene,21566,21850,+,Verified,284,,21266.0,21566.0,21566.0,22066.0,21566,21850.0,,,21566.0,21850.0
YAL063C-A,YAL063C-A,1,gene,22395,22685,-,Uncharacterized,290,,22685.0,22985.0,22185.0,22685.0,22395,22685.0,,,22685.0,22395.0
YAL063C,FLO9,1,gene,24000,27968,-,Verified,3968,False,28212.0,28512.0,27712.0,28212.0,23928,28212.0,28212.0,23928.0,28212.0,23928.0
YAL062W,GDH3,1,gene,31567,32940,+,Verified,1373,False,30889.0,31189.0,31189.0,31689.0,31189,33012.0,31189.0,33012.0,31189.0,33012.0
YAL061W,BDH2,1,gene,33448,34701,+,Uncharacterized,1253,False,33060.0,33360.0,33360.0,33860.0,33360,34869.0,33360.0,34869.0,33360.0,34869.0
YAL060W,BDH1,1,gene,35155,36303,+,Verified,1148,False,34808.0,35108.0,35108.0,35608.0,35108,36388.0,35108.0,36388.0,35108.0,36388.0
YAL059W,ECM1,1,gene,36509,37147,+,Verified,638,False,36260.0,36560.0,36560.0,37060.0,36560,37345.0,36560.0,37345.0,36560.0,37345.0
YAL058W,CNE1,1,gene,37464,38972,+,Verified,1508,False,37150.0,37450.0,37450.0,37950.0,37450,39012.0,37450.0,39012.0,37450.0,39012.0
YAL056W,GPB2,1,gene,39259,41901,+,Verified,2642,False,38916.0,39216.0,39216.0,39716.0,39216,41981.0,39216.0,41981.0,39216.0,41981.0
YAL055W,PEX22,1,gene,42177,42719,+,Verified,542,False,41892.0,42192.0,42192.0,42692.0,42192,42791.0,42192.0,42791.0,42192.0,42791.0
YAL054C,ACS1,1,gene,42881,45022,-,Verified,2141,,45022.0,45322.0,44522.0,45022.0,42881,45022.0,,,45022.0,42881.0
YAL053W,FLC2,1,gene,45899,48250,+,Verified,2351,False,45445.0,45745.0,45745.0,46245.0,45745,48311.0,45745.0,48311.0,45745.0,48311.0
YAL051W,OAF1,1,gene,48564,51707,+,Verified,3143,,48264.0,48564.0,48564.0,49064.0,48564,51707.0,,,48564.0,51707.0
YAL049C,AIM2,1,gene,51855,52595,-,Verified,740,False,52662.0,52962.0,52162.0,52662.0,51720,52662.0,52662.0,51720.0,52662.0,51720.0
YAL048C,GEM1,1,gene,52801,54789,-,Verified,1988,False,54826.0,55126.0,54326.0,54826.0,52617,54826.0,54826.0,52617.0,54826.0,52617.0
YAL047C,SPC72,1,gene,54989,56857,-,Verified,1868,,56857.0,57157.0,56357.0,56857.0,54989,56857.0,,,56857.0,54989.0
YAL046C,AIM1,1,gene,57029,57385,-,Verified,356,False,57384.0,57684.0,56884.0,57384.0,56912,57384.0,57384.0,56912.0,57384.0,56912.0
YAL044W-A,YAL044W-A,1,gene,57518,57850,+,Uncharacterized,332,False,57218.0,57518.0,57518.0,58018.0,57518,57962.0,57518.0,57962.0,57518.0,57962.0
YAL044C,GCV3,1,gene,57950,58462,-,Verified,512,False,58477.0,58777.0,57977.0,58477.0,57869,58477.0,58477.0,57869.0,58477.0,57869.0
YAL043C,PTA1,1,gene,58695,61052,-,Verified,2357,False,61077.0,61377.0,60577.0,61077.0,58627,61077.0,61077.0,58627.0,61077.0,58627.0
YAL042W,ERV46,1,gene,61316,62563,+,Verified,1247,False,60975.0,61275.0,61275.0,61775.0,61275,62655.0,61275.0,62655.0,61275.0,62655.0
YAL041W,CDC24,1,gene,62840,65404,+,Verified,2564,False,62477.0,62777.0,62777.0,63277.0,62777,65464.0,62777.0,65464.0,62777.0,65464.0
YAL040C,CLN3,1,gene,65778,67520,-,Verified,1742,False,67845.0,68145.0,67345.0,67845.0,65602,67845.0,67845.0,65602.0,67845.0,65602.0
YAL039C,CYC3,1,gene,68716,69525,-,Verified,809,False,69582.0,69882.0,69082.0,69582.0,68655,69582.0,69582.0,68655.0,69582.0,68655.0
YAL038W,CDC19,1,gene,71786,73288,+,Verified,1502,False,71460.0,71760.0,71760.0,72260.0,71760,73453.0,71760.0,73453.0,71760.0,73453.0
YAL037C-A,YAL037C-A,1,gene,73426,73518,-,Uncharacterized,92,,73518.0,73818.0,73018.0,73518.0,73426,73518.0,,,73518.0,73426.0
YAL037W,YAL037W,1,gene,74020,74823,+,Uncharacterized,803,,73720.0,74020.0,74020.0,74520.0,74020,74823.0,,,74020.0,74823.0
YAL036C,RBG1,1,gene,75043,76152,-,Verified,1109,False,76190.0,76490.0,75690.0,76190.0,74851,76190.0,76190.0,74851.0,76190.0,74851.0
YAL035W,FUN12,1,gene,76427,79435,+,Verified,3008,False,76102.0,76402.0,76402.0,76902.0,76402,79556.0,76402.0,79556.0,76402.0,79556.0
YAL034W-A,MTW1,1,gene,79718,80587,+,Verified,869,False,79390.0,79690.0,79690.0,80190.0,79690,80676.0,79690.0,80676.0,79690.0,80676.0
YAL034C,FUN19,1,gene,80710,81951,-,Verified,1241,,81951.0,82251.0,81451.0,81951.0,80710,81951.0,,,81951.0,80710.0
YAL033W,POP5,1,gene,82706,83227,+,Verified,521,False,82402.0,82702.0,82702.0,83202.0,82702,83300.0,82702.0,83300.0,82702.0,83300.0
YAL032C,PRP45,1,gene,83335,84474,-,Verified,1139,False,84495.0,84795.0,83995.0,84495.0,83205,84495.0,84495.0,83205.0,84495.0,83205.0
YAL031C,GIP4,1,gene,84749,87031,-,Verified,2282,False,87079.0,87379.0,86579.0,87079.0,84596,87079.0,87079.0,84596.0,87079.0,84596.0
