orf_name,gene,chr,cat,start,stop,strand,classification,length,TSS,PAS,manually_curated,promoter_start,promoter_end,gene_body_start,gene_body_end
YAL067W-A,YAL067W-A,1,gene,2480,2707,+,Uncharacterized,227,2480,,,2180.0,2480.0,2480.0,2980.0
YAL065C,YAL065C,1,gene,11565,11951,-,Uncharacterized,386,11951,,,11951.0,12251.0,11451.0,11951.0
YAL064W-B,YAL064W-B,1,gene,12046,12426,+,Uncharacterized,380,12046,,,11746.0,12046.0,12046.0,12546.0
YAL064C-A,YAL064C-A,1,gene,13363,13743,-,Uncharacterized,380,13743,,,13743.0,14043.0,13243.0,13743.0
YAL064W,YAL064W,1,gene,21566,21850,+,Verified,284,21566,,,21266.0,21566.0,21566.0,22066.0
YAL063C-A,YAL063C-A,1,gene,22395,22685,-,Uncharacterized,290,22685,,,22685.0,22985.0,22185.0,22685.0
YAL044W-A,YAL044W-A,1,gene,57518,57850,+,Uncharacterized,332,57518,57962.0,False,57218.0,57518.0,57518.0,58018.0
YAL037C-A,YAL037C-A,1,gene,73426,73518,-,Uncharacterized,92,73518,,,73518.0,73818.0,73018.0,73518.0
YAL037W,YAL037W,1,gene,74020,74823,+,Uncharacterized,803,74020,,,73720.0,74020.0,74020.0,74520.0
YAL018C,YAL018C,1,gene,118564,119541,-,Uncharacterized,977,119541,,,119541.0,119841.0,119041.0,119541.0
YAR023C,YAR023C,1,gene,179281,179820,-,Uncharacterized,539,179820,,,179820.0,180120.0,179320.0,179820.0
YAR028W,YAR028W,1,gene,184892,185596,+,Uncharacterized,704,184837,185795.0,False,184537.0,184837.0,184837.0,185337.0
YAR029W,YAR029W,1,gene,186321,186545,+,Uncharacterized,224,186321,,,186021.0,186321.0,186321.0,186821.0
YAR035C-A,YAR035C-A,1,gene,192337,192417,-,Uncharacterized,80,192417,,,192417.0,192717.0,191917.0,192417.0
YAR064W,YAR064W,1,gene,220198,220497,+,Uncharacterized,299,220198,,,219898.0,220198.0,220198.0,220698.0
YAR066W,YAR066W,1,gene,221049,221660,+,Uncharacterized,611,220974,,False,220674.0,220974.0,220974.0,221474.0
YAR068W,YAR068W,1,gene,222406,222891,+,Uncharacterized,485,222406,,,222106.0,222406.0,222406.0,222906.0
YAR071W,PHO11,1,gene,225460,226863,+,Verified,1403,225421,226914.0,False,225121.0,225421.0,225421.0,225921.0
YBL113C,YBL113C,2,gene,280,2658,-,Uncharacterized,2378,2658,,,2658.0,2958.0,2158.0,2658.0
YBL112C,YBL112C,2,gene,2582,2899,-,Uncharacterized,317,2899,,,2899.0,3199.0,2399.0,2899.0
YBL111C,YBL111C,2,gene,2907,5009,-,Uncharacterized,2102,5009,,,5009.0,5309.0,4509.0,5009.0
YBL108C-A,PAU9,2,gene,7605,7733,-,Verified,128,7733,,,7733.0,8033.0,7233.0,7733.0
YBL107C,YBL107C,2,gene,9961,10551,-,Uncharacterized,590,10552,9819.0,False,10552.0,10852.0,10052.0,10552.0
YBL104C,YBL104C,2,gene,18177,21293,-,Uncharacterized,3116,21299,18095.0,False,21299.0,21599.0,20799.0,21299.0
YBL100W-C,YBL100W-C,2,gene,28427,28546,+,Uncharacterized,119,28427,,,28127.0,28427.0,28427.0,28927.0
YBL095W,YBL095W,2,gene,43277,44089,+,Uncharacterized,812,43277,,,42977.0,43277.0,43277.0,43777.0
YBL086C,YBL086C,2,gene,61202,62602,-,Uncharacterized,1400,62727,61156.0,False,62727.0,63027.0,62227.0,62727.0
YBL081W,YBL081W,2,gene,71866,72972,+,Uncharacterized,1106,71553,73031.0,False,71253.0,71553.0,71553.0,72053.0
YBL071C-B,YBL071C-B,2,gene,89458,89556,-,Uncharacterized,98,89556,,,89556.0,89856.0,89056.0,89556.0
YBL059W,YBL059W,2,gene,110594,111244,+,Uncharacterized,650,110675,111317.0,False,110375.0,110675.0,110675.0,111175.0
YBL055C,YBL055C,2,gene,115573,116829,-,Verified,1256,116816,115480.0,False,116816.0,117116.0,116316.0,116816.0
YBL044W,YBL044W,2,gene,135998,136366,+,Uncharacterized,368,135998,,,135698.0,135998.0,135998.0,136498.0
YBL039W-B,YBL039W-B,2,gene,143393,143572,+,Uncharacterized,179,143109,143701.0,False,142809.0,143109.0,143109.0,143609.0
YBL036C,YBL036C,2,gene,150447,151220,-,Verified,773,151270,150302.0,False,151270.0,151570.0,150770.0,151270.0
YBL029C-A,YBL029C-A,2,gene,164488,164772,-,Uncharacterized,284,164890,164410.0,False,164890.0,165190.0,164390.0,164890.0
YBL029W,YBL029W,2,gene,166134,167264,+,Uncharacterized,1130,166134,,,165834.0,166134.0,166134.0,166634.0
YBL028C,YBL028C,2,gene,167518,167838,-,Verified,320,167861,167434.0,False,167861.0,168161.0,167361.0,167861.0
YBL010C,YBL010C,2,gene,206107,206949,-,Uncharacterized,842,206944,205965.0,False,206944.0,207244.0,206444.0,206944.0
YBL008W-A,YBL008W-A,2,gene,209409,209648,+,Uncharacterized,239,209409,,,209109.0,209409.0,209409.0,209909.0
YBL003C,HTA2,2,gene,235394,235792,-,Verified,398,235828,235222.0,False,235828.0,236128.0,235328.0,235828.0
YBL002W,HTB2,2,gene,236492,236887,+,Verified,395,236470,237080.0,False,236170.0,236470.0,236470.0,236970.0
YBR013C,YBR013C,2,gene,265492,265881,-,Uncharacterized,389,266024,265341.0,False,266024.0,266324.0,265524.0,266024.0
YBR016W,YBR016W,2,gene,270247,270633,+,Verified,386,270199,270837.0,False,269899.0,270199.0,270199.0,270699.0
YBR028C,YBR028C,2,gene,294425,296002,-,Uncharacterized,1577,296103,294250.0,False,296103.0,296403.0,295603.0,296103.0
YBR053C,YBR053C,2,gene,339675,340751,-,Uncharacterized,1076,340764,339542.0,False,340764.0,341064.0,340264.0,340764.0
YBR056W,YBR056W,2,gene,347879,349384,+,Uncharacterized,1505,347755,349429.0,False,347455.0,347755.0,347755.0,348255.0
YBR062C,YBR062C,2,gene,365976,366600,-,Uncharacterized,624,366632,365879.0,False,366632.0,366932.0,366132.0,366632.0
YBR063C,YBR063C,2,gene,366970,368184,-,Uncharacterized,1214,368184,,,368184.0,368484.0,367684.0,368184.0
YBR071W,YBR071W,2,gene,380411,381046,+,Uncharacterized,635,380340,381322.0,False,380040.0,380340.0,380340.0,380840.0
YBR072C-A,YBR072C-A,2,gene,382860,383021,-,Uncharacterized,161,383021,,,383021.0,383321.0,382521.0,383021.0
YBR074W,YBR074W,2,gene,386286,389216,+,Uncharacterized,2930,386282,389332.0,False,385982.0,386282.0,386282.0,386782.0
YBR085C-A,YBR085C-A,2,gene,418907,419164,-,Uncharacterized,257,419194,418549.0,False,419194.0,419494.0,418694.0,419194.0
YBR090C,YBR090C,2,gene,426333,427058,-,Uncharacterized,725,427058,,,427058.0,427358.0,426558.0,427058.0
YBR096W,YBR096W,2,gene,436021,436713,+,Uncharacterized,692,435940,436782.0,False,435640.0,435940.0,435940.0,436440.0
YBR137W,YBR137W,2,gene,513044,513583,+,Verified,539,512953,513681.0,False,512653.0,512953.0,512953.0,513453.0
YBR138C,YBR138C,2,gene,513762,515336,-,Uncharacterized,1574,515406,513614.0,False,515406.0,515706.0,514906.0,515406.0
