,chromosome,strand,start,end,length
nogene_chr1_4182_4401,1,-,4182,4401,220
nogene_chr1_5014_6231,1,-,5014,6231,1218
nogene_chr1_9413_9882,1,+,9413,9882,470
nogene_chr1_11359_11746,1,+,11359,11746,388
nogene_chr1_13106_13818,1,+,13106,13818,713
nogene_chr1_13955_16886,1,+,13955,16886,2932
nogene_chr1_15881_16126,1,-,15881,16126,246
nogene_chr1_16793_17031,1,-,16793,17031,239
nogene_chr1_17109_17912,1,+,17109,17912,804
nogene_chr1_17154_17653,1,-,17154,17653,500
nogene_chr1_18017_18923,1,-,18017,18923,907
nogene_chr1_18072_19732,1,+,18072,19732,1661
nogene_chr1_19093_19933,1,-,19093,19933,841
nogene_chr1_20076_20432,1,-,20076,20432,357
nogene_chr1_20852_21092,1,+,20852,21092,241
nogene_chr1_23417_23772,1,+,23417,23772,356
nogene_chr1_24368_25149,1,+,24368,25149,782
nogene_chr1_27088_28158,1,+,27088,28158,1071
nogene_chr1_30162_30807,1,+,30162,30807,646
nogene_chr1_31052_34403,1,-,31052,34403,3352
nogene_chr1_35769_36232,1,-,35769,36232,464
nogene_chr1_43290_45227,1,+,43290,45227,1938
nogene_chr1_68273_68511,1,+,68273,68511,239
nogene_chr1_68744_69785,1,+,68744,69785,1042
nogene_chr1_69724_70005,1,-,69724,70005,282
nogene_chr1_70500_70805,1,-,70500,70805,306
nogene_chr1_73658_74551,1,-,73658,74551,894
nogene_chr1_76369_76765,1,-,76369,76765,397
nogene_chr1_76938_77262,1,-,76938,77262,325
nogene_chr1_100435_100733,1,+,100435,100733,299
nogene_chr1_109900_110141,1,+,109900,110141,242
nogene_chr1_134839_135076,1,+,134839,135076,238
nogene_chr1_138524_138888,1,+,138524,138888,365
nogene_chr1_138651_138922,1,-,138651,138922,272
nogene_chr1_142786_143127,1,-,142786,143127,342
nogene_chr1_151567_151912,1,-,151567,151912,346
nogene_chr1_159775_160257,1,-,159775,160257,483
nogene_chr1_166111_166609,1,+,166111,166609,499
nogene_chr1_171997_172529,1,+,171997,172529,533
nogene_chr1_180070_180742,1,+,180070,180742,673
nogene_chr1_181206_181696,1,+,181206,181696,491
nogene_chr1_181313_182464,1,-,181313,182464,1152
nogene_chr1_182910_183345,1,-,182910,183345,436
nogene_chr1_187752_188138,1,-,187752,188138,387
nogene_chr1_189324_190038,1,-,189324,190038,715
nogene_chr1_190164_191854,1,-,190164,191854,1691
nogene_chr1_202990_203443,1,-,202990,203443,454
nogene_chr1_206240_206786,1,-,206240,206786,547
nogene_chr1_220260_220650,1,-,220260,220650,391
nogene_chr2_10749_13808,2,+,10749,13808,3060
nogene_chr2_29026_29518,2,-,29026,29518,493
nogene_chr2_33005_33224,2,+,33005,33224,220
nogene_chr2_35421_35737,2,+,35421,35737,317
nogene_chr2_35605_35855,2,-,35605,35855,251
nogene_chr2_45960_46269,2,-,45960,46269,310
nogene_chr2_49033_49730,2,-,49033,49730,698
nogene_chr2_88077_88452,2,+,88077,88452,376
nogene_chr2_91338_92127,2,-,91338,92127,790
nogene_chr2_121827_122162,2,+,121827,122162,336
nogene_chr2_137990_138223,2,+,137990,138223,234
nogene_chr2_160355_161349,2,-,160355,161349,995
nogene_chr2_164404_164971,2,+,164404,164971,568
nogene_chr2_165170_165613,2,-,165170,165613,444
nogene_chr2_166039_166258,2,-,166039,166258,220
nogene_chr2_166405_166856,2,-,166405,166856,452
nogene_chr2_168794_169011,2,-,168794,169011,218
nogene_chr2_169314_170289,2,-,169314,170289,976
nogene_chr2_184175_184391,2,-,184175,184391,217
nogene_chr2_197963_198656,2,+,197963,198656,694
nogene_chr2_218187_221024,2,-,218187,221024,2838
nogene_chr2_221297_221515,2,+,221297,221515,219
nogene_chr2_225272_225543,2,+,225272,225543,272
nogene_chr2_227110_227391,2,+,227110,227391,282
nogene_chr2_238536_238970,2,+,238536,238970,435
nogene_chr2_250005_250232,2,+,250005,250232,228
nogene_chr2_251617_252255,2,+,251617,252255,639
nogene_chr2_254647_254959,2,+,254647,254959,313
nogene_chr2_278973_280797,2,-,278973,280797,1825
nogene_chr2_288285_288805,2,+,288285,288805,521
nogene_chr2_288788_288999,2,-,288788,288999,212
nogene_chr2_291799_292038,2,+,291799,292038,240
