,chromosome,strand,start,end,length,overlapping_gene,rna_called_tss,updated_tss,promoter_start,promoter_end,gene_body_start,gene_body_end
78,1,-,6999,9131,2133,YAL067C,,234132,234132,234432,233632,234132
2,1,+,11931,12984,1054,YAL064W-B,,25990,25690,25990,25990,26490
9,1,+,21306,21556,251,YAL064W,,46766,46466,46766,46766,47266
85,1,-,22361,22819,459,YAL063C-A,,255047,255047,255347,254547,255047
87,1,-,24396,24618,223,YAL063C,,259400,259400,259700,258900,259400
88,1,-,24818,24994,177,YAL063C,,264616,264616,264916,264116,264616
15,1,+,31257,36385,5129,YAL062W,,43678,43378,43678,43678,44178
16,1,+,36534,42010,5477,YAL059W,,67550,67250,67550,67550,68050
93,1,-,36744,37140,397,YAL059C-A,,282026,282026,282326,281526,282026
17,1,+,42198,42809,612,YAL055W,,69274,68974,69274,69274,69774
94,1,-,42524,45588,3065,YAL054C,,288727,288727,289027,288227,288727
20,1,+,45749,48336,2588,YAL053W,,55476,55176,55476,55476,55976
21,1,+,48538,51852,3315,YAL051W,,86179,85879,86179,86179,86679
96,1,-,51681,54702,3022,YAL048C,,297022,297022,297322,296522,297022
97,1,-,54904,57340,2437,YAL046C,,301589,301589,301889,301089,301589
22,1,+,57036,58029,994,YAL044W-A,,85485,85185,85485,85485,85985
98,1,-,57762,61007,3246,YAL043C,,303051,303051,303351,302551,303051
99,1,-,61233,61336,104,YAL042C-A,,305322,305322,305622,304822,305322
23,1,+,61294,62670,1377,YAL042W,,88147,87847,88147,88147,88647
24,1,+,62806,65642,2837,YAL041W,,70271,69971,70271,70271,70771
100,1,-,65340,67949,2610,YAL040C,,303413,303413,303713,302913,303413
101,1,-,68604,69565,962,YAL039C,,307888,307888,308188,307388,307888
27,1,+,70045,74934,4890,YAL038W,,99007,98707,99007,99007,99507
105,1,-,71738,73227,1490,YAL037C-B,,326571,326571,326871,326071,326571
107,1,-,74683,76137,1455,YAL036C,,335853,335853,336153,335353,335853
28,1,+,76385,80712,4328,YAL035W,,103064,102764,103064,103064,103564
111,1,-,80531,82550,2020,YAL034C,,348474,348474,348774,347974,348474
29,1,+,82699,83359,661,YAL033W,,105025,104725,105025,105025,105525
112,1,-,83187,86988,3802,YAL031C,,383098,383098,383398,382598,383098
113,1,-,87269,92467,5199,YAL029C,,383922,383922,384222,383422,383922
30,1,+,87273,87961,689,YAL030W,,108557,108257,108557,108557,109057
31,1,+,92599,95540,2942,YAL028W,,115256,114956,115256,115256,115756
114,1,-,95452,99717,4266,YAL026C,,355668,355668,355968,355168,355668
115,1,-,99959,101115,1157,YAL025C,,360191,360191,360491,359691,360191
116,1,-,101305,105895,4591,YAL024C,,364945,364945,365245,364445,364945
117,1,-,106086,110375,4290,YAL022C,,366909,366909,367209,366409,366909
118,1,-,110535,114571,4037,YAL020C,,342909,342909,343209,342409,342909
35,1,+,114803,118513,3711,YAL019W-A,,121497,121197,121497,121497,121997
119,1,-,118427,118601,175,YAL018C,,345103,345103,345403,344603,345103
36,1,+,119891,124466,4576,YAL017W,,125967,125667,125967,125967,126467
120,1,-,124629,124902,274,YAL016C-A,,370905,370905,371205,370405,370905
37,1,+,124805,126843,2039,YAL016W,,131707,131407,131707,131707,132207
121,1,-,126732,129028,2297,YAL014C,,373605,373605,373905,373105,373605
38,1,+,129244,130568,1325,YAL013W,,130009,129709,130009,130009,130509
39,1,+,130707,132074,1368,YAL012W,,132547,132247,132547,132547,133047
40,1,+,132216,134185,1970,YAL011W,,135753,135453,135753,135753,136253
125,1,-,133270,135630,2361,YAL010C,,404958,404958,405258,404458,404958
43,1,+,135833,137665,1833,YAL009W,,109147,108847,109147,109147,109647
126,1,-,137495,138381,887,YAL007C,,361297,361297,361597,360797,361297
128,1,-,139281,139790,510,YAL005C,,412212,412212,412512,411712,412212
129,1,-,140078,140200,123,YAL005C,,415747,415747,416047,415247,415747
130,1,-,140406,140672,267,YAL005C,,418354,418354,418654,417854,418354
131,1,-,141001,141607,607,YAL005C,,420752,420752,421052,420252,420752
47,1,+,142094,147617,5524,YAL003W,,157838,157538,157838,157838,158338
133,1,-,147494,151128,3635,YAL001C,,427909,427909,428209,427409,427909
48,1,+,152242,154038,1797,YAR002W,,159842,159542,159842,159842,160342
135,1,-,153675,154695,1021,YAR002C-A,,432497,432497,432797,431997,432497
49,1,+,154967,156870,1904,YAR003W,,141666,141366,141666,141666,142166
136,1,-,156652,158623,1972,YAR007C,,416989,416989,417289,416489,416989
50,1,+,158878,159898,1021,YAR008W,,163937,163637,163937,163937,164437
139,1,-,166509,168970,2462,YAR014C,,407028,407028,407328,406528,407028
53,1,+,169279,170594,1316,YAR015W,,173089,172789,173089,173089,173589
140,1,-,170147,171659,1513,YAR018C,,410235,410235,410535,409735,410235
141,1,-,172055,175088,3034,YAR019C,,412757,412757,413057,412257,412757
55,1,+,175337,176194,858,YAR019W-A,,176187,175887,176187,176187,176687
142,1,-,176521,180791,4271,YAR023C,,455751,455751,456051,455251,455751
60,1,+,182887,184650,1764,YAR027W,,189052,188752,189052,189052,189552
61,1,+,184852,186796,1945,YAR028W,,191399,191099,191399,191399,191899
147,1,-,185754,187459,1706,YAR030C,,488393,488393,488693,487893,488393
62,1,+,187023,187455,433,YAR031W,,195442,195142,195442,195442,195942
63,1,+,187697,187859,163,YAR031W,,198189,197889,198189,198189,198689
64,1,+,188294,188450,157,YAR033W,,203252,202952,203252,203252,203752
65,1,+,188654,189059,406,YAR033W,,205206,204906,205206,205206,205706
67,1,+,191061,198198,7138,YAR035W,,212109,211809,212109,212109,212609
70,1,+,202753,203446,694,YAR050W,,218644,218344,218644,218644,219144
72,1,+,205954,206086,133,YAR050W,,223178,222878,223178,223178,223678
73,1,+,206216,206780,565,YAR050W,,228221,227921,228221,228221,228721
74,1,+,207591,207745,155,YAR050W,,231142,230842,231142,231142,231642
262,2,-,1639,2029,391,YBL113C,,787873,787873,788173,787373,787873
263,2,-,9769,17879,8111,YBL105C,,789917,789917,790217,789417,789917
264,2,-,18050,21240,3191,YBL104C,,792669,792669,792969,792169,792669
