orf_name,replicate_1_PAS_nuc,replicate_2_PAS_nuc
YDR006C,458451,458473
YEL044W,70210,70210
YMR137C,542843,542843
YKR027W,493656,493656
YER168C,520946,520946
YMR180C,622098,622098
YOR261C,815810,815810
YLL003W,146077,146077
YCR075W-A,249352,249353
YIL031W,295898,295898
YHR166C,437005,437005
YOL071W,197064,197064
YLR167W,499516,499386
YDR061W,575837,575837
YGR102C,694386,694386
YIL095W,186496,186490
YCR067C,233115,233111
YDL153C,180955,180955
YHR155W,411113,411133
YBL090W,49378,49382
YDL047W,371077,371077
YGL085W,350579,350579
YDR289C,1037992,1037992
YPL116W,331806,331806
YMR064W,399636,399642
YEL030W,96501,96494
YLR049C,243743,243743
YOR042W,409720,409720
YER112W,387888,387888
YER099C,358067,358067
YOR089C,490055,490087
YGL091C,341922,341946
YPL038W-A,480329,480329
YGL249W,35301,35301
YBR004C,244215,244211
YOR269W,828010,828035
YKL043W,357932,358100
YOR010C,346066,346056
YBR137W,513582,513582
YDL079C,312911,312911
YHR008C,122679,122679
YPR001W,557797,557794
YPR109W,745657,745657
YKR097W,632894,632850
YNL234W,211532,211532
YMR292W,855459,855459
YPR041W,650039,650039
YHR181W,468067,468067
YER033C,217958,217958
YCL061C,18598,18598
YAL002W,147641,147664
YDL149W,187919,187919
YGR007W,508124,508124
YDR450W,1360911,1360911
YML025C,224369,224369
YKL213C,31972,31972
YDL147W,192353,192346
YIL066C,238027,238027
YCL026C-A,74456,74457
YJR016C,464273,464225
YDR022C,487920,487908
YCR082W,259412,259416
YJR078W,580433,580418
YGR021W,528672,528672
YGR005C,504467,504451
YPR175W,891069,891069
YIL046W,270706,270706
YDR317W,1103513,1103510
YNR036C,694298,694298
YFR032C-B,223776,223776
YEL059C-A,42461,42461
YPR161C,864284,864282
YNR020C,667450,667450
YPL135W,298433,298433
YGR042W,580316,580316
YML030W,217067,217067
YML013W,246117,246117
YBL100W-C,28576,28576
YMR072W,412321,412331
YOR181W,677968,677984
YPL079W,407677,407652
YJR116W,641849,641885
YJR021C,468513,468513
YBR068C,373654,373737
YOR039W,406823,406823
YPR047W,658957,658958
YMR305C,878914,878914
YLR250W,641127,641127
YHR006W,119625,119615
YKL166C,134380,134380
YER164W,509860,509860
YDL085C-A,302211,302211
YER146W,462984,462996
YOL021C,282416,282416
YAR014C,166509,166508
YNL136W,371727,371726
YDR196C,850262,850262
YDR034C,509631,509631
YBR046C,330192,330192
YDR195W,850262,850262
YDR333C,1133018,1133018
YKR024C,485116,485019
YKL220C,9159,9159
YCL018W,92351,92335
YGL156W,213759,213759
YGR262C,1016895,1016978
YIL019W,316229,316229
YER124C,406985,406985
YDR482C,1420275,1420273
YIL151C,57355,57355
YKL167C,133422,133422
YDR009W,464999,464999
YGL086W,349391,349391
YGL008C,479715,479715
YHR186C,475923,475923
YOR002W,331148,331148
YIL092W,191151,191151
YNL024C-A,586290,586311
YGL033W,436276,436276
YBR223C,668369,668369
YFL038C,55202,55220
YDL126C,236145,236145
YGL219C,82856,82856
YOL122C,89523,89523
YJR083C,582620,582603
YNL265C,144082,144082
YDR202C,856701,856701
YDR419W,1305475,1305475
YKR104W,657816,657816
YLL057C,25528,25515
YPL189W,191165,191159
YIL055C,251859,251818
YOR167C,648666,648686
YPR031W,633848,633848
YDR356W,1189364,1189364
YGL094C,330929,330929
YNL251C,172526,172517
YCL002C,110598,110596
YNR075W,781060,781061
YLR137W,418187,418055
YLR001C,151286,151286
YOL056W,224438,224438
YPL086C,384746,384746
YGR178C,851028,851028
YDL020C,415003,415003
YDR055W,564938,565022
YDR238C,937767,937635
YGR173W,845048,845050
YGL023C,450179,450179
YBR221C,664965,664965
YDR503C,1454862,1454862
YOL105C,114076,114068
YLR030W,204056,204042
YGR189C,876638,876601
YLR153C,445331,445331
YPR081C,702195,702195
YHR043C,192772,192772
YGL029W,440539,440539
YIL133C,98413,98413
YLR445W,1024918,1024917
YOR368W,1028243,1028243
YGR191W,882438,882474
YML028W,220898,220894
YOR120W,552190,552192
YNL215W,245416,245416
YML058W,159973,159973
YHR029C,167698,167698
YJL189W,76661,76661
YOR147W,608555,608555
YHR189W,484558,484542
YNL180C,299576,299576
YDR331W,1130805,1130804
YDR323C,1112308,1112273
YGL028C,440909,440936
YPL183C,199392,199394
YPR046W,657309,657309
YPR132W,795898,795952
YBR234C,685338,685338
YNL297C,71676,71688
YLR277C,697166,697166
YIL099W,179700,179848
YOR271C,830889,830878
YPR010C,577379,577379
YIL139C,88007,88001
YKL113C,224654,224667
YGL077C,362138,362136
YOR276W,841979,841812
YCL025C,76025,76025
YGR253C,998271,998271
YGL230C,63581,63581
YHL004W,100557,100557
YJR105W,624605,624605
YLR440C,1015453,1015453
YFL055W,18596,18596
YOL051W,238458,238469
YLR187W,528034,528034
YGL064C,381514,381514
YBR138C,513533,513533
YER028C,210711,210711
YOR326W,930620,930620
YGL051W,404346,404346
YOR252W,804398,804398
YLR098C,337545,337529
YDL095W,289624,289626
YOR212W,744372,744372
YIL169C,23131,23141
YBR246W,712813,712901
YNL113W,413427,413427
YIL013C,327966,327966
YKL048C,347053,347053
YDR069C,584577,584577
YDL186W,126414,126414
YJR096W,612224,612220
YDR021W,488096,488047
YOL007C,310895,310895
YPR075C,695656,695656
YDR244W,952570,952571
YML064C,144884,144884
YMR053C,380443,380443
YJL091C,261012,261012
YOR109W,528882,528882
YGL247W,37662,37647
YGR241C,974873,974810
YLR303W,733973,733973
YER063W,282532,282609
YOR059C,438947,438958
YML068W,138987,138987
YPL054W,456869,456868
YOR216C,747268,747268
YGR166W,832171,832171
YHR153C,401943,401940
YJL036W,380291,380282
YBR059C,356847,356841
YLR292C,719707,719707
YPR129W,793903,793872
YLR414C,953205,953205
YGR248W,986779,986779
YNR010W,644310,644310
YPL130W,304990,304985
YPL236C,101533,101533
YKL006C-A,430031,430134
YLR146C,432714,432714
YLL048C,41154,41154
YOR186W,683589,683589
YOR254C,804944,804944
YDR194C,845865,845875
YLR262C-A,669374,669320
YLR312W-A,760438,760438
YOR288C,852110,852110
YNL042W,549483,549475
YDR192C,843431,843431
YAL067W-A,2674,2674
YJL090C,262766,262768
YBR052C,338688,338688
YLR249W,640125,640124
YGR153W,796856,796856
YBR069C,376406,376406
YGR286C,1063655,1063655
YFL034C-B,62979,62979
YCR032W,186178,186181
YDR515W,1474889,1474889
YDR485C,1424620,1424620
YNR001C,629432,629430
YDR185C,831673,831673
YPL272C,26681,26528
YDL019C,417630,417635
YHR175W,453742,453742
YGL240W,49275,49274
YGR274C,1039792,1039792
YBR079C,395225,395225
YOR140W,589590,589518
YPR133W-A,797874,797874
YDR170C,796010,796010
YDL091C,293270,293267
YJL082W,283643,283633
YKL020C,398838,398836
YNL168C,317874,317873
YNL139C,360818,360818
YER016W,189519,189519
YNL163C,326713,326711
YBR122C,483740,483749
YPR112C,749112,749112
YDR458C,1379914,1379911
YDR168W,791994,791994
YIR009W,374819,374819
YNL022C,591195,591177
YBR181C,591590,591590
YKR022C,482140,482123
YPR091C,715890,715891
YPR183W,901721,901721
YKR008W,454104,454273
YNL160W,337796,337796
YHR206W,514928,514928
YIL162W,39193,39203
YKL168C,131087,131086
YNL232W,215871,215870
YMR088C,443405,443405
YJR005C-A,448408,448408
YJL203W,54407,54407
YMR159C,574486,574503
YPR149W,830794,830794
YDR272W,1009833,1009851
YPL129W,306125,306125
YKL212W,36681,36699
YNL158W,340509,340510
YGL202W,117673,117671
YMR287C,842334,842293
YPL169C,228763,228763
YOR112W,533757,533757
YER034W,222651,222655
YER117W,397665,397740
YPR008W,575140,575134
YDL037C,384688,384688
YPL186C,194557,194557
YPL068C,424137,424137
YOR111W,531483,531484
YGL078C,360114,360173
YOR311C,898824,898824
YDR256C,968097,968106
YGL103W,312042,312042
YKL143W,178289,178289
YDL230W,43686,43686
YAL009W,136706,136706
YJL044C,358093,358093
YMR030W-A,337536,337536
YBR095C,434324,434324
YNR012W,648964,648964
YBR106W,453433,453366
YBR169C,573920,573920
YNL095C,444792,444792
YCR042C,201150,201150
YMR178W,619433,619439
YPR184W,906719,906719
YMR108W,486308,486308
YLR107W,365594,365594
YPL262W,48931,48931
YGL027C,443620,443620
YKL033W,378953,378953
YKL185W,96414,96415
YFR022W,199132,199132
YFR053C,253508,253503
YMR270C,805313,805313
YGR277C,1045685,1045685
YHR195W,491785,491785
YAL019W,118292,118401
YPL232W,108233,108233
YBR296C,796494,796494
YBL019W,185964,186127
YER143W,457751,457751
YNL151C,347718,347548
YML070W,135338,135208
YOL082W,170034,170036
YDR379C-A,1233143,1233147
YJL029C,388338,388186
YNL037C,557764,557753
YJR112W-A,638329,638329
YMR127C,522212,522212
YNL186W,292025,292030
YML005W,261578,261578
YER139C,450441,450303
YNL011C,611689,611712
YOR380W,1053062,1053051
YOL104C,116411,116411
YHR086W-A,280325,280325
YDL150W,184671,184674
YLR355C,837798,837798
YLR165C,494395,494386
YFR031C-A,220330,220330
YML035C,206187,206195
YDR076W,599756,599756
YBL055C,115579,115578
YKR044W,523466,523466
YDR325W,1120246,1120246
YOR346W,984999,985006
YNL053W,531467,531467
YKL219W,15753,15753
YFL037W,57905,57909
YKL027W,388932,388932
YPL227C,120110,120086
YDR280W,1021681,1021681
YPR066W,682210,682210
YBR084W,413984,413984
YNL042W-B,547394,547347
YPL031C,492032,492032
YDL123W,241875,241828
YDR108W,673385,673503
YNL177C,303496,303496
YDR510W,1469850,1469850
YCL028W,71495,71495
YDL082W,309566,309566
YER050C,253872,253872
YPR095C,721039,721039
YMR131C,533134,533243
YMR028W,328691,328691
YGL258W-A,9483,9483
YGL075C,366638,366643
YFL004W,134572,134576
YKL174C,120299,120217
YMR261C,790129,790129
YDL139C,211255,211255
YDR443C,1345290,1345291
YLR088W,318095,318095
YOR227W,766628,766628
YHR147C,392516,392516
YOL020W,287945,287945
YJR137C,678905,678905
YJL123C,187900,187789
YPR122W,785880,785880
YOR357C,1009120,1009114
YBR282W,768752,768746
YJL138C,153255,153255
YJR126C,656247,656247
YLR373C,868531,868531
YJR130C,665016,665016
YMR117C,501118,501118
YDL238C,29012,29012
YPL240C,96477,96477
YHR079C,257962,257962
YDR162C,780163,780146
YGR049W,592070,592070
YLL033W,74300,74313
YDR032C,503848,503848
YLR407W,933920,933920
YLR257W,659803,659805
YAL056W,41909,41902
YLR036C,221414,221450
YPR057W,673457,673457
YGL200C,122640,122640
YDR500C,1450046,1450046
YNL094W,449349,449349
YKL073W,299100,299097
YIL157C,46722,46723
YJL193W,72707,72708
YAL051W,51741,51741
YPL246C,84306,84370
YNR059W,738590,738590
YDL224C,54462,54463
YGR203W,905915,905915
YMR205C,671767,671772
YOL119C,94663,94658
YJR095W,610689,610689
YIL117C,140529,140525
YBR176W,584831,584832
YGL053W,403704,403704
YLR018C,178655,178655
YHR056C,215039,215039
YBR148W,539691,539691
YOR329C,936517,936533
YDR310C,1080870,1080872
YER144C,457751,457751
YNL041C,549244,549214
YNL135C,371727,371726
YMR233W,739975,739997
YDR066C,581817,581817
YCR005C,120775,120775
YPL223C,128429,128429
YJR092W,603193,603292
YGL044C,416086,416086
YER109C,374950,374948
YLR052W,248190,248190
YKR004C,446642,446769
YLR406C-A,932122,932122
YPL235W,104765,104768
YOR242C,788714,788718
YBR237W,694514,694514
YDR173C,810392,810392
YPR124W,787740,787740
YBR097W,441302,441295
YNL252C,171296,171296
YNL059C,512616,512617
YIR012W,379775,379775
YJL063C,315777,315777
YJL115W,197128,197128
YLR449W,1032025,1032054
YJR133W,673801,673632
YDR120C,691305,691305
YIL102C-A,173071,173071
YGR285C,1061874,1061874
YLR403W,927911,927902
YDL176W,144335,144338
YBR058C,353517,353603
YMR158W,572751,572751
YOR353C,998237,998267
YJR005W,448370,448370
YDR070C,588192,588192
YER162C,500493,500615
YJL077C,294694,294694
YGR155W,800132,800132
