,chrom,start,end
0,15,297869,298869
1,15,214278,215278
2,2,673418,674418
3,12,240374,241374
4,2,85632,86632
5,2,269903,270903
6,10,615488,616488
7,15,216719,217719
8,10,430963,431963
9,15,482077,483077
10,5,428160,429160
11,1,103012,104012
12,2,529751,530751
13,4,701986,702986
14,5,265799,266799
15,3,50255,51255
16,9,239069,240069
17,1,103079,104079
18,10,286339,287339
19,13,290172,291172
20,5,115070,116070
21,12,612162,613162
22,2,521416,522416
23,4,1343114,1344114
24,6,219232,220232
25,12,873410,874410
26,11,160682,161682
27,7,230637,231637
28,3,43012,44012
29,16,371211,372211
30,12,357661,358661
31,13,313022,314022
32,5,326330,327330
33,1,126254,127254
34,16,154388,155388
35,8,441835,442835
36,7,201377,202377
37,12,580314,581314
38,6,225495,226495
39,10,419794,420794
40,5,355672,356672
41,2,789804,790804
42,3,160801,161801
43,4,647628,648628
44,6,240905,241905
45,1,207448,208448
46,12,148945,149945
47,7,657443,658443
48,4,989365,990365
49,10,553993,554993
50,3,91563,92563
51,4,49427,50427
52,9,160510,161510
53,7,362281,363281
54,8,127534,128534
55,7,80281,81281
56,7,774102,775102
57,12,620870,621870
58,2,556509,557509
59,15,498836,499836
60,4,661217,662217
61,16,851504,852504
62,6,116616,117616
63,14,123510,124510
64,15,1044271,1045271
65,12,952136,953136
66,10,719693,720693
67,2,345376,346376
68,4,810429,811429
69,2,168435,169435
70,5,379326,380326
71,8,523645,524645
72,7,597396,598396
73,15,366060,367060
74,4,1035596,1036596
75,4,356870,357870
76,9,363181,364181
77,13,435084,436084
78,16,704372,705372
79,5,240791,241791
80,1,38912,39912
81,10,330744,331744
82,5,538152,539152
83,15,76385,77385
84,15,189158,190158
85,9,163223,164223
86,11,256620,257620
87,13,168970,169970
88,12,898065,899065
89,8,330029,331029
90,13,610587,611587
91,2,91415,92415
92,10,121816,122816
93,8,450655,451655
94,2,552497,553497
95,9,278798,279798
96,8,229093,230093
97,2,30802,31802
98,6,33442,34442
99,3,58418,59418
100,12,1028302,1029302
101,7,260119,261119
102,10,39006,40006
103,4,194172,195172
104,9,376234,377234
105,4,518221,519221
106,11,503735,504735
107,10,629051,630051
108,10,549006,550006
109,12,106275,107275
110,4,555246,556246
111,6,80347,81347
112,7,815960,816960
113,8,307575,308575
114,5,423768,424768
115,13,690345,691345
116,3,82437,83437
117,2,483941,484941
118,13,719785,720785
119,16,222268,223268
120,3,62724,63724
121,4,1117475,1118475
122,8,37115,38115
123,8,147266,148266
124,6,188791,189791
125,6,32953,33953
126,2,352986,353986
127,3,189261,190261
128,11,115368,116368
129,6,107008,108008
130,10,200678,201678
131,4,670919,671919
132,3,124668,125668
133,7,674213,675213
134,10,390856,391856
135,10,246810,247810
136,8,520456,521456
137,6,149625,150625
138,3,42436,43436
139,13,282748,283748
140,4,976755,977755
